"Scan #","Depth (m)","Pressure (decibar)","Temperature (degC)","Salinity (psu)","Temperature (degC) (Secondary)","Salinity (psu) (Secondary)","Conductivity (S_per_m)","Conductivity (S_per_m) (Secondary)","Sound Velocity (m_per_s) (cm)","Sound Velocity (m_per_s) (d)","Sound Velocity (m_per_s) (w)","Oxygen (ml_per_l)","Oxygen (ml_per_l) (Secondary)","Fluorescence (ug_per_l)","Turbidity (NTU)","Altimeter Height (m)","Latitude","Longitude","Date (YYYY-MM-DD)","Time (HH:mm:ss)"
1,504.044,508.44,5.5992,34.2047,5.5991,34.2075,3.3529,3.3531,1480.48,1480.29,1480.72,0.4415,0.4502,-0.0031,"",98.8767,37.393333,-123.285167,"2019-06-26","20:19:17.000000"
2,504.047,508.443,5.5995,34.2044,5.5992,34.2078,3.3529,3.3531,1480.48,1480.29,1480.73,0.4415,0.4502,-0.0031,"",98.9011,37.393333,-123.285167,"2019-06-26","20:19:17.041667"
3,504.044,508.44,5.5992,34.2046,5.5991,34.2074,3.3529,3.3531,1480.48,1480.29,1480.72,0.4584,0.4502,-0.0031,"",98.9011,37.393333,-123.285167,"2019-06-26","20:19:17.083334"
4,504.081,508.478,5.5993,34.2042,5.5991,34.2076,3.3528,3.3531,1480.48,1480.29,1480.72,0.4459,0.4502,-0.0031,"",98.9011,37.393333,-123.285167,"2019-06-26","20:19:17.125001"
5,504.011,508.407,5.5992,34.2046,5.5992,34.2075,3.3529,3.3531,1480.48,1480.29,1480.72,0.4458,0.4502,-0.0153,"",98.9011,37.393333,-123.285167,"2019-06-26","20:19:17.166668"
6,504.044,508.44,5.5992,34.2047,5.5989,34.2079,3.3529,3.3531,1480.48,1480.29,1480.72,0.4458,0.4502,-0.0031,"",98.9011,37.393333,-123.285167,"2019-06-26","20:19:17.208335"
7,504.011,508.407,5.5995,34.2043,5.5991,34.2079,3.3529,3.3531,1480.48,1480.29,1480.72,0.4458,0.4357,-0.0031,"",98.9011,37.393333,-123.285167,"2019-06-26","20:19:17.250002"
8,504.044,508.44,5.5993,34.2045,5.5991,34.2072,3.3529,3.3531,1480.48,1480.29,1480.72,0.4458,0.4606,-0.0153,"",98.9011,37.393333,-123.285167,"2019-06-26","20:19:17.291669"
9,504.033,508.429,5.5995,34.2046,5.5989,34.2078,3.3529,3.3531,1480.48,1480.29,1480.73,0.4458,0.4502,-0.0031,"",98.9011,37.393333,-123.285167,"2019-06-26","20:19:17.333336"
10,504.025,508.421,5.5995,34.2044,5.5991,34.2073,3.3529,3.3531,1480.48,1480.29,1480.72,0.4458,0.4502,-0.0031,"",98.9011,37.393333,-123.285167,"2019-06-26","20:19:17.375003"
11,504.011,508.407,5.5995,34.2044,5.5992,34.2075,3.3529,3.3531,1480.48,1480.29,1480.72,0.429,0.4502,-0.0031,"",98.9011,37.393333,-123.285167,"2019-06-26","20:19:17.416670"
12,504.044,508.44,5.5993,34.2046,5.5991,34.2076,3.3529,3.3531,1480.48,1480.29,1480.72,0.4415,0.4502,-0.0153,"",98.9011,37.393333,-123.285167,"2019-06-26","20:19:17.458337"
13,504.044,508.44,5.5995,34.2049,5.5991,34.2075,3.3529,3.3531,1480.48,1480.29,1480.73,0.4415,0.4646,-0.0031,"",98.9011,37.393333,-123.285167,"2019-06-26","20:19:17.500004"
14,503.974,508.37,5.5998,34.2042,5.5991,34.2076,3.3529,3.3531,1480.48,1480.29,1480.72,0.4415,0.4397,-0.0031,"",98.9011,37.393333,-123.285167,"2019-06-26","20:19:17.541671"
