"Scan #","Depth (m)","Pressure (decibar)","Temperature (degC)","Salinity (psu)","Temperature (degC) (Secondary)","Salinity (psu) (Secondary)","Conductivity (S_per_m)","Conductivity (S_per_m) (Secondary)","Sound Velocity (m_per_s) (cm)","Sound Velocity (m_per_s) (d)","Sound Velocity (m_per_s) (w)","Oxygen (ml_per_l)","Oxygen (ml_per_l) (Secondary)","Fluorescence (ug_per_l)","Turbidity (NTU)","Altimeter Height (m)","Latitude","Longitude","Date (YYYY-MM-DD)","Time (HH:mm:ss)"
1,4.402,4.437,9.5298,33.9599,9.528,33.9648,3.6639,3.6642,1486.93,1486.88,1487.4,3.6608,3.6466,0.2411,"",98.9011,40.397333,-124.544333,"2019-07-10","03:04:17.000000"
2,4.386,4.421,9.527,33.961,9.5294,33.9646,3.6638,3.6643,1486.92,1486.87,1487.39,3.6727,3.6468,0.2411,"",98.9011,40.397333,-124.544333,"2019-07-10","03:04:17.041667"
3,4.391,4.425,9.5245,33.9622,9.5304,33.9649,3.6637,3.6645,1486.91,1486.86,1487.39,3.6531,3.647,0.2411,"",98.9011,40.397333,-124.544333,"2019-07-10","03:04:17.083334"
4,4.386,4.421,9.5222,33.9629,9.5317,33.964,3.6635,3.6645,1486.9,1486.85,1487.38,3.6731,3.6472,0.2411,"",98.9011,40.397333,-124.544333,"2019-07-10","03:04:17.125001"
5,4.322,4.356,9.5212,33.9625,9.5329,33.9629,3.6634,3.6645,1486.9,1486.85,1487.37,3.6651,3.6573,0.2533,"",98.9011,40.397333,-124.544333,"2019-07-10","03:04:17.166668"
6,4.391,4.425,9.5202,33.963,9.5325,33.9627,3.6633,3.6644,1486.9,1486.85,1487.37,3.6652,3.6507,0.2411,"",98.9011,40.397333,-124.544333,"2019-07-10","03:04:17.208335"
7,4.354,4.388,9.5197,33.9633,9.5325,33.9628,3.6633,3.6644,1486.89,1486.84,1487.37,3.6652,3.6507,0.2411,"",98.9011,40.397333,-124.544333,"2019-07-10","03:04:17.250002"
8,4.322,4.356,9.5196,33.9633,9.5329,33.9631,3.6633,3.6645,1486.89,1486.84,1487.37,3.6652,3.6608,0.2533,"",98.9011,40.397333,-124.544333,"2019-07-10","03:04:17.291669"
9,4.386,4.421,9.5204,33.9628,9.5325,33.9635,3.6633,3.6645,1486.9,1486.85,1487.37,3.6769,3.6439,0.2411,"",98.9011,40.397333,-124.544333,"2019-07-10","03:04:17.333336"
10,4.333,4.367,9.5204,33.9622,9.532,33.9638,3.6633,3.6645,1486.89,1486.84,1487.37,3.6688,3.6608,0.2411,"",98.9011,40.397333,-124.544333,"2019-07-10","03:04:17.375003"
11,4.285,4.319,9.5197,33.9626,9.5313,33.9636,3.6632,3.6644,1486.89,1486.84,1487.37,3.6689,3.6541,0.2411,"",98.9011,40.397333,-124.544333,"2019-07-10","03:04:17.416670"
12,4.354,4.388,9.5196,33.9623,9.531,33.9634,3.6632,3.6644,1486.89,1486.84,1487.37,3.6572,3.6541,0.2411,"",98.9011,40.397333,-124.544333,"2019-07-10","03:04:17.458337"
13,4.297,4.33,9.5196,33.9623,9.5294,33.9651,3.6632,3.6644,1486.89,1486.84,1487.37,3.6769,3.6642,0.2533,"",98.9011,40.397333,-124.544333,"2019-07-10","03:04:17.500004"
14,4.317,4.351,9.5196,33.962,9.5289,33.9661,3.6632,3.6644,1486.89,1486.84,1487.37,3.6689,3.6474,0.2411,"",98.9011,40.397333,-124.544333,"2019-07-10","03:04:17.541671"
15,4.285,4.319,9.5191,33.9625,9.5289,33.9669,3.6632,3.6645,1486.89,1486.84,1487.37,3.6689,3.6642,0.2411,"",98.9011,40.397333,-124.544333,"2019-07-10","03:04:17.583338"
16,4.297,4.33,9.5176,33.9634,9.5299,33.9661,3.6631,3.6645,1486.89,1486.83,1487.36,3.669,3.6576,0.2411,"",98.9011,40.397333,-124.544333,"2019-07-10","03:04:17.625005"
17,4.285,4.319,9.5176,33.9634,9.5304,33.966,3.6631,3.6646,1486.89,1486.83,1487.36,3.669,3.6475,0.2533,"",98.9011,40.397333,-124.544333,"2019-07-10","03:04:17.666672"
18,4.285,4.319,9.5182,33.9631,9.5305,33.9661,3.6632,3.6646,1486.89,1486.84,1487.36,3.6807,3.6643,0.2533,"",98.9011,40.397333,-124.544333,"2019-07-10","03:04:17.708339"
19,4.285,4.319,9.5191,33.9625,9.531,33.9654,3.6632,3.6646,1486.89,1486.84,1487.37,3.6609,3.6474,0.2533,"",98.9011,40.397333,-124.544333,"2019-07-10","03:04:17.750006"
20,4.253,4.286,9.5191,33.9625,9.5317,33.9649,3.6632,3.6646,1486.89,1486.84,1487.36,3.6806,3.6541,0.2533,"",98.9011,40.397333,-124.544333,"2019-07-10","03:04:17.791673"
21,4.253,4.286,9.5194,33.9622,9.5322,33.9645,3.6632,3.6646,1486.89,1486.84,1487.37,3.6843,3.6642,0.2533,"",98.9011,40.397333,-124.544333,"2019-07-10","03:04:17.833340"
22,4.285,4.319,9.52,33.9616,9.5326,33.9636,3.6632,3.6645,1486.89,1486.84,1487.37,3.6645,3.6574,0.2533,"",98.9011,40.397333,-124.544333,"2019-07-10","03:04:17.875007"
23,4.221,4.254,9.5209,33.9613,9.5329,33.9633,3.6632,3.6645,1486.89,1486.84,1487.37,3.6724,3.6674,0.2533,"",98.9011,40.397333,-124.544333,"2019-07-10","03:04:17.916674"
24,4.216,4.249,9.5215,33.9609,9.5332,33.9632,3.6632,3.6645,1486.9,1486.84,1487.37,3.6841,3.6505,0.2533,"",98.9011,40.397333,-124.544333,"2019-07-10","03:04:17.958341"
25,4.265,4.298,9.5214,33.961,9.5332,33.9636,3.6632,3.6646,1486.9,1486.84,1487.37,3.6761,3.6573,0.2533,"",98.9011,40.397333,-124.544333,"2019-07-10","03:04:18.000008"
26,4.221,4.254,9.5211,33.961,9.5332,33.9636,3.6632,3.6646,1486.89,1486.84,1487.37,3.6995,3.6573,0.2533,"",90.5495,40.397333,-124.544333,"2019-07-10","03:04:18.041675"
27,4.253,4.286,9.52,33.9621,9.5329,33.9637,3.6632,3.6646,1486.89,1486.84,1487.37,3.66,3.6574,0.2533,"",29.1331,40.397333,-124.544333,"2019-07-10","03:04:18.083342"
28,4.221,4.254,9.5197,33.9623,9.5326,33.9639,3.6632,3.6646,1486.89,1486.84,1487.37,3.6762,3.6574,0.2533,"",0.9035,40.397333,-124.544333,"2019-07-10","03:04:18.125009"
29,4.216,4.249,9.5207,33.9618,9.5329,33.9639,3.6633,3.6646,1486.89,1486.84,1487.37,3.6878,3.6674,0.2655,"",0.0,40.397333,-124.544333,"2019-07-10","03:04:18.166676"
30,4.221,4.254,9.5223,33.9612,9.5329,33.9642,3.6633,3.6646,1486.9,1486.85,1487.37,3.6796,3.6606,0.2533,"",2.1245,40.397333,-124.544333,"2019-07-10","03:04:18.208343"
31,4.184,4.217,9.523,33.9616,9.533,33.9644,3.6634,3.6646,1486.9,1486.85,1487.38,3.6795,3.6504,0.2533,"",3.2967,40.397333,-124.544333,"2019-07-10","03:04:18.250010"
32,4.216,4.249,9.5245,33.9609,9.5329,33.9647,3.6635,3.6647,1486.91,1486.86,1487.38,3.6794,3.657,0.2533,"",3.37,40.397333,-124.544333,"2019-07-10","03:04:18.291677"
33,4.184,4.217,9.5253,33.9606,9.533,33.9647,3.6636,3.6647,1486.91,1486.86,1487.38,3.6794,3.6569,0.2533,"",3.2479,40.397333,-124.544333,"2019-07-10","03:04:18.333344"
34,4.184,4.217,9.5253,33.9608,9.5332,33.9644,3.6636,3.6647,1486.91,1486.86,1487.38,3.6794,3.667,0.2533,"",3.199,40.397333,-124.544333,"2019-07-10","03:04:18.375011"
35,4.184,4.217,9.5253,33.9605,9.5333,33.964,3.6636,3.6646,1486.91,1486.86,1487.38,3.6794,3.6502,0.2533,"",3.199,40.397333,-124.544333,"2019-07-10","03:04:18.416678"
36,4.152,4.184,9.525,33.9606,9.5332,33.9645,3.6635,3.6647,1486.91,1486.86,1487.38,3.6911,3.6569,0.2533,"",3.2234,40.397333,-124.544333,"2019-07-10","03:04:18.458345"
37,4.184,4.217,9.5235,33.9622,9.5332,33.9642,3.6636,3.6646,1486.9,1486.85,1487.38,3.6831,3.6571,0.2655,"",3.2234,40.397333,-124.544333,"2019-07-10","03:04:18.500012"
38,4.184,4.217,9.5235,33.9626,9.5332,33.9637,3.6636,3.6646,1486.9,1486.85,1487.38,3.6831,3.6672,0.2533,"",3.2234,40.397333,-124.544333,"2019-07-10","03:04:18.541679"
39,4.152,4.184,9.5238,33.9626,9.5333,33.9638,3.6636,3.6646,1486.9,1486.85,1487.38,3.6831,3.6604,0.2533,"",3.199,40.397333,-124.544333,"2019-07-10","03:04:18.583346"
40,4.152,4.184,9.5243,33.963,9.533,33.9642,3.6637,3.6646,1486.91,1486.86,1487.38,3.683,3.6603,0.2533,"",3.199,40.397333,-124.544333,"2019-07-10","03:04:18.625013"
41,4.184,4.217,9.5255,33.9624,9.533,33.9646,3.6637,3.6647,1486.91,1486.86,1487.39,3.683,3.6602,0.2533,"",3.199,40.397333,-124.544333,"2019-07-10","03:04:18.666680"
42,4.115,4.147,9.5265,33.9614,9.533,33.9646,3.6637,3.6647,1486.91,1486.86,1487.39,3.6829,3.65,0.2533,"",3.2234,40.397333,-124.544333,"2019-07-10","03:04:18.708347"
