Date,Time,Button,Transect #,Station #,Methot #,CTD Cast #,uCTD #,Vertical Net #,NOTES,SciGPS-Time,SciGPS-Lat,SciGPS-Lon,SciGPS-COG,SciGPS-SOG,Gyro-MainFeed-Heading,AirTempC,Wetbulb,RelativeHumidity,TrueWind-JackStaff-SPEED,TrueWind-JackStaff-DIRECTION,Barometer-Vaisala-HCP,TSG21-SBE38-Temp-C,TSG21-Salinity,Fluorometer-Turner-10-AU-raw,EK-38kHz-DepthBelowSurface-M-VALUE,ES-50kHz-DepthBelowTransducer-M,Shaft-RPM-Message-VALUE,SideStationWinch-1-Length-M,SideStationWinch-2-Length-M
6/13/19,20:41:56,Start Event,,,,,,,no bird strike,204155,4419.7905N,12419.1427W,233,0.6,344.7,13.6,12.5,88,14.01,340.36,1017.66,11.02011,33.36516,3.534,77.26,84.62,28.35547,7,8
6/13/19,20:58:37,CTD at Depth,,,,1,,,no bird strike,205835,4419.7893N,12419.1425W,230,1.7,346.61,13.9,12.7,87,15.29,358.07,1017.9,11.05043,33.06685,3.839,77.48,85.04,33.31882,4,8
6/13/19,22:58:49,CB Down,,,,,,,no bird strike,225847,4418.4067N,12418.4701W,264,1.1,357.74,13.9,12.5,85,11.17,5.47,1017.82,11.5767,33.33644,4.361,74.81,81.13,4.70293,0,8
6/16/19,13:12:54,CTD at Depth,,Monterey Bay,,2,,,no bird strike,131253,3638.1692N,12153.0783W,178,0.2,290.74,12.1,11.5,93,5.43,247.76,1014.25,13.9867,33.49984,1.266,61.04,68.78,2.29785,61,8
6/16/19,20:36:41,CTD at Depth,,Monterey Bay,,3,,,no bird strike,203640,3638.1650N,12153.0805W,189,0.4,299.15,14.5,12.6,80,8.1,272.71,1013.49,14.15041,33.49518,1.139,63.04,69.69,2.34381,58,8
6/17/19,11:20:34,CTD at Depth,1,7,,4,,,no bird strike,112033,3423.8309N,12059.9234W,284,0.6,304.02,13.5,12.9,94,9.63,350.14,1012.15,14.25853,33.52343,1.08,1121.47,0,13.05179,567,8
6/17/19,12:30:50,CTD at Depth,,9,,5,,,no bird strike,123048,3423.7005N,12108.7306W,304,0.7,328.45,13.4,13,96,5.18,0.65,1012.01,14.09163,33.5174,0.839,-0.03,0,22.79467,572,8
6/17/19,12:53:03,Start Transect,,9,,,,,no bird strike,125301,3423.8349N,12108.5698W,94,7.5,82.86,13.3,12.9,95,12.39,327.78,1012.18,14.0753,33.52011,0.845,-0.03,0,79.78135,0,8
6/17/19,15:24:03,Break Transect,,9,,,,,no bird strike,152402,3423.8394N,12034.5298W,89,11.1,85.91,12.8,12.5,96,14.53,320.22,1012.93,13.23621,33.68123,0.836,249.88,143.81,100.93689,0,8
6/17/19,20:50:30,CTD at Depth,,zPC1,,6,,,no bird strike,205028,3433.8647N,12041.5655W,162,1.7,335.97,15.7,13.9,82,3.44,318.46,1013.21,13.06611,33.68715,0.642,60.51,67.53,2.46636,61,8
6/17/19,21:01:40,VertNet In,,zPC1,,,,1,no bird strike,210139,3433.8320N,12041.5112W,236,1.4,333.71,16.2,14,79,2.41,320.39,1013.19,13.10941,33.69548,0.642,60.54,66.45,12.53094,11,1
6/17/19,21:07:07,VertNet Out,,zPC1,,,,1,no bird strike,210706,3433.8246N,12041.4904W,7,1.2,324.59,16.3,14.1,78,2.71,278.71,1013.28,13.05741,33.66723,0.639,60.29,66.47,16.55984,11,0
