Date UTC,Tube #,CTD cast,Niskin,depth,comments,extraction,comments,qubit (ng/ul),water filtered (L),elution (ul),Fluor,Zymo columns
7/2/2019,1,22-2,1,50,pink particles on filter,12/30/2019,Extraction batch 1-15 with 12/30/19 ext neg#1,,2.5,,0.10337,
7/2/2019,2,22-2,2,50,"pink particles on filter, Niskin leaking on deck",12/30/2019,Extraction batch 1-15 with 12/30/19 ext neg#2,,2.5,,0.10337,
7/2/2019,3,22-2,3,25,,12/30/2019,Extraction batch 1-15 with 12/30/19 ext neg#3,,2.5,,3.08112,
7/2/2019,4,22-2,4,25,,12/30/2019,Extraction batch 1-15 with 12/30/19 ext neg#4,,2.5,,3.08112,
7/2/2019,5,22-2,sfc,sfc,"pink particles on filter, line not flushed",12/30/2019,Extraction batch 1-15 with 12/30/19 ext neg#5,,2.5,,7.01868,Yes
7/2/2019,6,22-2,sfc,sfc,"pink particles on filter, line not flushed",12/30/2019,Extraction batch 1-15 with 12/30/19 ext neg#6,,2.5,,7.01868,Yes
7/2/2019,7,22-1,1,48,,12/30/2019,"dark pellet, Extraction batch 1-15 with 12/30/19 ext neg#6",,2.5,,0.13185,
7/2/2019,8,22-1,2,48,,12/30/2019,"dark pellet, Extraction batch 1-15 with 12/30/19 ext neg#6",,2.5,,0.13185,
7/2/2019,9,22-1,3,25,,12/30/2019,Extraction batch 1-15 with 12/30/19 ext neg#6,,2.5,,0.52725,
7/2/2019,10,22-1,4,25,,12/30/2019,Extraction batch 1-15 with 12/30/19 ext neg#6,,2.5,,0.52725,
7/2/2019,11,22-1,sfc,sfc,line not flushed,12/30/2019,Extraction batch 1-15 with 12/30/19 ext neg#6,,2.5,,2.7495,Yes
7/2/2019,12,22-1,sfc,sfc,line not flushed,12/30/2019,Extraction batch 1-15 with 12/30/19 ext neg#6,,2.5,,2.7495,Yes
7/3/2019,13,23-1,1,45,,12/30/2019,"dark pellet, Extraction batch 1-15 with 12/30/19 ext neg#6",,2.5,,,
7/3/2019,14,23-1,2,45,,12/30/2019,"dark pellet, Extraction batch 1-15 with 12/30/19 ext neg#6",,2.5,,,
7/3/2019,15,23-1,3,25,About 2 ml of sample 14 got into this filter cup,12/30/2019,"dark pellet, Extraction batch 1-15 with 12/30/19 ext neg#6",,2.5,,,Yes
7/3/2019,16,23-1,4,25,Only ~2L,12/30/2019,extraction batch 16-30 with 12/30/19 ext neg #2,,2.5,,,Yes
7/3/2019,17,23-1,sfc,sfc,line not flushed,12/30/2019,extraction batch 16-30 with 12/30/19 ext neg #3,,2.5,,,Yes
7/3/2019,18,23-1,sfc,sfc,line not flushed,12/30/2019,extraction batch 16-30 with 12/30/19 ext neg #4,,2.5,,,Yes
7/3/2019,19,-,-,-,"Evap DI water, ~2L",12/30/2019,extraction batch 16-30 with 12/30/19 ext neg #5,,2.5,,,
7/3/2019,20,-,-,-,Lab DI water,12/30/2019,extraction batch 16-30 with 12/30/19 ext neg #6,,2.5,,,
7/3/2019,21,25-6,1,500,,12/30/2019,extraction batch 16-30 with 12/30/19 ext neg #7,,2.5,,NaN,
7/3/2019,22,25-6,2,500,"Low flow out of Niskin, unclear why, but fully sealed, not thought to be contaminated with full water column",12/30/2019,extraction batch 16-30 with 12/30/19 ext neg #8,,2.5,,NaN,
7/3/2019,23,25-6,3,300,,12/30/2019,extraction batch 16-30 with 12/30/19 ext neg #9,,2.5,,0.00628,
7/3/2019,24,25-6,4,300,,12/30/2019,extraction batch 16-30 with 12/30/19 ext neg #10,,2.5,,0.00628,
7/3/2019,25,25-6,6,150,,12/30/2019,extraction batch 16-30 with 12/30/19 ext neg #11,,2.5,,-0.0011,
7/3/2019,26,25-6,7,100,,12/30/2019,extraction batch 16-30 with 12/30/19 ext neg #12,,2.5,,0.00911,
7/3/2019,27,25-6,8,100,,12/30/2019,extraction batch 16-30 with 12/30/19 ext neg #13,,2.5,,0.00911,
7/3/2019,28,25-6,9,50,,12/30/2019,extraction batch 16-30 with 12/30/19 ext neg #14,,2.5,,0.4395,
7/3/2019,29,25-6,10,50,,12/30/2019,extraction batch 16-30 with 12/30/19 ext neg #15,,2.5,,0.4395,Yes
7/3/2019,30,25-6,sfc,sfc,line not flushed,12/30/2019,Phenol step the grease failed. extraction batch 16-30 with 12/30/19 ext neg #15,,2.5,,1.24222,
7/3/2019,31,25-6,sfc,sfc,line not flushed,1/2/2020,"Extraction batch 31-46, extraction neg for day not extracted in this batch",,2.5,,1.24222,Yes
7/3/2019,32,25-4,1,495,,1/2/2020,"No visible pellet. Extraction batch 31-46, extraction neg for day not extracted in this batch",,2.5,,0.01474,
7/3/2019,33,25-4,2,495,,1/2/2020,"No visible pellet. Extraction batch 31-46, extraction neg for day not extracted in this batch",,2.5,,0.01474,
7/3/2019,34,25-4,3,300,,1/2/2020,"No visible pellet. Extraction batch 31-46, extraction neg for day not extracted in this batch",,2.5,,0.00131,
7/3/2019,35,25-4,4,300,,1/2/2020,"No visible pellet. Extraction batch 31-46, extraction neg for day not extracted in this batch",,2.5,,0.00131,
7/3/2019,36,25-4,5,150,,1/2/2020,"No visible pellet. Extraction batch 31-46, extraction neg for day not extracted in this batch",,2.5,,-0.0056,
7/3/2019,37,25-4,6,150,,1/2/2020,"No visible pellet. Extraction batch 31-46, extraction neg for day not extracted in this batch",,2.5,,-0.0056,
7/3/2019,38,25-4,7,100,,1/2/2020,"No visible pellet. Extraction batch 31-46, extraction neg for day not extracted in this batch",,2.5,,0.0053,
7/3/2019,39,25-4,8,100,,1/2/2020,"No visible pellet. Extraction batch 31-46, extraction neg for day not extracted in this batch",,2.5,,0.0053,
7/3/2019,40,25-4,9,50,,1/2/2020,"Extraction batch 31-46, extraction neg for day not extracted in this batch",,2.5,,0.33992,
7/3/2019,41,25-4,10,50,,1/2/2020,"Extraction batch 31-46, extraction neg for day not extracted in this batch",,2.5,,0.33992,
7/3/2019,42,25-4,sfc,sfc,line not flushed,1/2/2020,"Extraction batch 31-46, extraction neg for day not extracted in this batch",,2.5,,1.924,
7/3/2019,43,25-4,sfc,sfc,line not flushed,1/2/2020,"Phenol grease broke.Extraction batch 31-46, extraction neg for day not extracted in this batch",,2.5,,1.924,
7/4/19,44,25-2,1,135,,1/2/2020,"Extraction batch 31-46, extraction neg for day not extracted in this batch",,2.5,,0.01659,
7/4/19,45,25-2,2,135,,1/2/2020,"No visible pellet. Extraction batch 31-46, extraction neg for day not extracted in this batch",,2.5,,0.01659,
7/4/19,46,25-2,3,100,Dropped filter on bench,1/2/2020,"Extraction batch 31-46, extraction neg for day not extracted in this batch",,2.5,,0.00265,
7/4/19,47,25-2,4,100,,1/2/2020,"No visible pellet. Extraction batch 47-57, 64-67, extraction neg for day extracted in this batch",,2.5,,0.00265,
7/4/19,48,25-2,5,50,,1/2/2020,"Phenol grease broke. Extraction batch 47-57, 64-67, extraction neg for day extracted in this batch",,2.5,,4.37044,
7/4/19,49,25-2,6,50,,1/2/2020,"Extraction batch 47-57, 64-67, extraction neg for day extracted in this batch",,2.5,,4.37044,
7/4/19,50,25-2,sfc,sfc,line not flushed,1/2/2020,"Extraction batch 47-57, 64-67, extraction neg for day extracted in this batch",,2.5,,8.98138,
7/4/19,51,25-2,sfc,sfc,line not flushed,1/2/2020,"Not full volume transfered in phenol step-poured down side of tube instead of off tube into new tube. Extraction batch 47-57, 64-67, extraction neg for day extracted in this batch",,2.5,,8.98138,
7/4/19,52,25-1,1,40,,1/2/2020,"Dark pellet. Pippetted phenolstep---the grease was holding but there was apparent brown particulate contamination in the aqueous side, unclear reason, pipetted aqueous layer off avoiding brown contamination. Extraction batch 47-57, 64-67, extraction neg for day extracted in this batch",,2.5,,0.25387,
7/4/19,53,25-1,2,40,,1/2/2020,"Dark pellet. Pippetted phenolstep---the grease was holding but there was apparent brown particulate contamination in the aqueous side, unclear reason, pipetted aqueous layer off avoiding brown contamination. Extraction batch 47-57, 64-67, extraction neg for day extracted in this batch",,2.5,,0.25387,
7/4/19,54,25-1,3,25,,1/2/2020,"Dark pellet. Pippetted phenolstep---the grease was holding but there was apparent brown particulate contamination in the aqueous side, unclear reason, pipetted aqueous layer off avoiding brown contamination. Extraction batch 47-57, 64-67, extraction neg for day extracted in this batch",,2.5,,0.31925,
7/4/19,55,25-1,4,25,,1/2/2020,"Dark pellet. Pippetted phenolstep---the grease was holding but there was apparent brown particulate contamination in the aqueous side, unclear reason, pipetted aqueous layer off avoiding brown contamination. Extraction batch 47-57, 64-67, extraction neg for day extracted in this batch",,2.5,,0.31925,
7/4/19,56,25-1,sfc,sfc,line not flushed,1/2/2020,"Dark pellet. Pippetted phenolstep---the grease was holding but there was apparent brown particulate contamination in the aqueous side, unclear reason, pipetted aqueous layer off avoiding brown contamination. Extraction batch 47-57, 64-67, extraction neg for day extracted in this batch",,2.5,,0.34069,
7/4/19,57,25-1,sfc,sfc,"line not flushed, only ~2L",1/2/2020,"Dark pellet. Pippetted phenolstep---the grease was holding but there was apparent brown particulate contamination in the aqueous side, unclear reason, pipetted aqueous layer off avoiding brown contamination. Extraction batch 47-57, 64-67, extraction neg for day extracted in this batch",,2.5,,0.34069,
7/4/19,58,26-1,1,50,Took longer to filter,11/05/2019,dark pellet,34.4,2.5,100,0.34337,Yes
7/4/19,59,26-1,2,50,Took longer to filter,11/05/2019,dark pellet,48.1,2.5,100,0.34337,Yes
7/4/19,60,26-1,3,25,pink particles on filter,11/05/2019,phase-lock failed on 1st CI wash,34.9,2.5,100,0.20755,
7/4/19,61,26-1,4,25,,11/05/2019,,45,2.5,100,0.20755,
7/4/19,62,26-1,sfc,sfc,,11/05/2019,phase-lock failed on 2nd CI wash,0.252,2.5,100,0.31961,
7/4/19,63,26-1,sfc,sfc,,11/05/2019,,49.3,2.5,100,0.31961,
7/4/19,64,26-2,1,150,,1/2/2020,"No visible pellet. Pippetted phenolstep---the grease was holding but there was apparent brown particulate contamination in the aqueous side, unclear reason, pipetted aqueous layer off avoiding brown contamination. Extraction batch 47-57, 64-67, extraction neg for day extracted in this batch",,2.5,,0.00581,
7/4/19,65,26-2,2,150,,1/2/2020,"No visible pellet. Pippetted phenolstep---the grease was holding but there was apparent brown particulate contamination in the aqueous side, unclear reason, pipetted aqueous layer off avoiding brown contamination. Extraction batch 47-57, 64-67, extraction neg for day extracted in this batch",,2.5,,0.00581,
7/4/19,66,26-2,3,100,,1/2/2020,"No visible pellet. Pippetted phenolstep---the grease was holding but there was apparent brown particulate contamination in the aqueous side, unclear reason, pipetted aqueous layer off avoiding brown contamination. Extraction batch 47-57, 64-67, extraction neg for day extracted in this batch",,2.5,,-0.0047,
7/4/19,67,26-2,4,100,,1/2/2020,"No visible pellet. Pippetted phenolstep---the grease was holding but there was apparent brown particulate contamination in the aqueous side, unclear reason, pipetted aqueous layer off avoiding brown contamination. Extraction batch 47-57, 64-67, extraction neg for day extracted in this batch",,2.5,,-0.0047,
7/4/19,68,26-2,5,50,pink particles on filter,11/05/2019,,39.8,2.5,100,0.04593,
7/4/19,69,26-2,6,50,,11/05/2019,phase-lock failed on 1st CI wash,5.49,2.5,100,0.04593,
7/4/19,70,26-2,sfc,sfc,,11/05/2019,phase-lock failed on 2nd CI wash,too high?,2.5,100,2.1658,
7/4/19,71,26-2,sfc,sfc,,11/05/2019,,too high?,2.5,100,2.1658,
7/4/19,72,26-3,1,500,,1/2/2019,"Entire batch-no visible pellet. Extraction batch 72-79,84-91, extraction neg for day extracted in earlier batch",,2.5,,0.01035,
7/4/19,73,26-3,2,500,,1/2/2019,"Entire batch-no visible pellet. Extraction batch 72-79,84-91, extraction neg for day extracted in earlier batch",,2.5,,0.01035,
7/4/19,74,26-3,3,300,,1/2/2019,"Entire batch-no visible pellet. Extraction batch 72-79,84-91, extraction neg for day extracted in earlier batch",,2.5,,0.00583,
7/4/19,75,26-3,4,300,,1/2/2019,"Entire batch-no visible pellet. Extraction batch 72-79,84-91, extraction neg for day extracted in earlier batch",,2.5,,0.00583,
7/4/19,76,26-3,5,150,,1/2/2019,"Entire batch-no visible pellet. Extraction batch 72-79,84-91, extraction neg for day extracted in earlier batch",,2.5,,#######,
7/4/19,77,26-3,6,150,took longer to filter,1/2/2019,"Entire batch-no visible pellet. Extraction batch 72-79,84-91, extraction neg for day extracted in earlier batch",,2.5,,#######,
7/4/19,78,26-3,7,100,,1/2/2019,"Entire batch-no visible pellet. Extraction batch 72-79,84-91, extraction neg for day extracted in earlier batch",,2.5,,0.00237,
