Station ID,File name,UTCDate,UTCTime,Latitude,Longitude,Notes
x43.95-150,001.hdr,7/23/2022,5:29:52,43.94620333,-124.5719767,
x43.95-500,002.hdr,7/23/2022,8:10:25,43.93940167,-124.9791583,
x43.95-1000,003.hdr,7/23/2022,9:20:02,43.94606,-125.041965,
A1_800,004.hdr,7/24/2022,4:07:52,44.139325,-125.02742,
A1_500,005.hdr,7/25/2022,3:40:02,44.13897833,-125.00223,
A1_300,006.hdr,7/25/2022,5:01:36,44.14125333,-124.9735617,
A1_100,007.hdr,7/25/2022,8:09:51,44.140575,-124.3943867,
A1_500,008.hdr,7/25/2022,22:53:36,44.1413,-124.9112633,"Possible station ID mislabel, check max sample depth, is it near 300 or 500?"
A1_500,009.hdr,7/26/2022,0:47:15,44.140925,-125.00079,"Possible station ID mislabel, check max sample depth, is it near 300 or 500?"
A1_800,010.hdr,7/26/2022,3:01:05,44.141375,-125.02499,
A1_100.1,011.hdr,7/26/2022,6:22:04,44.14341833,-124.6489967,
x45.61_1500,012.hdr,7/27/2022,5:13:06,45.61029,-124.9716183,
x45.61_500,013.hdr,7/27/2022,7:29:43,45.606985,-124.7567283,
x45.61_300,014.hdr,7/27/2022,9:04:05,45.61129167,-124.559635,
x45.61_150,015.hdr,7/27/2022,10:37:29,45.61045167,-124.322445,
x45.61_100,016.hdr,7/27/2022,11:51:34,45.61135167,-124.1529617,
Calibration,017.hdr,7/27/2022,22:39:44,45.60767,-124.4719267,
x45.61_300,018.hdr,7/28/2022,4:35:27,45.611255,-124.5569717,
x45.61_150,019.hdr,7/28/2022,6:44:49,45.612895,-124.31896,
x45.61_100,020.hdr,7/28/2022,8:54:45,45.61091833,-124.15878,
AWT 9,021.hdr,7/28/2022,10:29:52,45.625635,-124.2075467,
Calibration Station,022_Calibration.hdr,7/28/2022,14:50:16,45.62489667,-124.2075383,
45.33_1,023.hdr,7/29/2022,4:11:16,45.55072,-124.3058633,Repeat station ID suspicious
45.33_1,024.hdr,7/29/2022,4:47:36,45.55186667,-124.31047,Repeat station ID suspicious
45.33_1,025.hdr,7/29/2022,5:45:19,45.55264333,-124.31346,Repeat station ID suspicious
Camera401,026.hdr,7/29/2022,23:12:52,44.65008667,-124.5563383,
Camera402,027.hdr,7/30/2022,2:17:31,44.65049833,-124.5839283,
NH15,028.hdr,7/30/2022,5:56:16,44.65344,-124.4122017,
NH20,029.hdr,7/30/2022,7:11:55,44.654045,-124.531075,
NH25,030.hdr,7/30/2022,8:34:40,44.64911833,-124.6492083,
NH35,031.hdr,7/30/2022,10:49:00,44.648205,-124.88508,
NH45,032.hdr,7/30/2022,13:06:15,44.65010833,-125.1239983,
b2_100,033.hdr,8/1/2022,4:22:29,45.61273,-124.155375,
b2_300,034.hdr,8/1/2022,8:41:03,45.61235,-124.55804,
b2.1/CTD_800,035.hdr,8/1/2022,11:49:05,45.61134,-124.7936017,
B2_500,036.hdr,8/3/2022,4:30:16,45.61168333,-124.7637183,
B2_150,037.hdr,8/3/2022,9:12:24,45.61118167,-124.3231133,
46.36_500,038.hdr,8/4/2022,7:34:36,46.610065,-124.67083,
46.36_300,039.hdr,8/4/2022,8:22:06,46.61028667,-124.6412083,
46.36_150,040.hdr,8/4/2022,9:12:30,46.61288333,-124.5570383,
46.36_100,041.hdr,8/4/2022,11:14:40,46.61071667,-124.4463933,
47.45_800,042.hdr,8/5/2022,4:23:44,47.44356833,-124.879815,
47.45_500,043.hdr,8/5/2022,5:05:42,47.44530333,-124.85152,
47.45_300,044.hdr,8/5/2022,5:45:09,47.44519,-124.8358517,
47.45_150,045.hdr,8/5/2022,6:20:21,47.44525333,-124.8075483,
47.45_100,046.hdr,8/5/2022,7:10:02,47.44328,-124.7032267,
47.45_50,047.hdr,8/5/2022,8:04:39,47.443025,-124.5666367,
