Date UTC,Tube #,CTD cast,Niskin,depth,comments,water.filtered.L,drop.sample,field.negative.type,Filter size (un),extraction,Extraction technician,elution (ul),comments,qubit (ng/ul),Fluor,Zymo columns,
7/1/2021,1,N/A,N/A,N/A,"Aerial eDNA, 5 min, pre fishing has occured on boat this survey, single use (0.45) cups",N/A,,Aerial.5min,0.45,20211025,,100,,,,,
7/1/2021,2,N/A,N/A,N/A,"Aerial eDNA, 5 min, pre fishing has occured on boat this survey, single use (0.45) cups",N/A,,Aerial.5min,0.45,20211025,,100,,,,,
7/1/2021,3,N/A,N/A,N/A,"Aerial eDNA, 5 min, pre fishing has occured on boat this survey, single use (0.45) cups",N/A,,Aerial.5min,0.45,20211025,,100,,,,,
7/1/2021,4,N/A,N/A,N/A,"Aerial eDNA, 10 hour passive, pre fishing has occured on boat, single use (0.45) cups",N/A,,Aerial.10h,0.45,20211025,,100,,,,,
7/2/2021,5,x1_150,sfc,sfc,,2.5,,,1,20211025,,100,visible DNA pellet,,,,
7/2/2021,6,x1_150,sfc,sfc,,2.5,,,1,20211025,,100,visible DNA pellet,,,,
7/2/2021,7,x1_150,2,150,Took a long time,2.5,,,1,20211025,,100,,,,,
7/2/2021,8,x1_150,3,150,ST,2.5,,,1,20211025,,100,,,,,
7/2/2021,9,x1_150,4,50,,2.5,,,1,20211025,,100,,,,,
7/2/2021,10,x1_150,5,50,,2.5,,,1,20211025,,100,,,,,
7/2/2021,11,x1_300,sfc,sfc,Took a long time,2.5,,,1,20211025,,100,visible DNA pellet,,,,
7/2/2021,12,x1_300,sfc,sfc,Took a long time,2.5,,,1,20211025,,100,visible DNA pellet,,,,
7/2/2021,13,x1_300,2,290,,2.5,,,1,20211025,,100,,,,,
7/2/2021,14,x1_300,3,290,,2.5,,,1,20211025,,100,,,,,
7/2/2021,15,x1_300,4,200,,2.5,,,1,20211025,,100,,,,,
7/2/2021,16,x1_300,5,200,,2.5,,,1,20211025,,100,,,,,
7/2/2021,17,x1_300,6,150,,2.5,,,1,20211025,,100,,,,,
7/2/2021,18,x1_300,7,150,ST,2.5,,,1,20211025,,100,,,,,
7/2/2021,19,x1_300,8,50,ST,2.5,"Y, ext issue",,1,20211025,,100,chlroform carry over,,,,
7/2/2021,20,x1_300,9,50,ST,2.5,,,1,20211025,,100,,,,,
7/2/2021,21,x1_500,sfc,sfc,Took a long time,2.5,,,1,20211025,,100,visible DNA pellet,,,,
