qPCR,well,sample,CTD cast,Niskin,depth,comments,drop.sample,IPC_Ct,inhibition_rate,discard,Zymo,dilution,hake_Ct,hake_copies_ul,lamprey_Ct,lamprey_copies_ul,eulachon_Ct,eulachon_copies_ul
H22_01,P13,52462-080,A1_500,2,500,"Regular Cups, 1st Niskin",,27.123,0.161,,,,31.703,12.152,Undetermined,,Undetermined,
H22_01,P14,52462-080,A1_500,2,500,"Regular Cups, 1st Niskin",,27.1,0.138,,,,32.301,7.895,Undetermined,,Undetermined,
H22_01,P15,52462-080,A1_500,2,500,"Regular Cups, 1st Niskin",,27.158,0.196,,,,32.87,5.24,Undetermined,,Undetermined,
H22_02,A4,52463-001,A1_500,2,500,"Regular Cups, Repeat Niskin",,26.236,-0.084,,,,32.65,6.804,Undetermined,,Undetermined,
H22_02,A5,52463-001,A1_500,2,500,"Regular Cups, Repeat Niskin",,26.148,-0.172,,,,32.45,7.89,Undetermined,,Undetermined,
H22_02,A6,52463-001,A1_500,2,500,"Regular Cups, Repeat Niskin",,26.379,0.059,,,,32.33,8.604,Undetermined,,Undetermined,
H22_02,B4,52463-002,A1_500,2,500,Sodium Thiosulfate Cups,,26.218,-0.102,,,,32.529,7.436,Undetermined,,39.057,0.097
H22_02,B5,52463-002,A1_500,2,500,Sodium Thiosulfate Cups,,26.382,0.062,,,,33.172,4.676,Undetermined,,Undetermined,
H22_02,B6,52463-002,A1_500,2,500,Sodium Thiosulfate Cups,,26.486,0.166,,,,33.615,3.396,Undetermined,,Undetermined,
H22_01,I16,52462-081,A1_500,3,500,"Regular Cups, 1st Niskin",,27.003,0.041,,,,32.051,9.456,Undetermined,,Undetermined,
H22_01,I17,52462-081,A1_500,3,500,"Regular Cups, 1st Niskin",,27.012,0.05,,,,31.967,10.049,Undetermined,,Undetermined,
H22_01,I18,52462-081,A1_500,3,500,"Regular Cups, 1st Niskin",,26.978,0.016,,,,32.808,5.48,Undetermined,,Undetermined,
H22_02,C4,52463-003,A1_500,3,500,"Regular Cups, Repeat Niskin",,26.446,0.126,,,,32.955,5.467,Undetermined,,Undetermined,
H22_02,C5,52463-003,A1_500,3,500,"Regular Cups, Repeat Niskin",,26.421,0.101,,,,32.264,9.004,Undetermined,,Undetermined,
H22_02,C6,52463-003,A1_500,3,500,"Regular Cups, Repeat Niskin",,26.398,0.078,,,,33.378,4.03,Undetermined,,Undetermined,
H22_02,D4,52463-004,A1_500,3,500,Sodium Thiosulfate Cups,,26.495,0.175,,,,32.477,7.724,Undetermined,,Undetermined,
H22_02,D5,52463-004,A1_500,3,500,Sodium Thiosulfate Cups,,26.429,0.109,,,,33.027,5.192,Undetermined,,Undetermined,
H22_02,D6,52463-004,A1_500,3,500,Sodium Thiosulfate Cups,,26.337,0.017,,,,32.867,5.829,Undetermined,,Undetermined,
H22_01,J16,52462-082,A1_500,4,300,"Regular Cups, 1st Niskin",,26.967,0.005,,,,31.744,11.8,Undetermined,,Undetermined,
H22_01,J17,52462-082,A1_500,4,300,"Regular Cups, 1st Niskin",,26.872,-0.09,,,,31.594,13.146,Undetermined,,Undetermined,
H22_01,J18,52462-082,A1_500,4,300,"Regular Cups, 1st Niskin",,26.992,0.03,,,,31.286,16.415,Undetermined,,Undetermined,
H22_02,E4,52463-005,A1_500,4,300,"Regular Cups, Repeat Niskin",,26.448,0.128,,,,33.097,4.937,Undetermined,,Undetermined,
H22_02,E5,52463-005,A1_500,4,300,"Regular Cups, Repeat Niskin",,26.373,0.053,,,,32.697,6.588,Undetermined,,Undetermined,
H22_02,E6,52463-005,A1_500,4,300,"Regular Cups, Repeat Niskin",,26.413,0.093,,,,32.466,7.782,Undetermined,,Undetermined,
H22_02,F4,52463-006,A1_500,4,300,Sodium Thiosulfate Cups,,26.52,0.2,,,,32.484,7.683,Undetermined,,Undetermined,
H22_02,F5,52463-006,A1_500,4,300,Sodium Thiosulfate Cups,,26.237,-0.083,,,,33.117,4.864,Undetermined,,Undetermined,
H22_02,F6,52463-006,A1_500,4,300,Sodium Thiosulfate Cups,,26.457,0.137,,,,31.921,11.539,Undetermined,,Undetermined,
H22_01,K16,52462-083,A1_500,5,300,"Regular Cups, 1st Niskin",,27.028,0.066,,,,34.762,1.34,Undetermined,,Undetermined,
H22_01,K17,52462-083,A1_500,5,300,"Regular Cups, 1st Niskin",,26.909,-0.053,,,,32.895,5.146,Undetermined,,Undetermined,
