Station ID,File name,UTCDate,UTCTime,Latitude,Longitude
Precalibration,000.hdr,6/30/21,16:19:35,36.63733333,-121.8855
Precalibration,001.hdr,6/30/21,17:11:53,36.63733333,-121.8855
Postcalibration,002.hdr,6/30/21,22:02:40,36.6375,-121.8855
X1_150,003.hdr,7/2/21,6:48:06,34.44383333,-120.62
X1_300,004.hdr,7/2/21,7:38:56,34.44583333,-120.671
X1_500,005.hdr,7/2/21,8:39:04,34.44516667,-120.7378333
X1_500.1,006.hdr,7/2/21,10:00:26,34.44783333,-120.8265
X3_50,007.hdr,7/3/21,5:34:55,34.77833333,-120.695
X3_150,008.hdr,7/3/21,6:53:00,34.778,-120.8528333
X3_300,009.hdr,7/3/21,7:52:55,34.77983333,-120.935
X3_500,010.hdr,7/3/21,9:21:14,34.78033333,-121.0675
X5_500.3,011.hdr,7/4/21,4:50:50,35.1085,-121.382
X5_500.2,012.hdr,7/4/21,6:20:18,35.11383333,-121.2741667
X5_500.1,013.hdr,7/4/21,7:39:41,35.11216667,-121.175
X5_500,014.hdr,7/4/21,9:07:17,35.11166667,-121.0733333
X5_300,015.hdr,7/4/21,10:27:54,35.11233333,-120.9655
X5_150,016.hdr,7/4/21,11:41:03,35.11116667,-120.8855
X7_50,017.hdr,7/5/21,5:30:29,35.443,-121.016
X7_150,018.hdr,7/5/21,6:19:31,35.44466667,-121.0838333
X7_300,019.hdr,7/5/21,7:11:46,35.44533333,-121.1593333
X7_500,020.hdr,7/5/21,8:31:17,35.44566667,-121.3113333
X7_500.1,021.hdr,7/5/21,9:41:37,35.4465,-121.4136667
X9_1500,022.hdr,7/6/21,5:02:21,35.77866667,-122.2146667
X9_500,023.hdr,7/6/21,9:32:36,35.7785,-121.5296667
X9_300,024.hdr,7/6/21,10:57:12,35.77816667,-121.4901667
X9_150,025.hdr,7/6/21,11:48:58,35.77666667,-121.4675
X9_50,026.hdr,7/6/21,12:45:10,35.77733333,-121.3683333
X13_500.1,027.hdr,7/8/21,4:09:42,36.44616667,-122.1183333
X13_500.2,028.hdr,7/8/21,5:57:06,36.444,-122.2181667
X13_500.3,029.hdr,7/8/21,8:03:51,36.44433333,-122.3181667
X13_1500,030.hdr,7/8/21,9:06:09,36.44683333,-122.3525
X15_50,031.hdr,7/9/21,5:03:17,36.77916667,-121.8408333
X15_150,032.hdr,7/9/21,5:42:50,36.776,-121.8836667
X15_500,033.hdr,7/9/21,6:37:07,36.77716667,-121.8968333
X15_1500,034.hdr,7/9/21,9:15:02,36.77683333,-122.314
X15_500.2,035.hdr,7/9/21,11:28:53,36.777,-122.107
X17_500.1,036.hdr,7/10/21,4:07:29,37.1125,-122.8458333
X17_500,037.hdr,7/10/21,5:45:33,37.11133333,-122.7335
X17_300,038.hdr,7/10/21,6:55:58,37.112,-122.7093333
X17_150,039.hdr,7/10/21,8:28:37,37.111,-122.682
X19_150,040.hdr,7/11/21,8:10:14,37.4435,-122.888
X19_300,041.hdr,7/11/21,9:14:19,37.44416667,-122.9561667
X19_500,042.hdr,7/11/21,10:22:05,37.44466667,-123.0168333
X21_1500,043.hdr,7/12/21,7:16:40,37.7845,-123.4196667
X21_150,044.hdr,7/12/21,9:29:13,37.7785,-123.2553333
X21_300,045.hdr,7/12/21,10:18:41,37.77733333,-123.2796667
