eDNA.sample,rep,Transect,position,depth,func.group,nReads
58,1,26,1,50,Marine; benthopelagic,206
58,1,26,1,50,Open; demersal,162776
58,1,26,1,50,Coastal;pelagic-neritic,0
58,1,26,1,50,Marine; pelagic-oceanic,0
58,1,26,1,50,Open; pelagic-neritic,0
58,1,26,1,50,Coastal; benthopelagic,0
58,1,26,1,50,Marine; bathypelagic,0
58,1,26,1,50,Coastal; demersal,0
59,1,26,1,50,Marine; benthopelagic,6088
59,1,26,1,50,Open; demersal,85566
59,1,26,1,50,Coastal;pelagic-neritic,0
59,1,26,1,50,Marine; pelagic-oceanic,0
59,1,26,1,50,Open; pelagic-neritic,0
59,1,26,1,50,Coastal; benthopelagic,0
59,1,26,1,50,Marine; bathypelagic,0
59,1,26,1,50,Coastal; demersal,0
59,2,26,1,50,Marine; benthopelagic,4734
59,2,26,1,50,Open; demersal,35516
59,2,26,1,50,Coastal;pelagic-neritic,5048
59,2,26,1,50,Marine; pelagic-oceanic,406
59,2,26,1,50,Open; pelagic-neritic,0
59,2,26,1,50,Coastal; benthopelagic,0
59,2,26,1,50,Marine; bathypelagic,0
59,2,26,1,50,Coastal; demersal,0
60,1,26,1,25,Marine; benthopelagic,0
60,1,26,1,25,Open; demersal,26044
60,1,26,1,25,Coastal;pelagic-neritic,73058
60,1,26,1,25,Marine; pelagic-oceanic,0
60,1,26,1,25,Open; pelagic-neritic,5630
60,1,26,1,25,Coastal; benthopelagic,0
60,1,26,1,25,Marine; bathypelagic,0
60,1,26,1,25,Coastal; demersal,0
60,2,26,1,25,Marine; benthopelagic,0
60,2,26,1,25,Open; demersal,67072
60,2,26,1,25,Coastal;pelagic-neritic,31396
60,2,26,1,25,Marine; pelagic-oceanic,0
60,2,26,1,25,Open; pelagic-neritic,3983
60,2,26,1,25,Coastal; benthopelagic,40416
60,2,26,1,25,Marine; bathypelagic,0
60,2,26,1,25,Coastal; demersal,0
61,1,26,1,25,Marine; benthopelagic,0
61,1,26,1,25,Open; demersal,12233
61,1,26,1,25,Coastal;pelagic-neritic,26880
61,1,26,1,25,Marine; pelagic-oceanic,0
61,1,26,1,25,Open; pelagic-neritic,873
61,1,26,1,25,Coastal; benthopelagic,0
61,1,26,1,25,Marine; bathypelagic,2809
61,1,26,1,25,Coastal; demersal,0
61,2,26,1,25,Marine; benthopelagic,0
61,2,26,1,25,Open; demersal,225898
61,2,26,1,25,Coastal;pelagic-neritic,106339
61,2,26,1,25,Marine; pelagic-oceanic,0
61,2,26,1,25,Open; pelagic-neritic,36878
61,2,26,1,25,Coastal; benthopelagic,0
61,2,26,1,25,Marine; bathypelagic,0
61,2,26,1,25,Coastal; demersal,0
61,3,26,1,25,Marine; benthopelagic,0
61,3,26,1,25,Open; demersal,46116
61,3,26,1,25,Coastal;pelagic-neritic,34464
61,3,26,1,25,Marine; pelagic-oceanic,0
61,3,26,1,25,Open; pelagic-neritic,3538
61,3,26,1,25,Coastal; benthopelagic,0
61,3,26,1,25,Marine; bathypelagic,0
61,3,26,1,25,Coastal; demersal,0
62,1,26,1,0,Marine; benthopelagic,0
62,1,26,1,0,Open; demersal,0
62,1,26,1,0,Coastal;pelagic-neritic,0
62,1,26,1,0,Marine; pelagic-oceanic,31326
62,1,26,1,0,Open; pelagic-neritic,5411
62,1,26,1,0,Coastal; benthopelagic,0
62,1,26,1,0,Marine; bathypelagic,2241
62,1,26,1,0,Coastal; demersal,0
62,2,26,1,0,Marine; benthopelagic,0
62,2,26,1,0,Open; demersal,0
62,2,26,1,0,Coastal;pelagic-neritic,0
62,2,26,1,0,Marine; pelagic-oceanic,2943
62,2,26,1,0,Open; pelagic-neritic,821
62,2,26,1,0,Coastal; benthopelagic,0
62,2,26,1,0,Marine; bathypelagic,1931
62,2,26,1,0,Coastal; demersal,0
63,1,26,1,0,Marine; benthopelagic,0
63,1,26,1,0,Open; demersal,55070
