"","Species","MFU-52193-1024-1-d1","MFU-52193-1044-1-d1","MFU-52193-1048-1-d1","MFU-52193-1079-1-d1","MFU-52193-1091-1-d1","MFU-52193-1093-1-d1","MFU-52193-1099-1-d5","MFU-52193-1115-1-d1","MFU-52193-1139-1-d5","MFU-52193-1157-1-d1","MFU-52193-1201-1-d5","MFU-52193-1231-1-d1","MFU-52193-124-1-d1","MFU-52193-1243-1-d1","MFU-52193-1253-1-d1","MFU-52193-1267-1-d1","MFU-52193-1275-1-d5","MFU-52193-1279-1-d5","MFU-52193-1281-1-d1","MFU-52193-1295-1-d1","MFU-52193-1299-1-d5","MFU-52193-1314-1-d5","MFU-52193-1334-1-d1","MFU-52193-1385-1-d1","MFU-52193-1449-1-d1","MFU-52193-1453-1-d1","MFU-52193-1474-1-d1","MFU-52193-150-1-d5","MFU-52193-1501-1-d1","MFU-52193-1555-1-d1","MFU-52193-156-1-d1","MFU-52193-1575-1-d1","MFU-52193-1591-1-d1","MFU-52193-1682-1-d1","MFU-52193-170-1-d1","MFU-52193-1700-1-d1","MFU-52193-1735-1-d5","MFU-52193-178-1-d1","MFU-52193-1811-1-d1","MFU-52193-182-1-d1","MFU-52193-1861-1-d1","MFU-52193-1869-1-d1","MFU-52193-1871-1-d1","MFU-52193-202-1-d1","MFU-52193-227-1-d1","MFU-52193-294-1-d1","MFU-52193-300-1-d1","MFU-52193-332-1-d5","MFU-52193-338-1-d1","MFU-52193-352-1-d1","MFU-52193-372-1-d1","MFU-52193-408-1-d1","MFU-52193-423-1-d1","MFU-52193-435-1-d1","MFU-52193-506-1-d1","MFU-52193-517-1-d1","MFU-52193-529-1-d1","MFU-52193-617-1-d1","MFU-52193-62-1-d1","MFU-52193-645-1-d1","MFU-52193-700-1-d1","MFU-52193-72-1-d1","MFU-52193-734-1-d5","MFU-52193-789-1-d1","MFU-52193-808-1-d5","MFU-52193-823-1-d1","MFU-52193-847-1-d1","MFU-52193-874-1-d5","MFU-52193-878-1-d1","MFU-52193-898-1-d5","MFU-52193-910-1-d5","MFU-52193-977-1-d1","MFU-52193-979-1-d1","MFU-52193-991-1-d1","MFU-52193-993-1-d5","MFU-52193-997-1-d1"
"1","Anarrhichthys ocellatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Anoplopoma fimbria",170,0,0,0,0,0,0,0,0,0,0,0,0,0,1753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2670,0,0
"3","Apristurus brunneus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Artedius fenestralis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1625,0,0,0,0,0,2840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Artedius harringtoni",0,0,1268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Balaena mysticetus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Balaenoptera physalus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Bathylagoides wesethi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Bathylagus pacificus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6668,0,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3779,0,0,0,0
"10","Beringraja binoculata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72
