Sample_name,Locus,file1,file2
81.1,16S_Prey,Locus_16S_Prey_81-1_S1_L001_R1_001.fastq,Locus_16S_Prey_81-1_S1_L001_R2_001.fastq
82.1,16S_Prey,Locus_16S_Prey_82-1_S2_L001_R1_001.fastq,Locus_16S_Prey_82-1_S2_L001_R2_001.fastq
286.1,16S_Prey,Locus_16S_Prey_286-1_S3_L001_R1_001.fastq,Locus_16S_Prey_286-1_S3_L001_R2_001.fastq
344.1,16S_Prey,Locus_16S_Prey_344-1_S4_L001_R1_001.fastq,Locus_16S_Prey_344-1_S4_L001_R2_001.fastq
457.1,16S_Prey,Locus_16S_Prey_457-1_S5_L001_R1_001.fastq,Locus_16S_Prey_457-1_S5_L001_R2_001.fastq
462.1,16S_Prey,Locus_16S_Prey_462-1_S6_L001_R1_001.fastq,Locus_16S_Prey_462-1_S6_L001_R2_001.fastq
489.1,16S_Prey,Locus_16S_Prey_489-1_S7_L001_R1_001.fastq,Locus_16S_Prey_489-1_S7_L001_R2_001.fastq
59.1,16S_Prey,Locus_16S_Prey_59-1_S8_L001_R1_001.fastq,Locus_16S_Prey_59-1_S8_L001_R2_001.fastq
71.1,16S_Prey,Locus_16S_Prey_71-1_S9_L001_R1_001.fastq,Locus_16S_Prey_71-1_S9_L001_R2_001.fastq
456.1,16S_Prey,Locus_16S_Prey_456-1_S10_L001_R1_001.fastq,Locus_16S_Prey_456-1_S10_L001_R2_001.fastq
457.2,16S_Prey,Locus_16S_Prey_457-2_S11_L001_R1_001.fastq,Locus_16S_Prey_457-2_S11_L001_R2_001.fastq
458.1,16S_Prey,Locus_16S_Prey_458-1_S12_L001_R1_001.fastq,Locus_16S_Prey_458-1_S12_L001_R2_001.fastq
459.1,16S_Prey,Locus_16S_Prey_459-1_S13_L001_R1_001.fastq,Locus_16S_Prey_459-1_S13_L001_R2_001.fastq
460.1,16S_Prey,Locus_16S_Prey_460-1_S14_L001_R1_001.fastq,Locus_16S_Prey_460-1_S14_L001_R2_001.fastq
461.1,16S_Prey,Locus_16S_Prey_461-1_S15_L001_R1_001.fastq,Locus_16S_Prey_461-1_S15_L001_R2_001.fastq
463.1,16S_Prey,Locus_16S_Prey_463-1_S16_L001_R1_001.fastq,Locus_16S_Prey_463-1_S16_L001_R2_001.fastq
486.1,16S_Prey,Locus_16S_Prey_486-1_S17_L001_R1_001.fastq,Locus_16S_Prey_486-1_S17_L001_R2_001.fastq
487.1,16S_Prey,Locus_16S_Prey_487-1_S18_L001_R1_001.fastq,Locus_16S_Prey_487-1_S18_L001_R2_001.fastq
488.1,16S_Prey,Locus_16S_Prey_488-1_S19_L001_R1_001.fastq,Locus_16S_Prey_488-1_S19_L001_R2_001.fastq
510.1,16S_Prey,Locus_16S_Prey_510-1_S20_L001_R1_001.fastq,Locus_16S_Prey_510-1_S20_L001_R2_001.fastq
511.1,16S_Prey,Locus_16S_Prey_511-1_S21_L001_R1_001.fastq,Locus_16S_Prey_511-1_S21_L001_R2_001.fastq
512.1,16S_Prey,Locus_16S_Prey_512-1_S22_L001_R1_001.fastq,Locus_16S_Prey_512-1_S22_L001_R2_001.fastq
513.1,16S_Prey,Locus_16S_Prey_513-1_S23_L001_R1_001.fastq,Locus_16S_Prey_513-1_S23_L001_R2_001.fastq
779.1,16S_Prey,Locus_16S_Prey_779-1_S24_L001_R1_001.fastq,Locus_16S_Prey_779-1_S24_L001_R2_001.fastq
780.1,16S_Prey,Locus_16S_Prey_780-1_S25_L001_R1_001.fastq,Locus_16S_Prey_780-1_S25_L001_R2_001.fastq
T+.1,16S_Prey,Locus_16S_Prey_T-1_S26_L001_R1_001.fastq,Locus_16S_Prey_T-1_S26_L001_R2_001.fastq
782.1,16S_Prey,Locus_16S_Prey_782-1_S27_L001_R1_001.fastq,Locus_16S_Prey_782-1_S27_L001_R2_001.fastq
783.1,16S_Prey,Locus_16S_Prey_783-1_S28_L001_R1_001.fastq,Locus_16S_Prey_783-1_S28_L001_R2_001.fastq
784.1,16S_Prey,Locus_16S_Prey_784-1_S29_L001_R1_001.fastq,Locus_16S_Prey_784-1_S29_L001_R2_001.fastq
799.1,16S_Prey,Locus_16S_Prey_799-1_S30_L001_R1_001.fastq,Locus_16S_Prey_799-1_S30_L001_R2_001.fastq
801.1,16S_Prey,Locus_16S_Prey_801-1_S31_L001_R1_001.fastq,Locus_16S_Prey_801-1_S31_L001_R2_001.fastq
802.1,16S_Prey,Locus_16S_Prey_802-1_S32_L001_R1_001.fastq,Locus_16S_Prey_802-1_S32_L001_R2_001.fastq
849.1,16S_Prey,Locus_16S_Prey_849-1_S33_L001_R1_001.fastq,Locus_16S_Prey_849-1_S33_L001_R2_001.fastq
850.1,16S_Prey,Locus_16S_Prey_850-1_S34_L001_R1_001.fastq,Locus_16S_Prey_850-1_S34_L001_R2_001.fastq
