Sample_name,Locus,Hash,nReads
1001.1,16S_Prey,394941fe61578579e0311cf90225a8cdce9c63c9,14713
1001.1,16S_Prey,7de221449042e1da583f638bbc7dd6e0a353c851,53762
1001.1,16S_Prey,1f22a064ee48f6b8c19ebe2a0477c5a17d270f77,15326
1001.1,16S_Prey,1e89e17d703adb95dc75f153882024f2b77a19e3,398
1001.1,16S_Prey,053b441f31c1dd1c80b1228d64ec37de327d9f2d,8682
1001.1,16S_Prey,d66352c220cdc0b335dc0066a8bfa08e79d35ec0,6542
1001.1,16S_Prey,30a3ed2122d9734df38fac9e672ea61193e80385,1268
1001.1,16S_Prey,924a1afa1a137685c33261a4beba6a3c6b334e0a,368
1001.1,16S_Prey,995d2c784f73e37d57f2e2557ee3a318ecce3515,1285
1001.1,16S_Prey,78d9b002e4b89f9077797ff21aa6cd61d950a677,3414
1001.1,16S_Prey,a89e81c55b5d922b30ec6bbb4ca398bf7a6af8fc,2148
1001.1,16S_Prey,65b170c862c3e6e165aa270aadcce90d082f6847,1045
1001.1,16S_Prey,c72f2406537ea87386f918cd18fcba7740c59614,428
1001.1,16S_Prey,73e6a21beb229b80554f71ed9aa0c88daea3f63b,802
1001.1,16S_Prey,b85f2f55b08c477cfc7ba2186a3a072da3a96ebb,751
1001.1,16S_Prey,d11bc75d1207c6b4f382c7a315bbde58e8e07057,674
1001.1,16S_Prey,21cd18d73c7368ff5645e77953fce401fc1fc74d,632
1001.1,16S_Prey,ae6cbc35da1fd342175c74faedc3a69bfb3230a9,584
1001.1,16S_Prey,d21d06a5560095f42cba85f94314d2a5b8bf4b64,530
1001.1,16S_Prey,eccf9392db344ba9219c6b4fac74d982d3d08b0a,454
1001.1,16S_Prey,11b1a217ca9a0a16cf942e660fdaf92597106770,419
1001.1,16S_Prey,af7bad8305f86bcf47328b76c22fa57e6073316a,414
1001.1,16S_Prey,a1c68f3638f8a7fd017974f0170919b2a964eb3b,268
1001.1,16S_Prey,7e010cc5e256ec48d57c271d16f81ceb405193f0,260
1001.1,16S_Prey,108b89d7bc6f719509939fb036b2c3fac5247cdd,251
