Sample_name,Locus,input,filtered,denoised_F,denoised_R,merged,tabled,nonchim
59-1,16S_Prey,213049,100125,99753,100034,97017,97017,78135
62-1,16S_Prey,127059,38496,38471,38490,38059,38059,33601
63-1,16S_Prey,165098,59175,59067,59134,57930,57930,46512
284-1,16S_Prey,96430,11018,11006,11009,10951,10951,10524
285-1,16S_Prey,118870,32861,32819,32858,32561,32561,30888
345-1,16S_Prey,154090,46676,46574,46660,46478,46478,45117
456-1,16S_Prey,100994,29111,28958,28969,28255,28255,26180
780-1,16S_Prey,119510,45634,45537,45620,45340,45340,44049
985-1,16S_Prey,146204,37235,37128,37155,36773,36773,36481
987-1,16S_Prey,168031,74172,74092,74139,73832,73832,69268
988-1,16S_Prey,268286,202723,202589,202695,202001,202001,200389
999-1,16S_Prey,109326,52537,52515,52529,52511,52511,52509
1004-1,16S_Prey,197632,6385,6339,6377,6088,6088,5703
343-1,16S_Prey,102198,19547,19464,19546,19261,19261,18701
344-1,16S_Prey,51884,3894,3893,3841,3841,3841,3841
457-1,16S_Prey,100256,11024,11020,11024,10845,10845,10805
1274-1,16S_Prey,187418,136689,136675,136451,133364,133364,114150
342-1,16S_Prey,174173,127950,127919,127715,126780,126780,120125
489-1,16S_Prey,151436,39112,39103,39106,39041,39041,38974
489-2,16S_Prey,103781,26812,26787,26809,26745,26745,26702
81-1,16S_Prey,143686,86184,85922,86112,85263,85263,74268
81-2,16S_Prey,133131,50594,50414,50435,49891,49891,45450
848-1,16S_Prey,225161,17262,17148,17238,16576,16576,14376
848-2,16S_Prey,157627,27437,27327,27382,25798,25798,22999
848-3,16S_Prey,136634,48214,47763,48162,45551,45551,38952
998-1,16S_Prey,236874,1495,1483,1492,1333,1333,1333
998-2,16S_Prey,378583,112635,112451,112528,110199,110199,104330
998-3,16S_Prey,105256,41854,41827,41838,41483,41483,38968
60-1,16S_Prey,165985,111840,111498,111548,109677,109677,91316
60-2,16S_Prey,218136,160242,159838,160054,156256,156256,123924
61-1,16S_Prey,136492,42435,42370,42373,41765,41765,37033
61-2,16S_Prey,506681,363539,363256,363315,358835,358835,320718
61-3,16S_Prey,149962,89137,88898,88894,87598,87598,72114
Tilapia-1,16S_Prey,197111,158606,158599,158595,158592,158592,158592
Tilapia-2,16S_Prey,220621,174979,174931,174973,173138,173138,173136
