representative,taxID,taxon,rank,score,kingdom,phylum,class,order,family,genus,species
99a381b3da53cf684d81bfb9cd77042f17d1eb1d,1489799,Bathylagidae,family,0.916,Metazoa,Chordata,Actinopteri,Argentiniformes,Bathylagidae,,
66ab4c459f8a14893400e4e1e9d0fcc989b95899,91657,Stenobrachius,genus,0.9964,Metazoa,Chordata,Actinopteri,Myctophiformes,Myctophidae,Stenobrachius,
48c816eef9feda4eff65c50a60fb1b3979df0321,8256,Pleuronectidae,family,NA,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,,
5703b98cacf845f980376f46532d4a133d061c11,1489388,Euteleosteomorpha,cohort,0.998,Metazoa,Chordata,Actinopteri,,,,
c48d8148501836d402772a06605a32cd2d428393,30724,Clupea pallasii,species,0.9911,Metazoa,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea pallasii
e076b706779ccf319197bb0d4914cc52a6d7c61f,30724,Clupea pallasii,species,0.9911,Metazoa,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea pallasii
abf7dad83d6bfe5e723f60c49b54e1a657484545,30478,Raja rhina,species,0.9978,Metazoa,Chordata,Chondrichthyes,Rajiformes,Rajidae,Raja,Raja rhina
6b4d6e14fd813003e1cece3972aca413ee339da8,68514,Myctophiformes,order,1,Metazoa,Chordata,Actinopteri,Myctophiformes,,,
4310f965a9a708b7343b9e505a6db0dec5bec605,8016,Oncorhynchus,genus,0.9977,Metazoa,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,
26c6956d1eaa6e7a2de4849d7efca8344acb972d,41705,Protacanthopterygii,no rank,0.9994,Metazoa,Chordata,Actinopteri,,,,
887c3a07ee684f43c172da3e575e6056646529be,48438,Stomiiformes,order,1,Metazoa,Chordata,Actinopteri,Stomiiformes,,,
9cadd8f6ac4ac7062f9223e2876ef75fe6b9b2a9,504568,Salmoninae,subfamily,0.9762,Metazoa,Chordata,Actinopteri,Salmoniformes,Salmonidae,,
f3b74d9322d8a6c3c56c0d090520b69853470b3d,34820,Sebastes,genus,0.911,Metazoa,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,
992270f72b61ebf2e60d91da4a94a00fd00f235b,8113,Cichlidae,family,0.9999,Metazoa,Chordata,Actinopteri,Cichliformes,Cichlidae,,
733677964f27c05fcb25aa43ca666c25c11ee8a2,7780,Raja,genus,0.9997,Metazoa,Chordata,Chondrichthyes,Rajiformes,Rajidae,Raja,
1e9d1bdcddb32072ac52f950b389b6d30b12374c,8092,Cottidae,family,0.9945,Metazoa,Chordata,Actinopteri,Perciformes,Cottidae,,
dd07f6a5f4793f1cc891e765659ffc6072c792bb,1489388,Euteleosteomorpha,cohort,0.9969,Metazoa,Chordata,Actinopteri,,,,
f1c9bc1646b157e87b38dbf3821900b182bfa01b,30724,Clupea pallasii,species,0.9907,Metazoa,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea pallasii
b18341ca4f94829d686b182087e0ec3542adbff9,30988,Anoplopomatidae,family,1,Metazoa,Chordata,Actinopteri,Perciformes,Anoplopomatidae,,
3023b640a37298d8bbdb2a7d2ea4db3be064f77b,48438,Stomiiformes,order,1,Metazoa,Chordata,Actinopteri,Stomiiformes,,,
514ea6b7e9913e1d12d47fa0969e7e4733f83bd7,88678,Diaphus,genus,1,Metazoa,Chordata,Actinopteri,Myctophiformes,Myctophidae,Diaphus,
d36bc05e13a433ece75f43f4d9c58acc556873b5,8256,Pleuronectidae,family,0.9634,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,,
5b4e6b7cbe95e6f11954e6d10b9dcffb22802416,1489388,Euteleosteomorpha,cohort,0.9995,Metazoa,Chordata,Actinopteri,,,,
d9357e061cf7a5b54fd997e102b075f1103509be,8062,Merluccius,genus,0.999,Metazoa,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,
45583b2e75935f07b9c1999e5f0200283c24a7a0,8016,Oncorhynchus,genus,0.9896,Metazoa,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,
631945242d324bbfff5041f8c267f989f63f392e,195599,Citharichthys,genus,0.9999,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Paralichthyidae,Citharichthys,
6ff8194ca8c90bd430832bf76df4c2f64a354046,36211,Trachurus,genus,0.9997,Metazoa,Chordata,Actinopteri,Carangiformes,Carangidae,Trachurus,
77cc933db476d35a60bca59841cf74eb7708a975,504568,Salmoninae,subfamily,0.9685,Metazoa,Chordata,Actinopteri,Salmoniformes,Salmonidae,,
8fb3686f1ad1d4beb1270f156ef1a94d35e21755,195599,Citharichthys,genus,1,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Paralichthyidae,Citharichthys,
f8dfaffc62848194b37b34f913912e29fb6d7c05,30724,Clupea pallasii,species,0.9128,Metazoa,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea pallasii
