representative,taxID,taxon,rank,score,kingdom,phylum,class,order,family,genus,species
42737cd65bab38b57ea8949256ab1dbc59f5d054,89952,Merluccius productus,species,NA,Metazoa,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,Merluccius productus
09a5cacfcc717ee7b6e818e5f8ae5586dde40e31,271940,Trachurus symmetricus,species,NA,Metazoa,Chordata,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus
394941fe61578579e0311cf90225a8cdce9c63c9,5001386,Citharichthys xanthostigma|sordidus,species,NA,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Paralichthyidae,Citharichthys,Citharichthys xanthostigma|sordidus
3d93e9753e58c59a65605680bf8a46735ed450e9,1569704,Oreochromis niloticus x Oreochromis aureus,species,NA,Metazoa,Chordata,Actinopteri,Cichliformes,Cichlidae,Oreochromis,Oreochromis niloticus x Oreochromis aureus
be9c3394b1617d1f252b55cfbc5d1bf95701e4cd,30724,Clupea pallasii,species,NA,Metazoa,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea pallasii
d9e7ecc2aa47e0bb480fb881d34c7002ebf16800,5001858,Thunnus alalunga|obesus,species,NA,Metazoa,Chordata,Actinopteri,Scombriformes,Scombridae,Thunnus,Thunnus alalunga|obesus
7de221449042e1da583f638bbc7dd6e0a353c851,8256,Pleuronectidae,family,NA,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,,
1444a99165e181c88bb78e1d7af03b554a15ff36,8193,Zoarcidae,family,NA,Metazoa,Chordata,Actinopteri,Perciformes,Zoarcidae,,
99987231b65162badf8f0e745512591464ca7f4e,186625,Clupeocephala,no rank,0.9694,Metazoa,Chordata,Actinopteri,,,,
e5b505705fe64fe02348aa9612ad44e82b0d800e,5000402,Sebastes cortezi|melanosema|sinensis|diploproa,species,NA,Metazoa,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,Sebastes cortezi|melanosema|sinensis|diploproa
c2c5504fad8054bb4b57e18ae24c1e5267345799,91658,Stenobrachius leucopsarus,species,NA,Metazoa,Chordata,Actinopteri,Myctophiformes,Myctophidae,Stenobrachius,Stenobrachius leucopsarus
5dd046e872a3d4a2d69e5d74a88f680516715f9f,30724,Clupea pallasii,species,NA,Metazoa,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea pallasii
7edc82ae907368e2ba93f8d04552ca58def53f5b,239368,Engraulis mordax,species,1,Metazoa,Chordata,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax
e0104fd7a12670db126a3b8a4893458519d3848e,7776,Gnathostomata,no rank,1,Metazoa,Chordata,,,,,
db2b65dd77635828f6ba4e9845c212a57b37e7ef,195617,Isopsetta isolepis,species,NA,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,Isopsetta,Isopsetta isolepis
ef11e1edc494a318ee7df7b81015bf292c8c27ad,170197,Microstomatidae,family,0.9992,Metazoa,Chordata,Actinopteri,Argentiniformes,Microstomatidae,,
e71684194a2a061ff7daa95baf0472a01cda855b,341241,Raja binoculata,species,NA,Metazoa,Chordata,Chondrichthyes,Rajiformes,Rajidae,Raja,Raja binoculata
27957660a97efa9a9104bb5329b3b2fd120cf083,91653,Diaphus theta,species,NA,Metazoa,Chordata,Actinopteri,Myctophiformes,Myctophidae,Diaphus,Diaphus theta
3ac486b7cf5edc536927132900ac4e7ce0dd73e5,91654,Nannobrachium regale,species,NA,Metazoa,Chordata,Actinopteri,Myctophiformes,Myctophidae,Nannobrachium,Nannobrachium regale
c8049f8ff74e387f0186c4a0403c77a9904680ec,13676,Scomber japonicus,species,NA,Metazoa,Chordata,Actinopteri,Scombriformes,Scombridae,Scomber,Scomber japonicus
438d0e3934885d6d72a35f42df117b4ee205deeb,229290,Anoplopoma fimbria,species,NA,Metazoa,Chordata,Actinopteri,Perciformes,Anoplopomatidae,Anoplopoma,Anoplopoma fimbria
