Sample_name,Locus,file1,file2
999-1,16S_Prey,Locus_16S_Prey_999-1_S1_L001_R1_001.fastq,Locus_16S_Prey_999-1_S1_L001_R2_001.fastq
59-2,16S_Prey,Locus_16S_Prey_59-2_S2_L001_R1_001.fastq,Locus_16S_Prey_59-2_S2_L001_R2_001.fastq
62-2,16S_Prey,Locus_16S_Prey_62-2_S3_L001_R1_001.fastq,Locus_16S_Prey_62-2_S3_L001_R2_001.fastq
63-2,16S_Prey,Locus_16S_Prey_63-2_S4_L001_R1_001.fastq,Locus_16S_Prey_63-2_S4_L001_R2_001.fastq
284-2,16S_Prey,Locus_16S_Prey_284-2_S5_L001_R1_001.fastq,Locus_16S_Prey_284-2_S5_L001_R2_001.fastq
285-2,16S_Prey,Locus_16S_Prey_285-2_S6_L001_R1_001.fastq,Locus_16S_Prey_285-2_S6_L001_R2_001.fastq
343-2,16S_Prey,Locus_16S_Prey_343-2_S7_L001_R1_001.fastq,Locus_16S_Prey_343-2_S7_L001_R2_001.fastq
344-2,16S_Prey,Locus_16S_Prey_344-2_S8_L001_R1_001.fastq,Locus_16S_Prey_344-2_S8_L001_R2_001.fastq
345-2,16S_Prey,Locus_16S_Prey_345-2_S9_L001_R1_001.fastq,Locus_16S_Prey_345-2_S9_L001_R2_001.fastq
456-2,16S_Prey,Locus_16S_Prey_456-2_S10_L001_R1_001.fastq,Locus_16S_Prey_456-2_S10_L001_R2_001.fastq
457-2,16S_Prey,Locus_16S_Prey_457-2_S11_L001_R1_001.fastq,Locus_16S_Prey_457-2_S11_L001_R2_001.fastq
780-2,16S_Prey,Locus_16S_Prey_780-2_S12_L001_R1_001.fastq,Locus_16S_Prey_780-2_S12_L001_R2_001.fastq
985-1,16S_Prey,Locus_16S_Prey_985-1_S13_L001_R1_001.fastq,Locus_16S_Prey_985-1_S13_L001_R2_001.fastq
987-2,16S_Prey,Locus_16S_Prey_987-2_S14_L001_R1_001.fastq,Locus_16S_Prey_987-2_S14_L001_R2_001.fastq
988-2,16S_Prey,Locus_16S_Prey_988-2_S15_L001_R1_001.fastq,Locus_16S_Prey_988-2_S15_L001_R2_001.fastq
1004-1,16S_Prey,Locus_16S_Prey_1004-1_S16_L001_R1_001.fastq,Locus_16S_Prey_1004-1_S16_L001_R2_001.fastq
81-2,16S_Prey,Locus_16S_Prey_81-2_S17_L001_R1_001.fastq,Locus_16S_Prey_81-2_S17_L001_R2_001.fastq
342-2,16S_Prey,Locus_16S_Prey_342-2_S18_L001_R1_001.fastq,Locus_16S_Prey_342-2_S18_L001_R2_001.fastq
489-2,16S_Prey,Locus_16S_Prey_489-2_S19_L001_R1_001.fastq,Locus_16S_Prey_489-2_S19_L001_R2_001.fastq
848-2,16S_Prey,Locus_16S_Prey_848-2_S20_L001_R1_001.fastq,Locus_16S_Prey_848-2_S20_L001_R2_001.fastq
998-2,16S_Prey,Locus_16S_Prey_998-2_S21_L001_R1_001.fastq,Locus_16S_Prey_998-2_S21_L001_R2_001.fastq
1274-2,16S_Prey,Locus_16S_Prey_1274-2_S22_L001_R1_001.fastq,Locus_16S_Prey_1274-2_S22_L001_R2_001.fastq
458-1,16S_Prey,Locus_16S_Prey_458-1_S23_L001_R1_001.fastq,Locus_16S_Prey_458-1_S23_L001_R2_001.fastq
458-2,16S_Prey,Locus_16S_Prey_458-2_S24_L001_R1_001.fastq,Locus_16S_Prey_458-2_S24_L001_R2_001.fastq
800-1,16S_Prey,Locus_16S_Prey_800-1_S25_L001_R1_001.fastq,Locus_16S_Prey_800-1_S25_L001_R2_001.fastq
800-2,16S_Prey,Locus_16S_Prey_800-2_S26_L001_R1_001.fastq,Locus_16S_Prey_800-2_S26_L001_R2_001.fastq
999-2,16S_Prey,Locus_16S_Prey_999-2_S27_L001_R1_001.fastq,Locus_16S_Prey_999-2_S27_L001_R2_001.fastq
1003-1,16S_Prey,Locus_16S_Prey_1003-1_S28_L001_R1_001.fastq,Locus_16S_Prey_1003-1_S28_L001_R2_001.fastq
1003-2,16S_Prey,Locus_16S_Prey_1003-2_S29_L001_R1_001.fastq,Locus_16S_Prey_1003-2_S29_L001_R2_001.fastq
1003-3,16S_Prey,Locus_16S_Prey_1003-3_S30_L001_R1_001.fastq,Locus_16S_Prey_1003-3_S30_L001_R2_001.fastq
1003-4,16S_Prey,Locus_16S_Prey_1003-4_S31_L001_R1_001.fastq,Locus_16S_Prey_1003-4_S31_L001_R2_001.fastq
1769-1,16S_Prey,Locus_16S_Prey_1769-1_S32_L001_R1_001.fastq,Locus_16S_Prey_1769-1_S32_L001_R2_001.fastq
1769-2,16S_Prey,Locus_16S_Prey_1769-2_S33_L001_R1_001.fastq,Locus_16S_Prey_1769-2_S33_L001_R2_001.fastq
1770-1,16S_Prey,Locus_16S_Prey_1770-1_S34_L001_R1_001.fastq,Locus_16S_Prey_1770-1_S34_L001_R2_001.fastq
1770-2,16S_Prey,Locus_16S_Prey_1770-2_S35_L001_R1_001.fastq,Locus_16S_Prey_1770-2_S35_L001_R2_001.fastq
1779-1,16S_Prey,Locus_16S_Prey_1779-1_S36_L001_R1_001.fastq,Locus_16S_Prey_1779-1_S36_L001_R2_001.fastq
1779-2,16S_Prey,Locus_16S_Prey_1779-2_S37_L001_R1_001.fastq,Locus_16S_Prey_1779-2_S37_L001_R2_001.fastq
985-2,16S_Prey,Locus_16S_Prey_985-2_S38_L001_R1_001.fastq,Locus_16S_Prey_985-2_S38_L001_R2_001.fastq
985-3,16S_Prey,Locus_16S_Prey_985-3_S39_L001_R1_001.fastq,Locus_16S_Prey_985-3_S39_L001_R2_001.fastq
1004-2,16S_Prey,Locus_16S_Prey_1004-2_S40_L001_R1_001.fastq,Locus_16S_Prey_1004-2_S40_L001_R2_001.fastq
1205-1,16S_Prey,Locus_16S_Prey_1205-1_S41_L001_R1_001.fastq,Locus_16S_Prey_1205-1_S41_L001_R2_001.fastq
1205-2,16S_Prey,Locus_16S_Prey_1205-2_S42_L001_R1_001.fastq,Locus_16S_Prey_1205-2_S42_L001_R2_001.fastq
1205-3,16S_Prey,Locus_16S_Prey_1205-3_S43_L001_R1_001.fastq,Locus_16S_Prey_1205-3_S43_L001_R2_001.fastq
1205-4,16S_Prey,Locus_16S_Prey_1205-4_S44_L001_R1_001.fastq,Locus_16S_Prey_1205-4_S44_L001_R2_001.fastq
1206-1,16S_Prey,Locus_16S_Prey_1206-1_S45_L001_R1_001.fastq,Locus_16S_Prey_1206-1_S45_L001_R2_001.fastq
1206-2,16S_Prey,Locus_16S_Prey_1206-2_S46_L001_R1_001.fastq,Locus_16S_Prey_1206-2_S46_L001_R2_001.fastq
1206-3,16S_Prey,Locus_16S_Prey_1206-3_S47_L001_R1_001.fastq,Locus_16S_Prey_1206-3_S47_L001_R2_001.fastq
1206-4,16S_Prey,Locus_16S_Prey_1206-4_S48_L001_R1_001.fastq,Locus_16S_Prey_1206-4_S48_L001_R2_001.fastq
1207-1,16S_Prey,Locus_16S_Prey_1207-1_S49_L001_R1_001.fastq,Locus_16S_Prey_1207-1_S49_L001_R2_001.fastq
1207-2,16S_Prey,Locus_16S_Prey_1207-2_S50_L001_R1_001.fastq,Locus_16S_Prey_1207-2_S50_L001_R2_001.fastq
1208-1,16S_Prey,Locus_16S_Prey_1208-1_S51_L001_R1_001.fastq,Locus_16S_Prey_1208-1_S51_L001_R2_001.fastq
1208-2,16S_Prey,Locus_16S_Prey_1208-2_S52_L001_R1_001.fastq,Locus_16S_Prey_1208-2_S52_L001_R2_001.fastq
1538-1,16S_Prey,Locus_16S_Prey_1538-1_S53_L001_R1_001.fastq,Locus_16S_Prey_1538-1_S53_L001_R2_001.fastq
1538-2,16S_Prey,Locus_16S_Prey_1538-2_S54_L001_R1_001.fastq,Locus_16S_Prey_1538-2_S54_L001_R2_001.fastq
1538-3,16S_Prey,Locus_16S_Prey_1538-3_S55_L001_R1_001.fastq,Locus_16S_Prey_1538-3_S55_L001_R2_001.fastq
