Sample_name,Locus,Hash,nReads
51530-026-S79,16S_Prey,3a2d689e3d79c9655a969ac16a28074aebb9a1b7,712
51530-026-S79,16S_Prey,b0d4fece5b9af8089368f74fe71aca52570240e5,10
51530-027-S4,16S_Prey,760fc3cb05911cd49affeee1052ade0166c54bc9,9
51530-027-S4,16S_Prey,3a2d689e3d79c9655a969ac16a28074aebb9a1b7,525
51530-027-S4,16S_Prey,ac7e970dc5ba3d562ea59a4e57fe30dd91b844cb,107
51530-027-S4,16S_Prey,8a12fc9a48430f921b9120e43ddfa5666d6387b4,3
51530-027-S4,16S_Prey,2d44b6bd0ea30abba6721f871e45436ea2be6afd,22
51530-029-S14,16S_Prey,760fc3cb05911cd49affeee1052ade0166c54bc9,520
51530-029-S14,16S_Prey,3a2d689e3d79c9655a969ac16a28074aebb9a1b7,16
51530-029-S14,16S_Prey,1f22145eaea851a068fd24f531631d3dfc8885b2,181
51530-029-S14,16S_Prey,14d80c23c5fb53ae51c22908dc56a67e179b6124,9
51530-031-S26,16S_Prey,760fc3cb05911cd49affeee1052ade0166c54bc9,650
51530-031-S26,16S_Prey,fec77ffe3764be8e15fd834796d3906f4ad97d0f,40
51530-031-S26,16S_Prey,14d80c23c5fb53ae51c22908dc56a67e179b6124,86
51530-031-S26,16S_Prey,8a12fc9a48430f921b9120e43ddfa5666d6387b4,3
51530-031-S26,16S_Prey,f936e7b836b2012bae0229d755a2fb94ea2c507e,34
51530-032-S37,16S_Prey,760fc3cb05911cd49affeee1052ade0166c54bc9,807
51530-032-S37,16S_Prey,fec77ffe3764be8e15fd834796d3906f4ad97d0f,19
51530-032-S37,16S_Prey,14d80c23c5fb53ae51c22908dc56a67e179b6124,44
51530-033-S48,16S_Prey,608ca2cb2d1470dd3f4d8ea3a0054534f1971658,853
51530-034-S59,16S_Prey,608ca2cb2d1470dd3f4d8ea3a0054534f1971658,846
51530-034-S59,16S_Prey,d2df3953cdbb9d38b97e6ab42621d1c39f152875,11
51530-035-S69,16S_Prey,608ca2cb2d1470dd3f4d8ea3a0054534f1971658,720
51530-035-S69,16S_Prey,fec77ffe3764be8e15fd834796d3906f4ad97d0f,16
51530-035-S69,16S_Prey,d2df3953cdbb9d38b97e6ab42621d1c39f152875,35
51530-035-S69,16S_Prey,a3fe8e509e8cd73a9fe3f46583a3f932407cf2ea,31
51530-036-S80,16S_Prey,608ca2cb2d1470dd3f4d8ea3a0054534f1971658,509
51530-036-S80,16S_Prey,760fc3cb05911cd49affeee1052ade0166c54bc9,160
51530-036-S80,16S_Prey,fec77ffe3764be8e15fd834796d3906f4ad97d0f,40
51530-036-S80,16S_Prey,14d80c23c5fb53ae51c22908dc56a67e179b6124,34
51530-036-S80,16S_Prey,8a12fc9a48430f921b9120e43ddfa5666d6387b4,4
51530-037-S5,16S_Prey,608ca2cb2d1470dd3f4d8ea3a0054534f1971658,717
51530-037-S5,16S_Prey,1f22145eaea851a068fd24f531631d3dfc8885b2,11
51530-037-S5,16S_Prey,ca51cb32d3ad94429b855e8f99a5e3b11899303d,96
51530-038-S15,16S_Prey,608ca2cb2d1470dd3f4d8ea3a0054534f1971658,796
51530-038-S15,16S_Prey,1f22145eaea851a068fd24f531631d3dfc8885b2,27
51530-038-S15,16S_Prey,fec77ffe3764be8e15fd834796d3906f4ad97d0f,8
51530-039-S27,16S_Prey,608ca2cb2d1470dd3f4d8ea3a0054534f1971658,827
51530-039-S27,16S_Prey,8a12fc9a48430f921b9120e43ddfa5666d6387b4,8
51530-039-S27,16S_Prey,42737cd65bab38b57ea8949256ab1dbc59f5d054,4
51530-040-S38,16S_Prey,608ca2cb2d1470dd3f4d8ea3a0054534f1971658,567
51530-040-S38,16S_Prey,760fc3cb05911cd49affeee1052ade0166c54bc9,74
51530-040-S38,16S_Prey,1f22145eaea851a068fd24f531631d3dfc8885b2,69
51530-040-S38,16S_Prey,d2df3953cdbb9d38b97e6ab42621d1c39f152875,23
51530-041-S49,16S_Prey,608ca2cb2d1470dd3f4d8ea3a0054534f1971658,636
51530-041-S49,16S_Prey,fec77ffe3764be8e15fd834796d3906f4ad97d0f,49
51530-041-S49,16S_Prey,0b6108a868eea9a25ecb87a97a9e813b2a002509,49
51530-041-S49,16S_Prey,8a12fc9a48430f921b9120e43ddfa5666d6387b4,17
51530-042-S60,16S_Prey,608ca2cb2d1470dd3f4d8ea3a0054534f1971658,605
51530-042-S60,16S_Prey,760fc3cb05911cd49affeee1052ade0166c54bc9,137
51530-042-S60,16S_Prey,1f22145eaea851a068fd24f531631d3dfc8885b2,24
51530-042-S60,16S_Prey,fec77ffe3764be8e15fd834796d3906f4ad97d0f,29
