Sample_name,Locus,input,filtered,denoised_F,denoised_R,merged,tabled,nonchim
51530-026-S79,16S_Prey,996,731,722,731,722,722,722
51530-027-S4,16S_Prey,995,737,735,737,731,731,666
51530-029-S14,16S_Prey,993,832,825,827,804,804,726
51530-031-S26,16S_Prey,997,856,854,855,853,853,813
51530-032-S37,16S_Prey,991,874,870,872,870,870,870
51530-033-S48,16S_Prey,992,856,853,853,853,853,853
51530-034-S59,16S_Prey,990,858,857,858,857,857,857
51530-035-S69,16S_Prey,990,810,804,808,802,802,802
51530-036-S80,16S_Prey,995,830,829,830,767,767,747
51530-037-S5,16S_Prey,986,828,826,824,824,824,824
51530-038-S15,16S_Prey,996,837,836,836,831,831,831
51530-039-S27,16S_Prey,992,842,841,839,839,839,839
51530-040-S38,16S_Prey,987,815,805,815,760,760,733
51530-041-S49,16S_Prey,993,829,827,818,809,809,751
51530-042-S60,16S_Prey,994,811,807,810,795,795,795
