Sample_name,Locus,file1,file2
51530-026-S79,16S_Prey,Locus_16S_Prey_51530-026-S79_L001_R1_001.fastq,Locus_16S_Prey_51530-026-S79_L001_R2_001.fastq
51530-027-S4,16S_Prey,Locus_16S_Prey_51530-027-S4_L001_R1_001.fastq,Locus_16S_Prey_51530-027-S4_L001_R2_001.fastq
51530-029-S14,16S_Prey,Locus_16S_Prey_51530-029-S14_L001_R1_001.fastq,Locus_16S_Prey_51530-029-S14_L001_R2_001.fastq
51530-031-S26,16S_Prey,Locus_16S_Prey_51530-031-S26_L001_R1_001.fastq,Locus_16S_Prey_51530-031-S26_L001_R2_001.fastq
51530-032-S37,16S_Prey,Locus_16S_Prey_51530-032-S37_L001_R1_001.fastq,Locus_16S_Prey_51530-032-S37_L001_R2_001.fastq
51530-033-S48,16S_Prey,Locus_16S_Prey_51530-033-S48_L001_R1_001.fastq,Locus_16S_Prey_51530-033-S48_L001_R2_001.fastq
51530-034-S59,16S_Prey,Locus_16S_Prey_51530-034-S59_L001_R1_001.fastq,Locus_16S_Prey_51530-034-S59_L001_R2_001.fastq
51530-035-S69,16S_Prey,Locus_16S_Prey_51530-035-S69_L001_R1_001.fastq,Locus_16S_Prey_51530-035-S69_L001_R2_001.fastq
51530-036-S80,16S_Prey,Locus_16S_Prey_51530-036-S80_L001_R1_001.fastq,Locus_16S_Prey_51530-036-S80_L001_R2_001.fastq
51530-037-S5,16S_Prey,Locus_16S_Prey_51530-037-S5_L001_R1_001.fastq,Locus_16S_Prey_51530-037-S5_L001_R2_001.fastq
51530-038-S15,16S_Prey,Locus_16S_Prey_51530-038-S15_L001_R1_001.fastq,Locus_16S_Prey_51530-038-S15_L001_R2_001.fastq
51530-039-S27,16S_Prey,Locus_16S_Prey_51530-039-S27_L001_R1_001.fastq,Locus_16S_Prey_51530-039-S27_L001_R2_001.fastq
51530-040-S38,16S_Prey,Locus_16S_Prey_51530-040-S38_L001_R1_001.fastq,Locus_16S_Prey_51530-040-S38_L001_R2_001.fastq
51530-041-S49,16S_Prey,Locus_16S_Prey_51530-041-S49_L001_R1_001.fastq,Locus_16S_Prey_51530-041-S49_L001_R2_001.fastq
51530-042-S60,16S_Prey,Locus_16S_Prey_51530-042-S60_L001_R1_001.fastq,Locus_16S_Prey_51530-042-S60_L001_R2_001.fastq
