Sample_name,Locus,input,filtered,denoised_F,denoised_R,merged,tabled,nonchim
81.1,16S_Prey,128289,4101,3861,3537,2350,2350,2345
82.1,16S_Prey,40337,291,131,72,72,72,72
286.1,16S_Prey,225244,7612,7190,6897,6252,6252,6222
344.1,16S_Prey,103604,1117,762,668,658,658,647
457.1,16S_Prey,114728,2307,1909,1761,1660,1660,1611
462.1,16S_Prey,175311,444,1,1,0,0,0
489.1,16S_Prey,10164,29,1,1,0,0,0
59.1,16S_Prey,177368,4050,3574,3116,2992,2992,2894
71.1,16S_Prey,271981,9978,9495,8027,7917,7917,7803
456.1,16S_Prey,22865,1041,1010,820,802,802,779
457.2,16S_Prey,792006,37642,36205,34445,30515,30515,27364
458.1,16S_Prey,66,1,1,1,0,0,0
459.1,16S_Prey,210686,3530,2855,2736,2653,2653,2653
460.1,16S_Prey,251508,11882,11445,9840,5959,5959,5831
461.1,16S_Prey,115086,5036,4811,4416,3844,3844,3723
463.1,16S_Prey,176254,8139,7865,7212,7077,7077,6805
486.1,16S_Prey,786921,32866,31622,28718,26019,26019,23682
487.1,16S_Prey,104254,3825,3654,3322,2148,2148,2047
488.1,16S_Prey,237705,9532,9065,8134,7643,7643,7367
510.1,16S_Prey,355094,10897,10173,7457,6862,6862,6547
511.1,16S_Prey,174287,7142,6892,6410,6253,6253,5619
512.1,16S_Prey,277979,13733,13414,12513,11737,11737,8699
513.1,16S_Prey,202144,9556,9258,8455,7491,7491,6298
779.1,16S_Prey,132025,5746,5573,5296,5272,5272,4819
780.1,16S_Prey,119733,4958,4756,4463,4399,4399,4350
T+.1,16S_Prey,15225,272,209,1,0,0,0
782.1,16S_Prey,36621,1821,1755,1632,1622,1622,1531
799.1,16S_Prey,216782,2610,1862,1622,1606,1606,1606
801.1,16S_Prey,90711,3640,3495,3320,3296,3296,3296
802.1,16S_Prey,118609,5457,5335,4981,4975,4975,4975
849.1,16S_Prey,19272,585,532,482,480,480,480
850.1,16S_Prey,77126,3674,3553,3334,3317,3317,3317
987.1,16S_Prey,204595,2836,2315,2122,1984,1984,1984
988.1,16S_Prey,204009,5817,5424,5007,4987,4987,4971
999.1,16S_Prey,388014,15980,15435,14763,14614,14614,14614
1000.1,16S_Prey,85342,1362,1140,1032,1014,1014,1014
1006.1,16S_Prey,71079,1748,1575,1459,1420,1420,1420
1207.1,16S_Prey,23161,153,90,27,27,27,27
1208.1,16S_Prey,57207,422,213,108,106,106,106
1209.1,16S_Prey,18608,231,175,134,123,123,123
1210.1,16S_Prey,85230,2498,2298,2228,2155,2155,2155
