CTD_Cast,Thermocline_depth,Thermocline_strength,Date UTC,eDNA.sample,Station,Transect,stop,Niskin,depth,comments,...7,lat,lon
222,30.327,0.9325793105726881,8/6/19,1279,69-6,69,6,sfc,0,Turned green after fitration,NA,45.73054833,-124.9361617
222,30.327,0.9325793105726881,8/6/19,1280,69-6,69,6,sfc,0,Turned green after fitration,NA,45.73054833,-124.9361617
222,30.327,0.9325793105726881,8/6/19,1281,69-6,69,6,1,500,NA,NA,45.73054833,-124.9361617
222,30.327,0.9325793105726881,8/6/19,1282,69-6,69,6,2,500,NA,NA,45.73054833,-124.9361617
222,30.327,0.9325793105726881,8/6/19,1283,69-6,69,6,3,300,NA,NA,45.73054833,-124.9361617
222,30.327,0.9325793105726881,8/6/19,1284,69-6,69,6,4,300,NA,NA,45.73054833,-124.9361617
222,30.327,0.9325793105726881,8/6/19,1285,69-6,69,6,5,150,NA,NA,45.73054833,-124.9361617
222,30.327,0.9325793105726881,8/6/19,1286,69-6,69,6,6,150,NA,NA,45.73054833,-124.9361617
222,30.327,0.9325793105726881,8/6/19,1287,69-6,69,6,7,100,ST - filter touched the mat,NA,45.73054833,-124.9361617
222,30.327,0.9325793105726881,8/6/19,1288,69-6,69,6,8,100,ST,NA,45.73054833,-124.9361617
222,30.327,0.9325793105726881,8/6/19,1289,69-6,69,6,9,50,ST,NA,45.73054833,-124.9361617
222,30.327,0.9325793105726881,8/6/19,1290,69-6,69,6,10,50,ST,NA,45.73054833,-124.9361617
223,25.527,1.4400597549677325,8/6/19,1291,69-5,69,5,1,500,NA,NA,45.73098833,-124.896025
223,25.527,1.4400597549677325,8/6/19,1292,69-5,69,5,2,500,NA,NA,45.73098833,-124.896025
223,25.527,1.4400597549677325,8/6/19,1293,69-5,69,5,3,300,NA,NA,45.73098833,-124.896025
223,25.527,1.4400597549677325,8/6/19,1294,69-5,69,5,4,300,NA,NA,45.73098833,-124.896025
223,25.527,1.4400597549677325,8/6/19,1295,69-5,69,5,5,150,NA,NA,45.73098833,-124.896025
223,25.527,1.4400597549677325,8/6/19,1296,69-5,69,5,6,150,NA,NA,45.73098833,-124.896025
223,25.527,1.4400597549677325,8/6/19,1297,69-5,69,5,7,100,NA,NA,45.73098833,-124.896025
223,25.527,1.4400597549677325,8/6/19,1298,69-5,69,5,8,100,NA,NA,45.73098833,-124.896025
223,25.527,1.4400597549677325,8/6/19,1299,69-5,69,5,9,50,NA,NA,45.73098833,-124.896025
223,25.527,1.4400597549677325,8/6/19,1300,69-5,69,5,10,50,NA,NA,45.73098833,-124.896025
223,25.527,1.4400597549677325,8/6/19,1301,69-5,69,5,sfc,0,NA,NA,45.73098833,-124.896025
223,25.527,1.4400597549677325,8/6/19,1302,69-5,69,5,sfc,0,NA,NA,45.73098833,-124.896025
224,23.946,1.7665729249634552,8/6/19,1303,69-4,69,4,1,500,NA,NA,45.73155833,-124.7744767
224,23.946,1.7665729249634552,8/6/19,1304,69-4,69,4,2,500,NA,NA,45.73155833,-124.7744767
224,23.946,1.7665729249634552,8/6/19,1305,69-4,69,4,3,300,NA,NA,45.73155833,-124.7744767
224,23.946,1.7665729249634552,8/6/19,1307,69-4,69,4,6,150,ST,NA,45.73155833,-124.7744767
224,23.946,1.7665729249634552,8/6/19,1308,69-4,69,4,7,100,ST,NA,45.73155833,-124.7744767
224,23.946,1.7665729249634552,8/6/19,1309,69-4,69,4,8,100,ST,NA,45.73155833,-124.7744767
224,23.946,1.7665729249634552,8/6/19,1310,69-4,69,4,9,50,ST,NA,45.73155833,-124.7744767
224,23.946,1.7665729249634552,8/6/19,1311,69-4,69,4,10,50,ST,NA,45.73155833,-124.7744767
224,23.946,1.7665729249634552,8/6/19,1312,69-4,69,4,sfc,0,filter touched tha mat after filtration,NA,45.73155833,-124.7744767
224,23.946,1.7665729249634552,8/6/19,1313,69-4,69,4,sfc,0,turned yellow after filtration,NA,45.73155833,-124.7744767
226,8.875,2.6654601291279807,8/6/19,1314,69-2,69,2,sfc,0,NA,NA,45.73175,-124.3750117
226,8.875,2.6654601291279807,8/6/19,1315,69-2,69,2,sfc,0,NA,NA,45.73175,-124.3750117
226,8.875,2.6654601291279807,8/6/19,1316,69-2,69,2,1,150,NA,NA,45.73175,-124.3750117
226,8.875,2.6654601291279807,8/6/19,1317,69-2,69,2,2,150,NA,NA,45.73175,-124.3750117
226,8.875,2.6654601291279807,8/6/19,1318,69-2,69,2,3,100,NA,NA,45.73175,-124.3750117
226,8.875,2.6654601291279807,8/6/19,1319,69-2,69,2,4,100,NA,NA,45.73175,-124.3750117
226,8.875,2.6654601291279807,8/6/19,1320,69-2,69,2,5,50,JD started here,NA,45.73175,-124.3750117
226,8.875,2.6654601291279807,8/6/19,1321,69-2,69,2,6,50,NA,NA,45.73175,-124.3750117
227,3.413,1.1526441776368532,8/6/19,1322,69-1,69,1,sfc,0,fiter turned orange after filtration,NA,45.73040333,-124.0066933
227,3.413,1.1526441776368532,8/6/19,1323,69-1,69,1,sfc,0,Jellyfish observed in the sea at time of collection,NA,45.73040333,-124.0066933
227,3.413,1.1526441776368532,8/6/19,1324,69-1,69,1,1,38,NA,NA,45.73040333,-124.0066933
227,3.413,1.1526441776368532,8/6/19,1325,69-1,69,1,2,38,filter fell on mat,NA,45.73040333,-124.0066933
227,3.413,1.1526441776368532,8/6/19,1326,69-1,69,1,3,25,NA,NA,45.73040333,-124.0066933
227,3.413,1.1526441776368532,8/6/19,1327,69-1,69,1,4,25,NA,NA,45.73040333,-124.0066933
227,3.413,1.1526441776368532,8/6/19,1328,69-1,69,1,5,3,NA,NA,45.73040333,-124.0066933
227,3.413,1.1526441776368532,8/6/19,1329,69-1,69,1,6,3,NA,NA,45.73040333,-124.0066933
228,10.659,1.430748665956468,8/7/19,1330,71-6,71,6,sfc,0,NA,NA,46.06301167,-125.0776883
228,10.659,1.430748665956468,8/7/19,1331,71-6,71,6,sfc,0,NA,NA,46.06301167,-125.0776883
228,10.659,1.430748665956468,8/7/19,1332,71-6,71,6,1,500,NA,NA,46.06301167,-125.0776883
228,10.659,1.430748665956468,8/7/19,1333,71-6,71,6,2,500,NA,NA,46.06301167,-125.0776883
228,10.659,1.430748665956468,8/7/19,1334,71-6,71,6,3,300,NA,NA,46.06301167,-125.0776883
228,10.659,1.430748665956468,8/7/19,1335,71-6,71,6,4,300,NA,NA,46.06301167,-125.0776883
228,10.659,1.430748665956468,8/7/19,1336,71-6,71,6,5,150,NA,NA,46.06301167,-125.0776883
228,10.659,1.430748665956468,8/7/19,1337,71-6,71,6,6,150,NA,NA,46.06301167,-125.0776883
228,10.659,1.430748665956468,8/7/19,1338,71-6,71,6,7,100,NA,NA,46.06301167,-125.0776883
228,10.659,1.430748665956468,8/7/19,1339,71-6,71,6,8,100,NA,NA,46.06301167,-125.0776883
228,10.659,1.430748665956468,8/7/19,1340,71-6,71,6,9,50,NA,NA,46.06301167,-125.0776883
228,10.659,1.430748665956468,8/7/19,1341,71-6,71,6,10,50,NA,NA,46.06301167,-125.0776883
229,22.836,1.2621859971747913,8/7/19,1343,71-5,71,5,sfc,0,NA,NA,46.06389833,-124.9583783
229,22.836,1.2621859971747913,8/7/19,1344,71-5,71,5,sfc,0,NA,NA,46.06389833,-124.9583783
229,22.836,1.2621859971747913,8/7/19,1345,71-5,71,5,1,500,NA,NA,46.06389833,-124.9583783
229,22.836,1.2621859971747913,8/7/19,1346,71-5,71,5,2,500,NA,NA,46.06389833,-124.9583783
229,22.836,1.2621859971747913,8/7/19,1347,71-5,71,5,3,300,NA,NA,46.06389833,-124.9583783
229,22.836,1.2621859971747913,8/7/19,1348,71-5,71,5,4,300,NA,NA,46.06389833,-124.9583783
229,22.836,1.2621859971747913,8/7/19,1349,71-5,71,5,5,150,NA,NA,46.06389833,-124.9583783
