CTD_Cast,Thermocline_depth,Thermocline_strength,eDNA.sample,Station,Transect,position,depth,lat,lon
88,17.004,0.0944372929470294,58,26-1,26,below,50,38.56360833,-123.3499667
88,17.004,0.0944372929470294,59,26-1,26,below,50,38.56360833,-123.3499667
88,17.004,0.0944372929470294,60,26-1,26,below,25,38.56360833,-123.3499667
88,17.004,0.0944372929470294,61,26-1,26,below,25,38.56360833,-123.3499667
88,17.004,0.0944372929470294,62,26-1,26,above,0,38.56360833,-123.3499667
88,17.004,0.0944372929470294,63,26-1,26,above,0,38.56360833,-123.3499667
89,29.848,1.3131112152016478,64,26-2,26,below,150,38.56174167,-123.6588383
89,29.848,1.3131112152016478,65,26-2,26,below,150,38.56174167,-123.6588383
89,29.848,1.3131112152016478,68,26-2,26,below,50,38.56174167,-123.6588383
89,29.848,1.3131112152016478,69,26-2,26,below,50,38.56174167,-123.6588383
89,29.848,1.3131112152016478,70,26-2,26,above,0,38.56174167,-123.6588383
89,29.848,1.3131112152016478,71,26-2,26,above,0,38.56174167,-123.6588383
90,31.979,1.8687747344003718,72,26-3,26,below,500,38.56264167,-123.9785983
90,31.979,1.8687747344003718,73,26-3,26,below,500,38.56264167,-123.9785983
90,31.979,1.8687747344003718,80,26-3,26,below,50,38.56264167,-123.9785983
90,31.979,1.8687747344003718,81,26-3,26,below,50,38.56264167,-123.9785983
90,31.979,1.8687747344003718,83,26-3,26,above,0,38.56264167,-123.9785983
114,9.717,1.749027672501267,282,35-1,35,below,48,40.065505,-124.1372783
114,9.717,1.749027672501267,283,35-1,35,below,48,40.065505,-124.1372783
114,9.717,1.749027672501267,284,35-1,35,below,25,40.065505,-124.1372783
114,9.717,1.749027672501267,285,35-1,35,below,25,40.065505,-124.1372783
114,9.717,1.749027672501267,286,35-1,35,above,0,40.065505,-124.1372783
114,9.717,1.749027672501267,287,35-1,35,above,0,40.065505,-124.1372783
117,57.215,0.18793411279563443,310,35-7,35,below,500,40.06181,-124.6436167
117,57.215,0.18793411279563443,311,35-7,35,below,500,40.06181,-124.6436167
117,57.215,0.18793411279563443,318,35-7,35,above,50,40.06181,-124.6436167
117,57.215,0.18793411279563443,319,35-7,35,above,50,40.06181,-124.6436167
117,57.215,0.18793411279563443,320,35-7,35,above,0,40.06181,-124.6436167
117,57.215,0.18793411279563443,321,35-7,35,above,0,40.06181,-124.6436167
119,10.026,0.5247879334619601,334,35-11,35,below,500,40.06377,-125.0781317
119,10.026,0.5247879334619601,335,35-11,35,below,500,40.06377,-125.0781317
119,10.026,0.5247879334619601,342,35-11,35,below,50,40.06377,-125.0781317
119,10.026,0.5247879334619601,343,35-11,35,below,50,40.06377,-125.0781317
119,10.026,0.5247879334619601,344,35-11,35,above,0,40.06377,-125.0781317
119,10.026,0.5247879334619601,345,35-11,35,above,0,40.06377,-125.0781317
130,9.891,2.2772992874951647,456,39-1,39,below,42,40.72985,-124.3734867
130,9.891,2.2772992874951647,457,39-1,39,below,42,40.72985,-124.3734867
130,9.891,2.2772992874951647,458,39-1,39,below,25,40.72985,-124.3734867
130,9.891,2.2772992874951647,459,39-1,39,below,25,40.72985,-124.3734867
130,9.891,2.2772992874951647,462,39-1,39,above,0,40.72985,-124.3734867
130,9.891,2.2772992874951647,463,39-1,39,above,0,40.72985,-124.3734867
133,14.489,0.6857239504063912,478,39-5,39,below,500,40.73091833,-124.6617817
133,14.489,0.6857239504063912,479,39-5,39,below,500,40.73091833,-124.6617817
133,14.489,0.6857239504063912,486,39-5,39,below,50,40.73091833,-124.6617817
133,14.489,0.6857239504063912,487,39-5,39,below,50,40.73091833,-124.6617817
133,14.489,0.6857239504063912,488,39-5,39,above,0,40.73091833,-124.6617817
133,14.489,0.6857239504063912,489,39-5,39,above,0,40.73091833,-124.6617817
135,21.439,1.1723950643711358,502,39-9,39,below,500,40.72901667,-125.1001667
135,21.439,1.1723950643711358,503,39-9,39,below,500,40.72901667,-125.1001667
135,21.439,1.1723950643711358,510,39-9,39,below,50,40.72901667,-125.1001667
135,21.439,1.1723950643711358,511,39-9,39,below,50,40.72901667,-125.1001667
135,21.439,1.1723950643711358,512,39-9,39,above,0,40.72901667,-125.1001667
135,21.439,1.1723950643711358,513,39-9,39,above,0,40.72901667,-125.1001667
168,5.24,0.2196445936811635,779,53-1,53,below,40,43.06397667,-124.480865
168,5.24,0.2196445936811635,780,53-1,53,below,40,43.06397667,-124.480865
170,12.379,1.9610300820039868,793,53-3,53,below,280,43.0648,-124.87498
170,12.379,1.9610300820039868,794,53-3,53,below,280,43.0648,-124.87498
170,12.379,1.9610300820039868,799,53-3,53,below,50,43.0648,-124.87498
170,12.379,1.9610300820039868,800,53-3,53,below,50,43.0648,-124.87498
170,12.379,1.9610300820039868,801,53-3,53,above,0,43.0648,-124.87498
170,12.379,1.9610300820039868,802,53-3,53,above,0,43.0648,-124.87498
174,18.047,0.9367937500670767,839,53-7,53,below,500,43.06521333,-125.248965
174,18.047,0.9367937500670767,840,53-7,53,below,500,43.06521333,-125.248965
174,18.047,0.9367937500670767,848,53-7,53,below,50,43.06521333,-125.248965
187,12.987,2.5415350854100875,977,60-4,60,below,500,44.23039833,-125.1583233
187,12.987,2.5415350854100875,978,60-4,60,below,500,44.23039833,-125.1583233
187,12.987,2.5415350854100875,985,60-4,60,below,50,44.23039833,-125.1583233
187,12.987,2.5415350854100875,986,60-4,60,below,50,44.23039833,-125.1583233
187,12.987,2.5415350854100875,987,60-4,60,above,0,44.23039833,-125.1583233
187,12.987,2.5415350854100875,988,60-4,60,above,0,44.23039833,-125.1583233
189,5.378,2.527547415424337,995,60-2,60,below,86,44.23054833,-124.5392983
189,5.378,2.527547415424337,996,60-2,60,below,86,44.23054833,-124.5392983
189,5.378,2.527547415424337,997,60-2,60,below,50,44.23054833,-124.5392983
189,5.378,2.527547415424337,998,60-2,60,below,50,44.23054833,-124.5392983
189,5.378,2.527547415424337,999,60-2,60,above,0,44.23054833,-124.5392983
190,4.888,2.56248480845988,1001,60-1,60,below,60,44.23212833,-124.247595
190,4.888,2.56248480845988,1002,60-1,60,below,60,44.23212833,-124.247595
190,4.888,2.56248480845988,1003,60-1,60,below,50,44.23212833,-124.247595
190,4.888,2.56248480845988,1004,60-1,60,below,50,44.23212833,-124.247595
190,4.888,2.56248480845988,1005,60-1,60,below,25,44.23212833,-124.247595
215,3.742,3.9778443084888426,1205,67-1,67,below,45,45.39631833,-124.0406283
