"date","year","month","day","station","transect","lat","lon","water.depth","bathy.bottom.depth","bottom.depth.consensus"
2019-06-13,2019,6,13,"","",44.3298216666667,-124.319041666667,77.48,75,77.48
2019-06-17,2019,6,17,"7","7",34.3971816666667,-120.998723333333,1121.47,1128,1121.47
2019-06-17,2019,6,17,"9","9",34.3950083333333,-121.14551,-0.03,1448,1448
2019-06-17,2019,6,17,"zPC1","zP",34.5644116666667,-120.692758333333,60.51,66,60.51
2019-06-17,2019,6,17,"zPC2","zP",34.5671816666667,-120.767545,192.54,133,192.54
2019-06-17,2019,6,17,"zPC3","zP",34.56469,-120.828446666667,283.02,315,283.02
2019-06-18,2019,6,18,"3-1","3",34.7307916666667,-120.696296666667,50.17,42,50.17
2019-06-18,2019,6,18,"3-2","3",34.7301833333333,-120.850485,153.56,160,153.56
2019-06-18,2019,6,18,"3-3","3",34.7287866666667,-120.938758333333,306.92,311,306.92
2019-06-18,2019,6,18,"3-4","3",34.7326433333333,-121.038353333333,490.1,507,490.1
2019-06-18,2019,6,18,"zPC-5","zP",34.5673333333333,-121.258591666667,916.65,937,916.65
2019-06-18,2019,6,18,"zPC-6","zP",34.5660716666667,-121.403186666667,502.89,1616,1616
2019-06-18,2019,6,18,"zPC4","zP",34.5640866666667,-120.906135,496.87,522,496.87
2019-06-19,2019,6,19,"3-10","3",34.7312366666667,-121.645205,839.97,899,839.97
2019-06-19,2019,6,19,"3-11","3",34.7296183333333,-121.726165,1495.44,1651,1495.44
2019-06-19,2019,6,19,"3-5","3",34.731225,-121.136318333333,546.64,572,546.64
2019-06-19,2019,6,19,"3-6","3",34.73029,-121.239811666667,564.68,586,564.68
2019-06-19,2019,6,19,"3-7","3",34.7301166666667,-121.340023333333,564.62,572,564.62
2019-06-19,2019,6,19,"3-8","3",34.7317133333333,-121.44015,649.77,673,649.77
2019-06-19,2019,6,19,"3-9","3",34.73134,-121.546536666667,886.72,975,886.72
2019-06-20,2019,6,20,"5-1","5",35.0643716666667,-120.728051666667,51.3,46,51.3
2019-06-20,2019,6,20,"5-2","5",35.0646033333333,-120.865533333333,142.42,127,142.42
2019-06-20,2019,6,20,"5-3","5",35.0637,-120.953695,294.74,302,294.74
2019-06-20,2019,6,20,"5-4","5",35.06381,-121.079246666667,499.12,495,499.12
2019-06-20,2019,6,20,"5-6","5",35.06837,-121.273636666667,609.12,613,609.12
2019-06-20,2019,6,20,"5-7","5",35.061695,-121.383881666667,481.34,474,481.34
2019-06-21,2019,6,21,"7-1","7",35.3969566666667,-120.92505,51.63,55,51.63
