Transect,Region no.,VL_start,VL_end,Lat,Lon,stratum,Depth,NASC,ntk_male,ntk_female,ntk_total,wgt_male,wgt_female,wgt_total,nntk_male,nntk_female,nntk_total,nwgt_male,nwgt_female,nwgt_total,Layer Depth,Layer height,Transect spacing,interval,mix_coef,sig_b,wgt_per_fish
1,999,776.071596,776.495509,34.4450186,-121.1786902,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.423913,0,0.001216238,0.144744236
1,999,776.504108,776.998437,34.44495002,-121.1700176,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.502371,0,0.001216238,0.144744236
1,999,777.006479,777.493928,34.445075,-121.1598492,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.495082,0,0.001216238,0.144744236
1,999,777.501561,777.991846,34.445095,-121.149875,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.498551,0,0.001216238,0.144744236
1,999,778.000112,778.498385,34.44504833,-121.1398583,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.506541,0,0.001216238,0.144744236
1,999,778.506653,778.996174,34.44497529,-121.1297661,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.496671,0,0.001216238,0.144744236
1,999,779.003324,779.496451,34.44489667,-121.1197597,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.49771,0,0.001216238,0.144744236
1,999,779.501034,779.994944,34.444925,-121.1098617,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.50046,0,0.001216238,0.144744236
1,999,780.001494,780.498491,34.44515201,-121.0996829,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.505268,0,0.001216238,0.144744236
1,999,780.506762,780.996875,34.44523387,-121.089504,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.498446,0,0.001216238,0.144744236
1,999,781.005208,781.499446,34.44516279,-121.0794698,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.50249,0,0.001216238,0.144744236
1,999,781.507698,781.996095,34.44512,-121.0693662,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.496452,0,0.001216238,0.144744236
1,999,782.00415,782.498808,34.44502335,-121.059352,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.502884,0,0.001216238,0.144744236
1,999,782.507034,782.998215,34.44494994,-121.0492676,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.497131,0,0.001216238,0.144744236
1,999,783.004165,783.498983,34.44484599,-121.0392451,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.502132,0,0.001216238,0.144744236
1,999,783.506297,783.995366,34.44470667,-121.029143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.496399,0,0.001216238,0.144744236
1,999,784.002696,784.496494,34.44454274,-121.0191579,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.501153,0,0.001216238,0.144744236
1,999,784.503849,784.999983,34.44458438,-121.0090537,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.50351,0,0.001216238,0.144744236
1,999,785.007359,785.495297,34.44464333,-120.9989583,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.493866,0,0.001216238,0.144744236
1,999,785.501225,785.994841,34.444695,-120.9890233,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.499647,0,0.001216238,0.144744236
1,999,786.000872,786.496092,34.44480845,-120.9789938,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.501152,0,0.001216238,0.144744236
1,999,786.502024,786.997359,34.44476113,-120.9689342,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.501575,0,0.001216238,0.144744236
1,999,787.003599,787.495155,34.44472548,-120.9588386,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.497691,0,0.001216238,0.144744236
1,999,787.50129,787.997403,34.44469,-120.9488633,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.502933,0,0.001216238,0.144744236
1,999,788.004223,788.497821,34.44454621,-120.9387249,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.500477,0,0.001216238,0.144744236
1,999,788.5047,788.999928,34.44442833,-120.9286417,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.50166,0,0.001216238,0.144744236
1,999,789.00636,789.499701,34.44439775,-120.9185607,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.500145,0,0.001216238,0.144744236
1,999,789.506505,789.996679,34.4444825,-120.9084825,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.496421,0,0.001216238,0.144744236
1,999,790.002926,790.499335,34.44457476,-120.8985275,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.501006,0,0.001216238,0.144744236
1,999,790.503932,790.994096,34.444645,-120.8884355,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.497,0,0.001216238,0.144744236
1,999,791.000932,791.499672,34.44462372,-120.8784169,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.505544,0,0.001216238,0.144744236
1,999,791.506476,791.997161,34.44467166,-120.868197,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.494457,0,0.001216238,0.144744236
1,999,792.000933,792.499999,34.44462531,-120.8581887,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.503566,0,0.001216238,0.144744236
1,999,792.504499,792.995919,34.44441456,-120.8480603,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.496261,0,0.001216238,0.144744236
1,999,793.00076,793.498715,34.44416616,-120.8380434,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.50218,0,0.001216238,0.144744236
1,999,793.50294,793.997384,34.44378158,-120.827847,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.498138,0,0.001216238,0.144744236
1,999,794.001078,794.496037,34.44339972,-120.8178911,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.498934,0,0.001216238,0.144744236
1,999,794.500012,794.997284,34.44295667,-120.80782,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.501422,0,0.001216238,0.144744236
1,999,795.001434,795.496171,34.44240833,-120.7977317,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.49885,0,0.001216238,0.144744236
1,999,795.500284,795.997234,34.44191966,-120.7876889,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.50033,0,0.001216238,0.144744236
1,999,796.000614,796.498783,34.44219,-120.7776263,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.502365,0,0.001216238,0.144744236
1,999,796.502979,796.997279,34.4425611,-120.7675064,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.497666,0,0.001216238,0.144744236
