eDNA.sample,rep,class,order,taxon,nReads
1001,1,Actinopteri,Beloniformes,Belonidae%Cololabis%Cololabis saira,26
1001,1,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus,7236
1001,1,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%Citharichthys xanthostigma|sordidus,16778
1001,1,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%NA,40364
1001,1,Actinopteri,Pleuronectiformes,Pleuronectidae%NA%NA,65452
1001,1,Actinopteri,Scombriformes,Scombridae%Scomber%NA,66
1001,2,Actinopteri,Clupeiformes,Clupeidae%Clupea%Clupea pallasii,64398
1001,2,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%Citharichthys xanthostigma|sordidus,20724
1001,2,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%NA,17729
1001,2,Actinopteri,Pleuronectiformes,Pleuronectidae%Isopsetta%Isopsetta isolepis,10146
1001,2,Actinopteri,Pleuronectiformes,Pleuronectidae%Lyopsetta%Lyopsetta exilis,6650
1001,2,Actinopteri,Pleuronectiformes,Pleuronectidae%NA%NA,8828
1002,1,Actinopteri,Clupeiformes,Clupeidae%Clupea%Clupea pallasii,10767
1002,1,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus,11051
1002,1,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%Citharichthys xanthostigma|sordidus,44059
1002,1,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%NA,4433
1002,1,Actinopteri,Pleuronectiformes,Pleuronectidae%Lyopsetta%Lyopsetta exilis,13059
1002,1,Actinopteri,Pleuronectiformes,Pleuronectidae%NA%NA,26449
1002,2,Actinopteri,Osmeriformes,Osmeridae%NA%NA,5977
1002,2,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%Citharichthys xanthostigma|sordidus,4620
1002,2,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%NA,13002
1002,2,Actinopteri,Pleuronectiformes,Pleuronectidae%NA%NA,42569
1002,2,Actinopteri,Pleuronectiformes,Pleuronectidae%Parophrys%Parophrys vetulus,16343
1003,1,Actinopteri,Clupeiformes,Clupeidae%Clupea%Clupea pallasii,122
1003,1,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus,1173
1003,1,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%Citharichthys xanthostigma|sordidus,5592
1003,1,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%NA,275
1003,1,Actinopteri,Pleuronectiformes,Pleuronectidae%NA%NA,4084
1003,2,Actinopteri,Clupeiformes,Clupeidae%Clupea%Clupea pallasii,61433
1003,2,Actinopteri,Clupeiformes,Clupeidae%Sardinops%Sardinops sagax,219
1003,2,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus,133
1003,2,Actinopteri,Myctophiformes,Myctophidae%Diaphus%Diaphus theta,208
1003,2,Actinopteri,Myctophiformes,Myctophidae%Stenobrachius%NA,7
1003,2,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%Citharichthys xanthostigma|sordidus,738
1003,2,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%NA,58
1003,2,Actinopteri,Pleuronectiformes,Pleuronectidae%Glyptocephalus%Glyptocephalus zachirus,510
1003,2,Actinopteri,Pleuronectiformes,Pleuronectidae%Lyopsetta%Lyopsetta exilis,3292
1003,2,Actinopteri,Pleuronectiformes,Pleuronectidae%NA%NA,3463
1003,2,Actinopteri,Pleuronectiformes,Pleuronectidae%Psettichthys%Psettichthys melanostictus,230
1003,3,Actinopteri,Clupeiformes,Clupeidae%Clupea%Clupea pallasii,58957
1003,3,Actinopteri,Clupeiformes,Clupeidae%Sardinops%Sardinops sagax,269
1003,3,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius angustimanus|productus,6599
1003,3,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus,4485
1003,3,Actinopteri,Gadiformes,Merlucciidae%Merluccius%NA,315
1003,3,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%Citharichthys xanthostigma|sordidus,50626
1003,3,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%NA,1678
1003,3,Actinopteri,Pleuronectiformes,Pleuronectidae%Lyopsetta%Lyopsetta exilis,6744
1003,3,Actinopteri,Pleuronectiformes,Pleuronectidae%NA%NA,11456
1003,4,Actinopteri,Clupeiformes,Clupeidae%Clupea%Clupea pallasii,20494
1003,4,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus,3612
1003,4,Actinopteri,Myctophiformes,Myctophidae%Stenobrachius%NA,1393
1003,4,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%Citharichthys xanthostigma|sordidus,3973
1003,4,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%NA,1207
1003,4,Actinopteri,Pleuronectiformes,Pleuronectidae%Lyopsetta%Lyopsetta exilis,1116
1003,4,Actinopteri,Pleuronectiformes,Pleuronectidae%NA%NA,21530
1004,1,Actinopteri,Clupeiformes,Clupeidae%Clupea%Clupea pallasii,21
1004,1,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus,9
1004,1,Actinopteri,Myctophiformes,Myctophidae%Lampanyctus%NA,523
1004,1,Actinopteri,Perciformes,Hexagrammidae%Ophiodon%Ophiodon elongatus,608
1004,1,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%Citharichthys xanthostigma|sordidus,289
1004,1,Actinopteri,Pleuronectiformes,Pleuronectidae%Lyopsetta%Lyopsetta exilis,1411
1004,1,Actinopteri,Pleuronectiformes,Pleuronectidae%NA%NA,3662
1004,2,Actinopteri,Clupeiformes,Clupeidae%Clupea%Clupea pallasii,2472
1004,2,Actinopteri,Myctophiformes,Myctophidae%Lampanyctus%NA,1726
1004,2,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%Citharichthys xanthostigma|sordidus,6437
1004,2,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%NA,2486
1004,2,Actinopteri,Pleuronectiformes,Pleuronectidae%Glyptocephalus%Glyptocephalus zachirus,2554
1004,2,Actinopteri,Pleuronectiformes,Pleuronectidae%NA%NA,2298
1004,2,Actinopteri,Salmoniformes,Salmonidae%Oncorhynchus%Oncorhynchus tshawytscha,4112
1004,2,Actinopteri,Scombriformes,Scombridae%Scomber%NA,479
1004,2,Actinopteri,Scombriformes,Scombridae%Scomber%Scomber japonicus,1980
1004,2,Chondrichthyes,Rajiformes,Rajidae%Raja%NA,106
1004,2,Chondrichthyes,Rajiformes,Rajidae%Raja%Raja binoculata,48
1004,3,Actinopteri,Clupeiformes,Clupeidae%Clupea%Clupea pallasii,2612
1004,3,Actinopteri,Clupeiformes,Engraulidae%Engraulis%Engraulis mordax,257
1004,3,Actinopteri,Clupeiformes,Engraulidae%NA%NA,305
1004,3,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus,173
1004,3,Actinopteri,Myctophiformes,Myctophidae%Lampanyctus%NA,1453
1004,3,Actinopteri,Perciformes,Hexagrammidae%Ophiodon%Ophiodon elongatus,286
1004,3,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%Citharichthys xanthostigma|sordidus,658
1004,3,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%NA,228
1004,3,Actinopteri,Pleuronectiformes,Pleuronectidae%Eopsetta%Eopsetta jordani,595
1004,3,Actinopteri,Pleuronectiformes,Pleuronectidae%Lyopsetta%Lyopsetta exilis,2029
1004,3,Actinopteri,Pleuronectiformes,Pleuronectidae%NA%NA,1323
1005,1,Actinopteri,Carangiformes,Carangidae%Trachurus%Trachurus symmetricus,4
1005,1,Actinopteri,Clupeiformes,Clupeidae%Clupea%Clupea pallasii,126
1005,1,Actinopteri,Clupeiformes,Engraulidae%NA%NA,34282
1005,1,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus,303
1005,1,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%Citharichthys xanthostigma|sordidus,2473
1005,1,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%NA,3286
1005,1,Actinopteri,Pleuronectiformes,Pleuronectidae%NA%NA,40956
1005,2,Actinopteri,Carangiformes,Carangidae%Trachurus%Trachurus symmetricus,20
1005,2,Actinopteri,Clupeiformes,Clupeidae%Clupea%Clupea pallasii,234
1005,2,Actinopteri,Clupeiformes,Engraulidae%NA%NA,54304
1005,2,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus,490
1005,2,Actinopteri,Myctophiformes,Myctophidae%Nannobrachium%NA,5
1005,2,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%Citharichthys xanthostigma|sordidus,4002
1005,2,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%NA,5600
1005,2,Actinopteri,Pleuronectiformes,Pleuronectidae%NA%NA,89691
1205,1,Actinopteri,Clupeiformes,Clupeidae%Clupea%Clupea pallasii,45041
1205,1,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus,10795
1205,1,Actinopteri,Perciformes,Cottidae%Leptocottus%Leptocottus armatus,3805
1205,1,Actinopteri,Perciformes,Sebastidae%Sebastes%Sebastes pinniger,44
1205,1,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%Citharichthys xanthostigma|sordidus,2022
1205,1,Actinopteri,Pleuronectiformes,Pleuronectidae%NA%NA,13084
1205,1,Chondrichthyes,Rajiformes,Rajidae%Raja%NA,639
1205,1,Chondrichthyes,Rajiformes,Rajidae%Raja%Raja binoculata,12979
1205,2,Actinopteri,Clupeiformes,Clupeidae%Clupea%Clupea pallasii,39495
1205,2,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus,1343
1205,2,Actinopteri,Perciformes,Cottidae%Leptocottus%Leptocottus armatus,10218
1205,2,Actinopteri,Perciformes,Liparidae%Liparis%NA,586
1205,2,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%Citharichthys xanthostigma|sordidus,236
1205,2,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%NA,225
1205,2,Actinopteri,Pleuronectiformes,Pleuronectidae%Lyopsetta%Lyopsetta exilis,4674
1205,2,Actinopteri,Pleuronectiformes,Pleuronectidae%NA%NA,868
1205,3,Actinopteri,Clupeiformes,Clupeidae%Clupea%Clupea pallasii,533
1205,3,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus,468
1205,3,Actinopteri,Osmeriformes,Osmeridae%NA%NA,200
1205,3,Actinopteri,Perciformes,Liparidae%Liparis%Liparis pulchellus,78
1205,3,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%Citharichthys stigmaeus,50
1205,3,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%Citharichthys xanthostigma|sordidus,38
1205,3,Actinopteri,Pleuronectiformes,Pleuronectidae%Eopsetta%Eopsetta jordani,65
1205,4,Actinopteri,Clupeiformes,Clupeidae%Clupea%Clupea pallasii,30932
1205,4,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus,9078
1205,4,Chondrichthyes,Rajiformes,Rajidae%Raja%Raja rhina,8107
1206,1,Actinopteri,Clupeiformes,Clupeidae%Clupea%Clupea pallasii,29101
1206,1,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus,16
1206,1,Actinopteri,Osmeriformes,Osmeridae%NA%NA,2681
1206,1,Actinopteri,Osmeriformes,Osmeridae%Thaleichthys%Thaleichthys pacificus,3803
1206,1,Actinopteri,Perciformes,Agonidae%NA%NA,1360
1206,1,Actinopteri,Perciformes,Cottidae%Chitonotus%Chitonotus pugetensis,435
1206,1,Actinopteri,Perciformes,Cottidae%Leptocottus%Leptocottus armatus,3298
1206,1,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%Citharichthys xanthostigma|sordidus,1134
1206,1,Actinopteri,Pleuronectiformes,Pleuronectidae%Glyptocephalus%Glyptocephalus zachirus,145
1206,1,Actinopteri,Pleuronectiformes,Pleuronectidae%Isopsetta%Isopsetta isolepis,2550
1206,1,Actinopteri,Pleuronectiformes,Pleuronectidae%Lyopsetta%Lyopsetta exilis,383
1206,1,Actinopteri,Pleuronectiformes,Pleuronectidae%NA%NA,1673
1206,1,Actinopteri,Pleuronectiformes,Pleuronectidae%Psettichthys%Psettichthys melanostictus,80
1206,1,Actinopteri,Salmoniformes,Salmonidae%Oncorhynchus%Oncorhynchus kisutch,159
1206,1,Chondrichthyes,Chimaeriformes,Chimaeridae%Hydrolagus%Hydrolagus colliei,22
1206,1,Chondrichthyes,Rajiformes,Rajidae%Raja%Raja binoculata,543
1206,2,Actinopteri,Clupeiformes,Clupeidae%Clupea%Clupea pallasii,25615
1206,2,Actinopteri,Clupeiformes,Clupeidae%Sardinops%Sardinops sagax,363
1206,2,Actinopteri,Gadiformes,Gadidae%Microgadus%Microgadus proximus,441
1206,2,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus,42
1206,2,Actinopteri,Osmeriformes,Osmeridae%Thaleichthys%Thaleichthys pacificus,729
1206,2,Actinopteri,Perciformes,Agonidae%Chesnonia%Chesnonia verrucosa,319
1206,2,Actinopteri,Perciformes,Bathymasteridae%Ronquilus%Ronquilus jordani,164
1206,2,Actinopteri,Perciformes,Cottidae%Artedius%Artedius fenestralis|lateralis,38
1206,2,Actinopteri,Perciformes,Cottidae%Chitonotus%Chitonotus pugetensis,534
1206,2,Actinopteri,Perciformes,Cottidae%Leptocottus%Leptocottus armatus,1235
1206,2,Actinopteri,Perciformes,Sebastidae%Sebastes%Sebastes sp. NA|flavidus|melanops|serranoides,324
1206,2,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%Citharichthys stigmaeus,53
1206,2,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%Citharichthys xanthostigma|sordidus,218
1206,2,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%NA,120
1206,2,Actinopteri,Pleuronectiformes,Pleuronectidae%Glyptocephalus%Glyptocephalus zachirus,597
1206,2,Actinopteri,Pleuronectiformes,Pleuronectidae%Isopsetta%Isopsetta isolepis,422
1206,2,Actinopteri,Pleuronectiformes,Pleuronectidae%Lyopsetta%Lyopsetta exilis,432
1206,2,Actinopteri,Pleuronectiformes,Pleuronectidae%NA%NA,1242
1206,2,Chondrichthyes,Chimaeriformes,Chimaeridae%Hydrolagus%Hydrolagus colliei,80
1206,2,Chondrichthyes,Rajiformes,Rajidae%Raja%Raja binoculata,146
1206,3,Actinopteri,Clupeiformes,Clupeidae%Clupea%Clupea pallasii,11391
1206,3,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus,31
1206,3,Actinopteri,Osmeriformes,Osmeridae%NA%NA,352
1206,3,Actinopteri,Osmeriformes,Osmeridae%Thaleichthys%Thaleichthys pacificus,997
1206,3,Actinopteri,Perciformes,Cottidae%Chitonotus%Chitonotus pugetensis,70
1206,3,Actinopteri,Perciformes,Cottidae%Leptocottus%Leptocottus armatus,306
1206,3,Actinopteri,Perciformes,Sebastidae%Sebastes%NA,69
1206,3,Actinopteri,Perciformes,Sebastidae%Sebastes%Sebastes jordani,13
1206,3,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%Citharichthys stigmaeus,12
1206,3,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%Citharichthys xanthostigma|sordidus,144
1206,3,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%NA,45
1206,3,Actinopteri,Pleuronectiformes,Pleuronectidae%Isopsetta%Isopsetta isolepis,1002
1206,3,Actinopteri,Pleuronectiformes,Pleuronectidae%Microstomus%Microstomus pacificus,183
1206,3,Actinopteri,Pleuronectiformes,Pleuronectidae%NA%NA,2933
1206,3,Chondrichthyes,Chimaeriformes,Chimaeridae%Hydrolagus%Hydrolagus colliei,105
1206,3,Chondrichthyes,Rajiformes,Rajidae%Raja%Raja binoculata,21
1206,4,Actinopteri,Clupeiformes,Clupeidae%Clupea%Clupea pallasii,55535
1206,4,Actinopteri,Clupeiformes,Clupeidae%Sardinops%Sardinops sagax,665
1206,4,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus,350
1206,4,Actinopteri,Pleuronectiformes,Pleuronectidae%Microstomus%Microstomus pacificus,8197
1207,1,Actinopteri,Clupeiformes,Clupeidae%Clupea%Clupea pallasii,27240
1207,1,Actinopteri,Clupeiformes,Clupeidae%Sardinops%Sardinops sagax,577
1207,1,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus,1067
1207,1,Actinopteri,Myctophiformes,Myctophidae%Lampanyctus%NA,2826
1207,1,Actinopteri,Myctophiformes,Myctophidae%Stenobrachius%Stenobrachius leucopsarus,1256
1207,1,Actinopteri,Perciformes,Liparidae%Liparis%Liparis pulchellus,1981
1207,1,Actinopteri,Perciformes,Sebastidae%Sebastes%Sebastes sp. NA|flavidus|melanops|serranoides,184
1207,1,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%Citharichthys stigmaeus,235
1207,1,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%Citharichthys xanthostigma|sordidus,965
1207,1,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%NA,1346
1207,1,Actinopteri,Pleuronectiformes,Pleuronectidae%Glyptocephalus%Glyptocephalus zachirus,665
1207,1,Actinopteri,Pleuronectiformes,Pleuronectidae%Lyopsetta%Lyopsetta exilis,805
1207,1,Actinopteri,Pleuronectiformes,Pleuronectidae%NA%NA,7368
1207,1,Actinopteri,Salmoniformes,Salmonidae%Oncorhynchus%Oncorhynchus tshawytscha,1076
1207,1,Chondrichthyes,Chimaeriformes,Chimaeridae%Hydrolagus%Hydrolagus colliei,106
