Well,Sample,Success,Notes,PCR,Sequence
H2,283,Y,NA,PCR_RGS_055,Yes
H02,283,Y,NA,PCR_RGS_059,
H02,283,Y,NA,PCR_RGS_064,
E5,486,Y,NA,PCR_RGS_055,Yes
E05,486,Y,NA,PCR_RGS_064,
E05,486,Y,NA,PCR_RGS_065,Yes
E05,486,Y,NA,PCR_RGS_066,
G05,488,Y,NA,PCR_RGS_064,
G05,488,Y,NA,PCR_RGS_065,Yes
G05,488,Y,NA,PCR_RGS_066,Yes
A6,510,Y,NA,PCR_RGS_055,
A06,510,Y,EV,PCR_RGS_065,Yes
A06,510,Y,EV,PCR_RGS_066,Yes
B6,511,Y,NA,PCR_RGS_055,Yes
B06,511,y,NA,PCR_RGS_059,
B06,511,Y,EV,PCR_RGS_065,Yes
C6,512,Y,NA,PCR_RGS_055,Yes
C6,512,Y,NA,PCR_RGS_058,
C06,512,y,NA,PCR_RGS_059,
C06,512,Y,EV,PCR_RGS_065,Yes
C06,512,Y,EV,PCR_RGS_066,
D6,513,Y,NA,PCR_RGS_055,Yes
D06,513,y,NA,PCR_RGS_059,
D06,513,Y,EV,PCR_RGS_065,Yes
D06,513,Y,EV,PCR_RGS_066,
