Date,Time,Button,Station,lat,lon,CTD_Cast
7/2/19,8:13:54,CTD at Depth,22-2,37.89499,-123.171755,79
7/2/19,10:27:57,CTD at Depth,22-1,37.89730667,-122.8637667,80
7/3/19,21:05:03,CTD at Depth,25-6,38.39640667,-123.7726167,82
7/3/19,23:40:58,CTD at Depth,25-4,38.39212,-123.6252383,84
7/4/19,2:13:02,CTD at Depth,25-2,38.39422833,-123.4501533,86
7/4/19,4:17:49,CTD at Depth,25-1,38.39622167,-123.1414683,87
7/4/19,6:26:37,CTD at Depth,26-1,38.56360833,-123.3499667,88
7/4/19,8:21:42,CTD at Depth,26-2,38.56174167,-123.6588383,89
7/4/19,10:50:21,CTD at Depth,26-3,38.56264167,-123.9785983,90
7/5/19,4:13:37,CTD at Depth,27-8,38.72578,-124.28769,91
7/5/19,6:19:33,CTD at Depth,27-6,38.73053833,-124.073795,92
7/5/19,8:13:25,CTD at Depth,27-4,38.73135,-123.861485,93
7/5/19,9:23:53,CTD at Depth,27-2,38.730965,-123.7684633,94
7/5/19,10:54:20,CTD at Depth,27-1,38.73188,-123.526325,95
7/6/19,2:50:22,CTD at Depth,29-1,39.06565833,-123.7307767,96
7/6/19,4:13:18,CTD at Depth,29-2,39.064125,-123.9372133,97
7/6/19,5:32:18,CTD at Depth,29-4,39.064665,-123.9845317,99
7/2/19,8:13:54,CTD at Depth,22-2,37.89499,-123.171755,79
7/2/19,10:27:57,CTD at Depth,22-1,37.89730667,-122.8637667,80
7/3/19,21:05:03,CTD at Depth,25-6,38.39640667,-123.7726167,82
7/3/19,23:40:58,CTD at Depth,25-4,38.39212,-123.6252383,84
7/4/19,2:13:02,CTD at Depth,25-2,38.39422833,-123.4501533,86
7/4/19,4:17:49,CTD at Depth,25-1,38.39622167,-123.1414683,87
7/4/19,6:26:37,CTD at Depth,26-1,38.56360833,-123.3499667,88
7/4/19,8:21:42,CTD at Depth,26-2,38.56174167,-123.6588383,89
7/4/19,10:50:21,CTD at Depth,26-3,38.56264167,-123.9785983,90
7/5/19,4:13:37,CTD at Depth,27-8,38.72578,-124.28769,91
7/5/19,6:19:33,CTD at Depth,27-6,38.73053833,-124.073795,92
7/5/19,8:13:25,CTD at Depth,27-4,38.73135,-123.861485,93
7/5/19,9:23:53,CTD at Depth,27-2,38.730965,-123.7684633,94
7/5/19,10:54:20,CTD at Depth,27-1,38.73188,-123.526325,95
7/6/19,2:50:22,CTD at Depth,29-1,39.06565833,-123.7307767,96
7/6/19,4:13:18,CTD at Depth,29-2,39.064125,-123.9372133,97
7/6/19,5:32:18,CTD at Depth,29-4,39.064665,-123.9845317,99
7/6/19,10:57:36,CTD at Depth,29-6,39.062135,-124.2069517,101
7/7/19,3:49:46,CTD at Depth,31-9,39.39722,-124.5593383,102
7/7/19,5:42:22,CTD at Depth,31-7,39.395895,-124.3384933,103
7/7/19,8:26:48,CTD at Depth,31-4,39.39715167,-124.0178583,105
7/7/19,10:10:53,CTD at Depth,31-2,39.39729833,-123.9491633,107
7/7/19,11:11:24,CTD at Depth,31-1,39.39802167,-123.834825,108
7/8/19,5:42:35,CTD at Depth,33-9,39.73059833,-124.6214717,109
7/8/19,8:05:18,CTD at Depth,33-5,39.73188333,-124.1845433,110
7/8/19,9:22:26,CTD at Depth,33-4,39.731755,-124.07336,111
7/8/19,10:36:54,CTD at Depth,33-2,39.73248333,-123.9517533,112
7/8/19,11:29:40,CTD at Depth,33-1,39.73022833,-123.8644517,113
7/9/19,4:13:13,CTD at Depth,35-1,40.065505,-124.1372783,114
7/9/19,5:16:12,CTD at Depth,35-3,40.06306,-124.2782183,115
7/9/19,6:25:35,CTD at Depth,35-5,40.06066,-124.421245,116
7/9/19,7:59:51,CTD at Depth,35-7,40.06181,-124.6436167,117
7/9/19,9:45:04,CTD at Depth,35-9,40.06103167,-124.85885,118
7/9/19,11:40:00,CTD at Depth,35-11,40.06377,-125.0781317,119
7/10/19,4:42:36,CTD at Depth,37-9,40.39612,-125.1259683,120
7/10/19,6:20:19,CTD at Depth,37-7,40.39824,-124.9122883,121
7/10/19,7:56:13,CTD at Depth,37-5,40.39516167,-124.6909867,122
7/10/19,9:07:04,CTD at Depth,37-4,40.39651833,-124.5772267,123
7/10/19,10:10:07,CTD at Depth,37-2,40.39806333,-124.5435133,124
7/10/19,11:27:21,CTD at Depth,37-1,40.3966,-124.447735,125
