taxid,taxonomy,Phylum,Class,Order,Family,Genus,Species
1351,,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis
57498,,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus grandis
2099584,,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. ICC4
562,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
1280,,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
301822,,Chordata,Actinopteri,Perciformes,Bathymasteridae,Rathbunella,Rathbunella hypoplecta
320590,,Chordata,Actinopteri,Perciformes,Zaproridae,Zaprora,Zaprora silenus
557408,,Chordata,Actinopteri,Perciformes,Stichaeidae,Lumpenella,Lumpenella longirostris
320615,,Chordata,Actinopteri,Perciformes,Stichaeidae,Chirolophis,Chirolophis decoratus
980417,,Chordata,Actinopteri,Perciformes,Stichaeidae,Leptoclinus,Leptoclinus maculatus
1049578,,Chordata,Actinopteri,Perciformes,Stichaeidae,Stichaeopsis,Stichaeopsis nevelskoi
470928,,Chordata,Actinopteri,Perciformes,Stichaeidae,Pholidapus,Pholidapus dybowskii
980385,,Chordata,Actinopteri,Perciformes,Stichaeidae,Anisarchus,Anisarchus medius
433379,,Chordata,Actinopteri,Perciformes,Cryptacanthodidae,Cryptacanthodes,Cryptacanthodes giganteus
476930,,Chordata,Actinopteri,Perciformes,Stichaeidae,Opisthocentrus,Opisthocentrus tenuis
1317002,,Chordata,Actinopteri,Perciformes,Stichaeidae,Bryozoichthys,Bryozoichthys lysimus
1358729,,Chordata,Actinopteri,Perciformes,Stichaeidae,Anisarchus,Anisarchus macrops
980344,,Chordata,Actinopteri,Perciformes,Stichaeidae,Stichaeus,Stichaeus punctatus
1049573,,Chordata,Actinopteri,Perciformes,Stichaeidae,Stichaeus,Stichaeus ochriamkini
283367,,Chordata,Actinopteri,Perciformes,Pholidae,Pholis,Pholis laeta
470928,,Chordata,Actinopteri,Perciformes,Stichaeidae,Pholidapus,Pholidapus dybowskii
476920,,Chordata,Actinopteri,Perciformes,Stichaeidae,Stichaeus,Stichaeus nozawae
980387,,Chordata,Actinopteri,Perciformes,Stichaeidae,Eumesogrammus,Eumesogrammus praecisus
8204,,Chordata,Actinopteri,Perciformes,Anarhichadidae,Anarhichas,Anarhichas lupus
1638160,,Chordata,Actinopteri,Perciformes,Stichaeidae,Pseudalectrias,Pseudalectrias tarasovi
986104,,Chordata,Actinopteri,Perciformes,Stichaeidae,Askoldia,Askoldia variegata
433395,,Chordata,Actinopteri,Perciformes,Stichaeidae,Chirolophis,Chirolophis nugator
557414,,Chordata,Actinopteri,Perciformes,Stichaeidae,Poroclinus,Poroclinus rothrocki
1358737,,Chordata,Actinopteri,Perciformes,Stichaeidae,Stichaeopsis,Stichaeopsis epallax
57780,,Chordata,Actinopteri,Perciformes,Pholidae,Apodichthys,Apodichthys fucorum
986104,,Chordata,Actinopteri,Perciformes,Stichaeidae,Askoldia,Askoldia variegata
986105,,Chordata,Actinopteri,Perciformes,Stichaeidae,Askoldia,Askoldia variegata
1049575,,Chordata,Actinopteri,Perciformes,Stichaeidae,Acantholumpenus,Acantholumpenus mackayi
1127570,,Chordata,Actinopteri,Perciformes,Cryptacanthodidae,Cryptacanthodes,Cryptacanthodes bergi
641279,,Chordata,Actinopteri,Perciformes,Stichaeidae,Ernogrammus,Ernogrammus hexagrammus
428036,,Chordata,Actinopteri,Perciformes,Stichaeidae,Lumpenus,Lumpenus sagitta
476928,,Chordata,Actinopteri,Perciformes,Stichaeidae,Opisthocentrus,Opisthocentrus ocellatus
479980,,Chordata,Actinopteri,Perciformes,Anarhichadidae,Anarhichas,Anarhichas orientalis
1266874,,Chordata,Actinopteri,Perciformes,Stichaeidae,Lumpenus,Lumpenus lampretaeformis
291111,,Chordata,Actinopteri,Perciformes,Stichaeidae,Stichaeus,Stichaeus grigorjewi
65739,,Chordata,Actinopteri,Perciformes,Anarhichadidae,Anarhichas,Anarhichas minor
425520,,Chordata,Actinopteri,Perciformes,Anarhichadidae,Anarhichas,Anarhichas denticulatus
1317005,,Chordata,Actinopteri,Perciformes,Stichaeidae,Stichaeus,Stichaeus fuscus
1317004,,Chordata,Actinopteri,Perciformes,Stichaeidae,Kasatkia,Kasatkia memorabilis
2603320,,Rhodophyta,Florideophyceae,Rhodogorgonales,Rhodogorgonaceae,Renouxia,Renouxia marerubra
2485823,,Rhodophyta,Florideophyceae,Rhodogorgonales,Rhodogorgonaceae,Renouxia,Renouxia sp.
178514,,Porifera,Demospongiae,Haplosclerida,Niphatidae,Amphimedon,Amphimedon compressa
239368,,Chordata,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax
81875,,Chordata,Actinopteri,Stomiiformes,Sternoptychidae,Sternoptyx,Sternoptyx obscura
