Well,Sample,Success,Notes,PCR,n
H1,69,Y,NA,PCR_RGS_055,1
F2,83,Y,NA,PCR_RGS_055,1
A7,783,Y,NA,PCR_RGS_055,1
G7,847,Y,NA,PCR_RGS_055,1
G10,1225,Y,NA,PCR_RGS_055,1
F12,1542,Y,NA,PCR_RGS_055,1
G12,1547,Y,NA,PCR_RGS_055,1
C1,1583,Y,NA,PCR_RGS_055,1
D1,1584,Y,NA,PCR_RGS_055,1
F1,1720,Y,NA,PCR_RGS_055,1
G1,1721,Y,NA,PCR_RGS_055,1
A2,1723,Y,NA,PCR_RGS_055,1
B2,1724,Y,NA,PCR_RGS_055,1
C2,1725,Y,NA,PCR_RGS_055,1
D2,1726,Y,NA,PCR_RGS_055,1
F2,1746,Y,NA,PCR_RGS_055,1
F7,802,y,NA,PCR_RGS_058,1
B9,1000,Y,NA,PCR_RGS_058,1
E07,801,Y,NA,PCR_RGS_059,1
F11,1276,y,"Mix of 55, 1:100",PCR_RGS_059,1
H11,1536,y,"Mix of 55, 1:100",PCR_RGS_059,1
D03,287,Y,NA,PCR_RGS_064,1
H03,321,Y,NA,PCR_RGS_064,1
A01,58,Y,NA,PCR_RGS_066,1
C03,286,Y,NA,PCR_RGS_066,1
H06,782,Y,EV,PCR_RGS_066,1
H12,Tilipa PC,Y,NA,AW_PCR001,1
H11,Tiliapia,Y,NA,AW_PCR006,1
G04,1747,Y,NA,AW_PCR004,1
A05,1771,Y,NA,AW_PCR004,1
H2,283,Y,NA,PCR_RGS_055,1
