Sample,Plate,Well,Transect,position,depth,lat,lon
58,A,A1,26,1,50,38.56360833,-123.3499667
59,A,B1,26,1,50,38.56360833,-123.3499667
60,A,C1,26,1,25,38.56360833,-123.3499667
61,A,D1,26,1,25,38.56360833,-123.3499667
62,A,E1,26,1,sfc,38.56360833,-123.3499667
63,A,F1,26,1,sfc,38.56360833,-123.3499667
68,A,G1,26,2,50,38.56174167,-123.6588383
69,A,H1,26,2,50,38.56174167,-123.6588383
70,A,A2,26,2,sfc,38.56174167,-123.6588383
71,A,B2,26,2,sfc,38.56174167,-123.6588383
80,A,C2,26,3,50,38.56264167,-123.9785983
81,A,D2,26,3,50,38.56264167,-123.9785983
82,A,E2,26,3,sfc,38.56264167,-123.9785983
83,A,F2,26,3,sfc,38.56264167,-123.9785983
282,A,G2,35,1,48,40.065505,-124.1372783
283,A,H2,35,1,48,40.065505,-124.1372783
284,A,A3,35,1,25,40.065505,-124.1372783
285,A,B3,35,1,25,40.065505,-124.1372783
286,A,C3,35,1,sfc,40.065505,-124.1372783
287,A,D3,35,1,sfc,40.065505,-124.1372783
318,A,E3,35,7,50,40.06181,-124.6436167
319,A,F3,35,7,50,40.06181,-124.6436167
320,A,G3,35,7,sfc,40.06181,-124.6436167
321,A,H3,35,7,sfc,40.06181,-124.6436167
342,A,A4,35,11,50,40.06377,-125.0781317
343,A,B4,35,11,50,40.06377,-125.0781317
344,A,C4,35,11,sfc,40.06377,-125.0781317
345,A,D4,35,11,sfc,40.06377,-125.0781317
456,A,E4,39,1,42,40.72985,-124.3734867
457,A,F4,39,1,42,40.72985,-124.3734867
458,A,G4,39,1,25,40.72985,-124.3734867
459,A,H4,39,1,25,40.72985,-124.3734867
460,A,A5,39,1,sfc,40.72985,-124.3734867
461,A,B5,39,1,sfc,40.72985,-124.3734867
462,A,C5,39,1,sfc,40.72985,-124.3734867
463,A,D5,39,1,sfc,40.72985,-124.3734867
486,A,E5,39,5,50,40.73091833,-124.6617817
