Project_accession,Project_name,Date_UTC,Station_ID,Sample _ID,Niskin,Depth_M,Volume_L,Latitude,Longitude,Field_comments,Data_comments
52601,eDNA_filtering,177,N/A,52601-001,N/A,N/A,N/A,NA,NA,"Aerial passive, single use (1.0un) cup, ~13 hours",
52601,eDNA_filtering,178,x1_1500,52601-002,sfc,sfc,2.5,34.447,-121.183,Daytime CTD,
52601,eDNA_filtering,178,x1_1500,52601-003,sfc,sfc,2.5,34.447,-121.183,Daytime CTD,
52601,eDNA_filtering,178,x1_1500,52601-004,1,500,2.5,34.447,-121.183,Daytime CTD,
52601,eDNA_filtering,178,x1_1500,52601-005,2,500,2.5,34.447,-121.183,Daytime CTD,
52601,eDNA_filtering,178,x1_1500,52601-006,3,300,2.5,34.447,-121.183,Daytime CTD,
52601,eDNA_filtering,178,x1_1500,52601-007,4,300,2.5,34.447,-121.183,Daytime CTD,
52601,eDNA_filtering,178,x1_1500,52601-008,5,200,2.5,34.447,-121.183,Daytime CTD,
52601,eDNA_filtering,178,x1_1500,52601-009,6,200,2.5,34.447,-121.183,Daytime CTD,
52601,eDNA_filtering,178,x1_1500,52601-010,7,150,2.5,34.447,-121.183,Daytime CTD,
52601,eDNA_filtering,178,x1_1500,52601-011,8,150,2.5,34.447,-121.183,Daytime CTD,
52601,eDNA_filtering,178,x1_1500,52601-012,9,50,2.5,34.447,-121.183,Daytime CTD,
52601,eDNA_filtering,178,x1_1500,52601-013,10,50,2.5,34.447,-121.183,Daytime CTD,
52601,eDNA_filtering,178,x1_1000,52601-014,sfc,sfc,2.5,34.446,-120.97,Daytime CTD,
52601,eDNA_filtering,178,x1_1000,52601-015,sfc,sfc,2.5,34.446,-120.97,Daytime CTD,
52601,eDNA_filtering,178,x1_1000,52601-016,1,500,2.5,34.446,-120.97,Daytime CTD,
52601,eDNA_filtering,178,x1_1000,52601-017,2,500,2.5,34.446,-120.97,Daytime CTD,
52601,eDNA_filtering,178,x1_1000,52601-018,3,300,<2.5L,34.446,-120.97,"Daytime CTD, slightly less than 2.5L",
52601,eDNA_filtering,178,x1_1000,52601-019,4,300,2.5,34.446,-120.97,Daytime CTD,
52601,eDNA_filtering,178,x1_1000,52601-020,5,200,2.5,34.446,-120.97,Daytime CTD,
52601,eDNA_filtering,178,x1_1000,52601-021,6,200,2.5,34.446,-120.97,Daytime CTD,
52601,eDNA_filtering,178,x1_1000,52601-022,7,150,2.5,34.446,-120.97,Daytime CTD,
52601,eDNA_filtering,178,x1_1000,52601-023,8,150,2.5,34.446,-120.97,Daytime CTD,
52601,eDNA_filtering,178,x1_1000,52601-024,9,50,2.5,34.446,-120.97,Daytime CTD,
52601,eDNA_filtering,178,x1_1000,52601-025,10,50,2.5,34.446,-120.97,Daytime CTD,
52601,eDNA_filtering,178,x1_1000,52601-026,11,sfc,2.5,34.446,-120.97,"Daytime CTD, Surface Niskin",
52601,eDNA_filtering,178,x1_1000,52601-027,12,sfc,2.5,34.446,-120.97,"Daytime CTD, Surface Niskin",
52601,eDNA_filtering,178,N/A,52601-028,N/A,N/A,2,N/A,NA,"Lab DI, 2 L, reusable",
52601,eDNA_filtering,178,N/A,52601-029,N/A,N/A,2.5,N/A,NA,"Ship DI, 2.5L, reusable",
52601,eDNA_filtering,178,N/A,52601-030,N/A,N/A,2,N/A,NA,"Lab DI, 2L, single use (1.0un)",
52601,eDNA_filtering,178,N/A,52601-031,N/A,N/A,2.5,N/A,NA,"Ship DI, 2.5L, single use (1.0 un)",
52601,eDNA_filtering,178,N/A,52601-032,N/A,N/A,N/A,N/A,NA,"Aerial 5 min, single use (1.0un) cup, active",
52601,eDNA_filtering,178,x1_500,52601-033,sfc,sfc,2.5,34.443,-120.743,Daytime CTD,
52601,eDNA_filtering,178,x1_500,52601-034,sfc,sfc,2.5,34.443,-120.743,Daytime CTD. Filtered slowly,
52601,eDNA_filtering,178,x1_500,52601-035,1,500,2.5,34.443,-120.743,Daytime CTD,
52601,eDNA_filtering,178,x1_500,52601-036,2,500,2.5,34.443,-120.743,Daytime CTD,
52601,eDNA_filtering,178,x1_500,52601-037,3,300,2.5,34.443,-120.743,Daytime CTD,
52601,eDNA_filtering,178,x1_500,52601-038,4,300,2.5,34.443,-120.743,Daytime CTD,
52601,eDNA_filtering,178,x1_500,52601-039,5,200,2.5,34.443,-120.743,Daytime CTD,
52601,eDNA_filtering,178,x1_500,52601-040,6,200,2.5,34.443,-120.743,Daytime CTD,
52601,eDNA_filtering,178,x1_500,52601-041,7,150,2.5,34.443,-120.743,Daytime CTD,
52601,eDNA_filtering,178,x1_500,52601-042,8,150,2.5,34.443,-120.743,Daytime CTD,
52601,eDNA_filtering,178,x1_500,52601-043,9,50,2.5,34.443,-120.743,Daytime CTD,
52601,eDNA_filtering,178,x1_500,52601-044,10,50,2.5,34.443,-120.743,Daytime CTD,
52601,eDNA_filtering,179,x1_300,52601-045,sfc,sfc,2.5,34.438,-120.674,Daytime CTD,
52601,eDNA_filtering,179,x1_300,52601-046,sfc,sfc,2.5,34.438,-120.674,Daytime CTD,
