qPCR,well,sample,type,IPC_Ct,inhibition_rate,hake_task,hake_Ct,hake_copies_ul,lamprey_task,lamprey_Ct,lamprey_copies_ul,eulachon_task,eulachon_Ct,eulachon_copies_ul
H5,A1,E05,gBlocks,28.562,2.366,STANDARD,20.427,100000,STANDARD,18.72,100000,STANDARD,20.593,100000
H5,A2,E05,gBlocks,28.211,2.016,STANDARD,20.108,100000,STANDARD,18.40,100000,STANDARD,20.283,100000
H5,A3,E05,gBlocks,28.422,2.227,STANDARD,20.199,100000,STANDARD,18.46,100000,STANDARD,20.305,100000
H5,B1,E04,gBlocks,26.267,0.071,STANDARD,23.328,10000,STANDARD,21.60,10000,STANDARD,23.378,10000
H5,B2,E04,gBlocks,26.081,-0.115,STANDARD,23.289,10000,STANDARD,21.70,10000,STANDARD,23.516,10000
H5,B3,E04,gBlocks,25.989,-0.207,STANDARD,23.480,10000,STANDARD,21.72,10000,STANDARD,23.668,10000
H5,C1,E03,gBlocks,26.204,0.008,STANDARD,26.893,1000,STANDARD,25.10,1000,STANDARD,26.953,1000
H5,C2,E03,gBlocks,25.959,-0.237,STANDARD,26.746,1000,STANDARD,24.86,1000,STANDARD,26.604,1000
H5,C3,E03,gBlocks,26.047,-0.149,STANDARD,26.903,1000,STANDARD,25.00,1000,STANDARD,26.925,1000
H5,D1,E02,gBlocks,26.243,0.047,STANDARD,30.065,100,STANDARD,28.03,100,STANDARD,30.215,100
H5,D2,E02,gBlocks,26.227,0.031,STANDARD,30.322,100,STANDARD,28.29,100,STANDARD,30.013,100
H5,D3,E02,gBlocks,26.179,-0.017,STANDARD,30.293,100,STANDARD,28.08,100,STANDARD,29.882,100
H5,E2,E01,gBlocks,26.231,0.035,STANDARD,33.366,10,STANDARD,30.90,10,STANDARD,32.872,10
H5,E3,E01,gBlocks,26.272,0.076,STANDARD,34.558,10,STANDARD,31.19,10,STANDARD,32.813,10
H5,F1,E00,gBlocks,26.184,-0.012,STANDARD,34.602,1,STANDARD,33.64,1,UNKNOWN,35.305,1
H5,F2,E00,gBlocks,26.293,0.097,STANDARD,37.351,1,STANDARD,33.82,1,STANDARD,36.852,1
H5,F3,E00,gBlocks,26.271,0.075,STANDARD,37.148,1,STANDARD,34.86,1,STANDARD,35.065,1
H6,A1,E05,gBlocks,29.221,2.906,STANDARD,18.833,100000,STANDARD,19.478,100000,STANDARD,18.068,100000
H6,A2,E05,gBlocks,30.171,3.856,STANDARD,18.480,100000,STANDARD,19.092,100000,STANDARD,17.672,100000
H6,A3,E05,gBlocks,30.548,4.233,STANDARD,18.462,100000,STANDARD,18.967,100000,STANDARD,17.632,100000
H6,B1,E04,gBlocks,26.524,0.209,STANDARD,21.683,10000,STANDARD,22.285,10000,STANDARD,20.890,10000
H6,B2,E04,gBlocks,26.443,0.128,STANDARD,21.481,10000,STANDARD,22.222,10000,STANDARD,20.864,10000
H6,B3,E04,gBlocks,25.941,-0.374,STANDARD,21.615,10000,STANDARD,22.261,10000,STANDARD,20.828,10000
H6,C1,E03,gBlocks,26.258,-0.057,STANDARD,25.250,1000,STANDARD,25.647,1000,STANDARD,24.186,1000
H6,C2,E03,gBlocks,26.129,-0.186,STANDARD,24.981,1000,STANDARD,25.398,1000,STANDARD,24.021,1000
H6,C3,E03,gBlocks,25.994,-0.321,STANDARD,24.830,1000,STANDARD,25.429,1000,STANDARD,23.988,1000
H6,D1,E02,gBlocks,26.260,-0.055,STANDARD,28.360,100,STANDARD,28.916,100,STANDARD,27.298,100
H6,D2,E02,gBlocks,26.161,-0.154,STANDARD,27.964,100,STANDARD,28.548,100,STANDARD,27.195,100
H6,D3,E02,gBlocks,26.313,-0.003,STANDARD,28.006,100,STANDARD,28.554,100,STANDARD,27.089,100
H6,E1,E01,gBlocks,26.178,-0.137,STANDARD,31.540,10,STANDARD,32.012,10,STANDARD,30.262,10
H6,E2,E01,gBlocks,26.243,-0.073,STANDARD,31.273,10,STANDARD,31.581,10,STANDARD,30.420,10
H6,E3,E01,gBlocks,26.343,0.028,STANDARD,32.188,10,STANDARD,31.758,10,STANDARD,30.299,10
H6,F1,E00,gBlocks,26.228,-0.087,STANDARD,35.734,1,STANDARD,Undetermined,1,STANDARD,32.965,1
H6,F2,E00,gBlocks,26.376,0.061,STANDARD,33.940,1,STANDARD,34.711,1,STANDARD,34.492,1
H6,F3,E00,gBlocks,26.260,-0.055,STANDARD,36.456,1,STANDARD,36.153,1,STANDARD,33.360,1
H7,F1,E00,gBlocks,26.448,-0.166,STANDARD,34.209,1,STANDARD,34.061,1,STANDARD,35.850,1
H7,F3,E00,gBlocks,26.650,0.036,STANDARD,35.668,1,STANDARD,34.563,1,STANDARD,34.865,1
H7,E1,E01,gBlocks,26.586,-0.028,STANDARD,31.256,10,STANDARD,30.569,10,STANDARD,31.735,10
H7,E2,E01,gBlocks,26.565,-0.049,STANDARD,31.179,10,STANDARD,31.304,10,STANDARD,32.405,10
H7,E3,E01,gBlocks,26.695,0.081,STANDARD,31.598,10,STANDARD,30.674,10,STANDARD,32.103,10
H7,D1,E02,gBlocks,26.461,-0.153,STANDARD,28.218,100,STANDARD,27.825,100,STANDARD,29.144,100
H7,D2,E02,gBlocks,26.626,0.012,STANDARD,28.301,100,STANDARD,27.730,100,STANDARD,28.966,100
H7,D3,E02,gBlocks,26.656,0.042,STANDARD,28.486,100,STANDARD,27.742,100,STANDARD,29.051,100
H7,C1,E03,gBlocks,26.501,-0.113,STANDARD,25.220,1000,STANDARD,24.765,1000,STANDARD,26.141,1000
H7,C2,E03,gBlocks,26.410,-0.204,STANDARD,25.085,1000,STANDARD,24.533,1000,STANDARD,25.779,1000
H7,C3,E03,gBlocks,26.339,-0.275,STANDARD,25.281,1000,STANDARD,24.688,1000,STANDARD,26.106,1000
H7,B1,E04,gBlocks,27.113,0.499,STANDARD,21.696,10000,STANDARD,21.274,10000,STANDARD,22.723,10000
H7,B2,E04,gBlocks,26.708,0.094,STANDARD,21.691,10000,STANDARD,21.227,10000,STANDARD,22.660,10000
H7,B3,E04,gBlocks,26.667,0.053,STANDARD,21.787,10000,STANDARD,21.350,10000,STANDARD,22.782,10000
H7,A1,E05,gBlocks,30.789,4.175,STANDARD,18.875,100000,STANDARD,18.495,100000,STANDARD,19.849,100000
H7,A2,E05,gBlocks,31.123,4.509,STANDARD,18.555,100000,STANDARD,18.083,100000,STANDARD,19.515,100000
H7,A3,E05,gBlocks,31.314,4.700,STANDARD,18.699,100000,STANDARD,18.216,100000,STANDARD,19.573,100000
H8,A1,E05,gBlocks,29.611,3.257,STANDARD,20.390,100000,STANDARD,19.607,100000,STANDARD,19.607,100000
H8,A2,E05,gBlocks,30.529,4.176,STANDARD,20.014,100000,STANDARD,19.163,100000,STANDARD,19.163,100000
H8,A3,E05,gBlocks,29.310,2.957,STANDARD,20.153,100000,STANDARD,19.223,100000,STANDARD,19.223,100000
H8,B1,E04,gBlocks,26.440,0.087,STANDARD,23.357,10000,STANDARD,22.471,10000,STANDARD,22.471,10000
H8,B2,E04,gBlocks,26.618,0.265,STANDARD,23.307,10000,STANDARD,22.604,10000,STANDARD,22.604,10000
H8,B3,E04,gBlocks,26.111,-0.242,STANDARD,23.359,10000,STANDARD,22.495,10000,STANDARD,22.495,10000
