qPCR,well,sample,type,task,IPC_Ct,inhibition_rate,useful,Zymo,dilution,hake_Ct,hake_copies_ul,lamprey_Ct,lamprey_copies_ul,eulachon_Ct,eulachon_copies_ul,hake.confirmed,lamprey.confirmed,eulachon.confirmed
H5,I17,282,unknowns,UNKNOWN,25.962,-0.233,,,1.00,33.413,9.982,Undetermined,,Undetermined,,,,
H5,I18,282,unknowns,UNKNOWN,26.097,-0.099,,,1.00,33.096,12.460,Undetermined,,Undetermined,,,,
H5,I19,282,unknowns,UNKNOWN,26.082,-0.114,,,1.00,33.701,8.159,Undetermined,,Undetermined,,,,
H5,J17,283,unknowns,UNKNOWN,26.087,-0.109,,,1.00,34.574,4.430,Undetermined,,Undetermined,,,,
H5,J18,283,unknowns,UNKNOWN,26.126,-0.070,,,1.00,35.470,2.368,Undetermined,,Undetermined,,,,
H5,J19,283,unknowns,UNKNOWN,25.914,-0.282,,,1.00,34.528,4.574,Undetermined,,Undetermined,,,,
H5,K17,284,unknowns,UNKNOWN,26.219,0.023,,,1.00,34.817,3.737,Undetermined,,Undetermined,,,,
H5,K18,284,unknowns,UNKNOWN,26.102,-0.093,,,1.00,34.318,5.297,Undetermined,,Undetermined,,,,
H5,K19,284,unknowns,UNKNOWN,26.245,0.050,,,1.00,35.236,2.789,Undetermined,,Undetermined,,,,
H5,L17,285,unknowns,UNKNOWN,26.746,0.550,,,1.00,37.201,0.705,Undetermined,,Undetermined,,,,
H5,L18,285,unknowns,UNKNOWN,26.111,-0.085,,,1.00,35.480,2.351,Undetermined,,Undetermined,,,,
H5,L19,285,unknowns,UNKNOWN,26.065,-0.131,,,1.00,35.298,2.670,Undetermined,,Undetermined,,,,
H5,M17,286,unknowns,UNKNOWN,45,18.804,NO,,1.00,Undetermined,,Undetermined,,Undetermined,,,,
H5,M18,286,unknowns,UNKNOWN,39.453,13.258,NO,,1.00,Undetermined,,Undetermined,,Undetermined,,,,
H5,M19,286,unknowns,UNKNOWN,45,18.804,NO,,1.00,Undetermined,,Undetermined,,Undetermined,,,,
H5,N5,1306a,unknowns,UNKNOWN,26.131,-0.065,,,1.00,32.659,16.904,Undetermined,,Undetermined,,,,
H5,N6,1306a,unknowns,UNKNOWN,26.003,-0.193,,,1.00,31.955,27.660,Undetermined,,Undetermined,,,,
H5,N7,1306a,unknowns,UNKNOWN,25.969,-0.227,,,1.00,32.912,14.167,Undetermined,,Undetermined,,,,
H5,N11,279,field_neg,UNKNOWN,26.457,0.261,,,1.00,Undetermined,,Undetermined,,Undetermined,,,,
H5,N12,279,field_neg,UNKNOWN,26.515,0.319,,,1.00,Undetermined,,Undetermined,,Undetermined,,,,
H5,N17,287,unknowns,UNKNOWN,45,18.804,NO,,1.00,Undetermined,,Undetermined,,Undetermined,,,,
H5,N18,287,unknowns,UNKNOWN,42.534,16.338,NO,,1.00,Undetermined,,Undetermined,,Undetermined,,,,
H5,N19,287,unknowns,UNKNOWN,39.625,13.429,NO,,1.00,Undetermined,,Undetermined,,Undetermined,,,,
H5,O5,1361a,unknowns,UNKNOWN,26.373,0.177,,,1.00,33.617,8.654,Undetermined,,Undetermined,,,,
H5,O6,1361a,unknowns,UNKNOWN,26.246,0.051,,,1.00,33.246,11.217,Undetermined,,Undetermined,,,,
H5,O7,1361a,unknowns,UNKNOWN,26.248,0.052,,,1.00,34.267,5.492,Undetermined,,Undetermined,,,,
H5,O11,280,field_neg,UNKNOWN,26.096,-0.100,,,1.00,Undetermined,,Undetermined,,Undetermined,,,,
H5,O12,280,field_neg,UNKNOWN,26.056,-0.140,,,1.00,36.645,1.041,Undetermined,,Undetermined,,,,
H5,O17,318,unknowns,UNKNOWN,45,18.804,NO,,1.00,Undetermined,,Undetermined,,Undetermined,,,,
H5,O18,318,unknowns,UNKNOWN,45,18.804,NO,,1.00,Undetermined,,Undetermined,,Undetermined,,,,
H5,O19,318,unknowns,UNKNOWN,45,18.804,NO,,1.00,Undetermined,,Undetermined,,Undetermined,,,,
H5,P5,1362a,unknowns,UNKNOWN,26.141,-0.055,,,1.00,34.753,3.909,Undetermined,,Undetermined,,,,
H5,P6,1362a,unknowns,UNKNOWN,26.071,-0.124,,,1.00,34.968,3.363,Undetermined,,Undetermined,,,,
H5,P7,1362a,unknowns,UNKNOWN,26.157,-0.039,,,1.00,33.915,7.025,Undetermined,,Undetermined,,,,
H5,P11,281,field_neg,UNKNOWN,25.962,-0.233,,,1.00,36.607,1.069,Undetermined,,Undetermined,,,,
H5,P12,281,field_neg,UNKNOWN,25.942,-0.254,,,1.00,Undetermined,,Undetermined,,Undetermined,,,,
H5,P17,319,unknowns,UNKNOWN,45,18.804,NO,,1.00,Undetermined,,Undetermined,,Undetermined,,,,
H5,P18,319,unknowns,UNKNOWN,45,18.804,NO,,1.00,Undetermined,,Undetermined,,Undetermined,,,,
H5,P19,319,unknowns,UNKNOWN,45,18.804,NO,,1.00,Undetermined,,Undetermined,,Undetermined,,,,
H6,A4,286,unknowns,UNKNOWN,27.097,0.782,YES,YES,1.00,39.800,0.040,Undetermined,,Undetermined,,,,
H6,A5,286,unknowns,UNKNOWN,27.079,0.764,YES,YES,1.00,Undetermined,,Undetermined,,Undetermined,,,,
H6,A6,286,unknowns,UNKNOWN,27.206,0.891,YES,YES,1.00,Undetermined,,Undetermined,,Undetermined,,,,
H6,B4,287,unknowns,UNKNOWN,27.318,1.003,YES,YES,1.00,40.341,0.027,Undetermined,,Undetermined,,,,
H6,B5,287,unknowns,UNKNOWN,27.514,1.199,YES,YES,1.00,Undetermined,,Undetermined,,Undetermined,,,,
H6,B6,287,unknowns,UNKNOWN,27.348,1.033,YES,YES,1.00,Undetermined,,Undetermined,,Undetermined,,,,
H6,C4,318,unknowns,UNKNOWN,26.666,0.351,YES,YES,1.00,36.697,0.334,Undetermined,,Undetermined,,,,
H6,C5,318,unknowns,UNKNOWN,26.777,0.461,YES,YES,1.00,35.643,0.689,Undetermined,,Undetermined,,,,
H6,C6,318,unknowns,UNKNOWN,26.906,0.591,YES,YES,1.00,Undetermined,,Undetermined,,Undetermined,,,,
H6,D4,319,unknowns,UNKNOWN,26.692,0.377,YES,YES,1.00,35.037,1.045,Undetermined,,Undetermined,,,,
H6,D5,319,unknowns,UNKNOWN,26.823,0.508,YES,YES,1.00,36.164,0.481,Undetermined,,Undetermined,,,,
H6,D6,319,unknowns,UNKNOWN,26.905,0.589,YES,YES,1.00,36.150,0.486,Undetermined,,Undetermined,,,,
H6,E7,1913,unknowns,UNKNOWN,26.344,0.029,YES,YES,1.00,30.877,18.229,Undetermined,,Undetermined,,,,
H6,E8,1913,unknowns,UNKNOWN,26.452,0.137,YES,YES,1.00,31.104,15.595,Undetermined,,Undetermined,,,,
H6,E9,1913,unknowns,UNKNOWN,26.341,0.025,YES,YES,1.00,30.769,19.646,Undetermined,,Undetermined,,,,
H6,F7,1919,unknowns,UNKNOWN,26.374,0.059,YES,YES,1.00,30.928,17.602,Undetermined,,Undetermined,,,,
H6,F8,1919,unknowns,UNKNOWN,26.346,0.031,YES,YES,1.00,30.977,17.023,Undetermined,,Undetermined,,,,
H6,F9,1919,unknowns,UNKNOWN,26.485,0.170,YES,YES,1.00,31.064,16.037,Undetermined,,Undetermined,,,,
H6,G7,1923,unknowns,UNKNOWN,26.419,0.104,YES,YES,1.00,30.225,28.544,Undetermined,,Undetermined,,,,
H6,G8,1923,unknowns,UNKNOWN,26.431,0.116,YES,YES,1.00,30.198,29.076,Undetermined,,Undetermined,,,,
H6,G9,1923,unknowns,UNKNOWN,26.323,0.007,YES,YES,1.00,30.148,30.100,Undetermined,,Undetermined,,,,
H6,H7,1926,unknowns,UNKNOWN,26.343,0.028,YES,YES,1.00,31.252,14.093,Undetermined,,Undetermined,,,,
H6,H8,1926,unknowns,UNKNOWN,26.413,0.098,YES,YES,1.00,30.910,17.822,Undetermined,,Undetermined,,,,
H6,H9,1926,unknowns,UNKNOWN,26.253,-0.062,YES,YES,1.00,30.060,31.981,41.544,0.010,Undetermined,,,,
H6,A7,1913,unknowns,UNKNOWN,26.199,-0.116,YES,,1.00,30.167,29.708,Undetermined,,Undetermined,,,,
H6,A8,1913,unknowns,UNKNOWN,26.177,-0.138,YES,,1.00,30.958,17.248,39.756,0.037,Undetermined,,,,
H6,A9,1913,unknowns,UNKNOWN,25.998,-0.317,YES,,1.00,Undetermined,,Undetermined,,Undetermined,,,,
H6,B7,1919,unknowns,UNKNOWN,26.283,-0.032,YES,,1.00,30.343,26.327,Undetermined,,Undetermined,,,,
H6,B8,1919,unknowns,UNKNOWN,26.359,0.043,YES,,1.00,31.038,16.321,Undetermined,,Undetermined,,,,
H6,B9,1919,unknowns,UNKNOWN,26.337,0.021,YES,,1.00,30.816,19.021,Undetermined,,Undetermined,,,,
H6,C7,1923,unknowns,UNKNOWN,26.349,0.034,YES,,1.00,30.001,33.307,Undetermined,,Undetermined,,,,
H6,C8,1923,unknowns,UNKNOWN,26.563,0.248,YES,,1.00,30.055,32.092,Undetermined,,Undetermined,,,,
H6,C9,1923,unknowns,UNKNOWN,26.488,0.173,YES,,1.00,29.846,37.041,Undetermined,,Undetermined,,,,
H6,D7,1926,unknowns,UNKNOWN,26.366,0.051,YES,,1.00,30.496,23.687,Undetermined,,Undetermined,,,,
H6,D8,1926,unknowns,UNKNOWN,26.442,0.126,YES,,1.00,30.369,25.859,Undetermined,,Undetermined,,,,
H6,D9,1926,unknowns,UNKNOWN,26.327,0.012,YES,,1.00,30.402,25.277,Undetermined,,Undetermined,,,,
H7,A7,68,unknowns,UNKNOWN,26.455,-0.159,,,1.00,32.926,3.699,Undetermined,,Undetermined,,,,
H7,A8,68,unknowns,UNKNOWN,26.518,-0.096,,,1.00,32.890,3.797,Undetermined,,Undetermined,,,,
H7,A9,68,unknowns,UNKNOWN,26.541,-0.073,,,1.00,32.171,6.342,Undetermined,,Undetermined,,,,
H7,B7,69,unknowns,UNKNOWN,26.512,-0.102,,,1.00,35.641,0.532,Undetermined,,Undetermined,,,,
H7,B8,69,unknowns,UNKNOWN,26.603,-0.011,,,1.00,Undetermined,,Undetermined,,Undetermined,,,,
H7,B9,69,unknowns,UNKNOWN,26.567,-0.047,,,1.00,Undetermined,,Undetermined,,Undetermined,,,,
H7,C7,70,unknowns,UNKNOWN,26.584,-0.030,,,1.00,33.212,3.016,Undetermined,,Undetermined,,,,
H7,C8,70,unknowns,UNKNOWN,26.640,0.026,,,1.00,32.986,3.546,Undetermined,,Undetermined,,,,
H7,C9,70,unknowns,UNKNOWN,26.617,0.003,,,1.00,33.684,2.154,Undetermined,,Undetermined,,,,
H7,D7,71,unknowns,UNKNOWN,26.618,0.004,,,1.00,36.240,0.347,Undetermined,,Undetermined,,,,
H7,D8,71,unknowns,UNKNOWN,26.787,0.173,,,1.00,37.300,0.163,Undetermined,,Undetermined,,,,
H7,D9,71,unknowns,UNKNOWN,26.714,0.100,,,1.00,34.922,0.890,Undetermined,,Undetermined,,,,
H7,E7,82,unknowns,UNKNOWN,26.778,0.164,,,1.00,35.613,0.543,Undetermined,,Undetermined,,,,
H7,E8,82,unknowns,UNKNOWN,26.900,0.286,,,1.00,35.815,0.470,Undetermined,,Undetermined,,,,
H7,E9,82,unknowns,UNKNOWN,26.703,0.089,,,1.00,35.876,0.450,Undetermined,,Undetermined,,,,
H7,F7,83,unknowns,UNKNOWN,26.845,0.231,,,1.00,Undetermined,,Undetermined,,Undetermined,,,,
H7,F8,83,unknowns,UNKNOWN,26.837,0.223,,,1.00,36.016,0.407,Undetermined,,Undetermined,,,,
H7,F9,83,unknowns,UNKNOWN,26.540,-0.074,,,1.00,38.024,0.097,Undetermined,,Undetermined,,,,
H7,G7,320,unknowns,UNKNOWN,27.074,0.460,NO,,1.00,36.051,0.397,Undetermined,,Undetermined,,,,
H7,G8,320,unknowns,UNKNOWN,27.440,0.826,NO,,1.00,35.102,0.782,Undetermined,,Undetermined,,,,
H7,G9,320,unknowns,UNKNOWN,27.097,0.483,NO,,1.00,37.132,0.184,Undetermined,,Undetermined,,,,
H7,H7,321,unknowns,UNKNOWN,33.966,7.352,NO,,1.00,Undetermined,,Undetermined,,Undetermined,,,,
H7,H8,321,unknowns,UNKNOWN,34.228,7.614,NO,,1.00,Undetermined,,Undetermined,,Undetermined,,,,
H7,H9,321,unknowns,UNKNOWN,41.370,14.756,NO,,1.00,Undetermined,,Undetermined,,Undetermined,,,,
