qPCR,well,sample,type,task,IPC_Ct,inhibition_rate,inhibited,Zymo,dilution,hake_Ct,hake_copies_ul,lamprey_Ct,lamprey_copies_ul,eulachon_Ct,eulachon_copies_ul,hake.confirmed,lamprey.confirmed,eulachon.confirmed
H21_S01,A4,S1,unknowns,UNKNOWN,26.893,0.198,,,0.5,Undetermined,,Undetermined,,Undetermined,,,,
H21_S01,A5,S1,unknowns,UNKNOWN,26.698,0.003,,,0.5,36.659,0.63,Undetermined,,Undetermined,,,,
H21_S01,A6,S1,unknowns,UNKNOWN,26.804,0.109,,,0.5,Undetermined,,Undetermined,,Undetermined,,,,
H21_S01,A7,S9,unknowns,UNKNOWN,26.808,0.113,,,,36.447,0.74,Undetermined,,Undetermined,,,,
H21_S01,A8,S9,unknowns,UNKNOWN,26.788,0.093,,,,40.119,0.05,Undetermined,,Undetermined,,,,
H21_S01,A9,S9,unknowns,UNKNOWN,26.533,-0.162,,,,Undetermined,,Undetermined,,Undetermined,,,,
H21_S01,A10,S17,unknowns,UNKNOWN,26.891,0.196,,,,Undetermined,,Undetermined,,Undetermined,,,,
H21_S01,A11,S17,unknowns,UNKNOWN,26.811,0.116,,,,Undetermined,,Undetermined,,Undetermined,,,,
H21_S01,A12,S17,unknowns,UNKNOWN,26.733,0.038,,,,Undetermined,,Undetermined,,Undetermined,,,,
H21_S01,A13,S25,unknowns,UNKNOWN,26.738,0.043,,,,Undetermined,,Undetermined,,Undetermined,,,,
H21_S01,A14,S25,unknowns,UNKNOWN,26.809,0.114,,,,36.07,0.96,Undetermined,,Undetermined,,,,
H21_S01,A15,S25,unknowns,UNKNOWN,26.968,0.273,,,,Undetermined,,Undetermined,,Undetermined,,,,
H21_S01,A16,S33,unknowns,UNKNOWN,26.797,0.102,,,0.5,36.487,0.71,Undetermined,,Undetermined,,,,
H21_S01,A17,S33,unknowns,UNKNOWN,26.788,0.093,,,0.5,Undetermined,,Undetermined,,Undetermined,,,,
H21_S01,A18,S33,unknowns,UNKNOWN,26.802,0.107,,,0.5,Undetermined,,Undetermined,,Undetermined,,,,
H21_S01,A19,S41,unknowns,UNKNOWN,26.679,-0.016,,,,33.546,5.85,Undetermined,,Undetermined,,,,
H21_S01,A20,S41,unknowns,UNKNOWN,26.851,0.156,,,,33.816,4.82,Undetermined,,Undetermined,,,,
H21_S01,A21,S41,unknowns,UNKNOWN,26.702,0.007,,,,32.808,9.91,Undetermined,,Undetermined,,,,
H21_S01,A22,ntc,ntc,NTC,26.702,0.007,,,,Undetermined,,Undetermined,,Undetermined,,,,
H21_S01,A23,ntc,ntc,NTC,26.741,0.046,,,,Undetermined,,Undetermined,,Undetermined,,,,
H21_S01,A24,ntc,ntc,NTC,26.641,-0.054,,,,Undetermined,,Undetermined,,Undetermined,,,,
H21_S01,B4,S2,unknowns,UNKNOWN,26.663,-0.032,,,0.5,Undetermined,,Undetermined,,Undetermined,,,,
H21_S01,B5,S2,unknowns,UNKNOWN,26.878,0.183,,,0.5,Undetermined,,Undetermined,,Undetermined,,,,
H21_S01,B6,S2,unknowns,UNKNOWN,26.879,0.184,,,0.5,36.54,0.69,Undetermined,,Undetermined,,,,
H21_S01,B7,S10,unknowns,UNKNOWN,26.775,0.08,,,,35.782,1.18,Undetermined,,Undetermined,,,,
H21_S01,B8,S10,unknowns,UNKNOWN,26.82,0.125,,,,36.505,0.71,Undetermined,,Undetermined,,,,
H21_S01,B9,S10,unknowns,UNKNOWN,26.732,0.037,,,,34.955,2.14,Undetermined,,Undetermined,,,,
H21_S01,B10,S18,unknowns,UNKNOWN,26.728,0.033,,,,Undetermined,,Undetermined,,Undetermined,,,,
H21_S01,B11,S18,unknowns,UNKNOWN,26.692,-0.003,,,,Undetermined,,Undetermined,,Undetermined,,,,
H21_S01,B12,S18,unknowns,UNKNOWN,26.78,0.085,,,,37.301,0.40,Undetermined,,Undetermined,,,,
H21_S01,B13,S26,unknowns,UNKNOWN,26.633,-0.062,,,,Undetermined,,Undetermined,,Undetermined,,,,
H21_S01,B14,S26,unknowns,UNKNOWN,26.841,0.146,,,,Undetermined,,Undetermined,,Undetermined,,,,
H21_S01,B15,S26,unknowns,UNKNOWN,26.638,-0.057,,,,Undetermined,,Undetermined,,Undetermined,,,,
H21_S01,B16,S34,unknowns,UNKNOWN,26.842,0.147,,,,35.971,1.03,Undetermined,,Undetermined,,,,
H21_S01,B17,S34,unknowns,UNKNOWN,26.863,0.168,,,,Undetermined,,Undetermined,,Undetermined,,,,
H21_S01,B18,S34,unknowns,UNKNOWN,26.662,-0.033,,,,36.078,0.96,Undetermined,,Undetermined,,,,
H21_S01,B19,S42,unknowns,UNKNOWN,26.512,-0.183,,,,34.403,3.17,Undetermined,,Undetermined,,,,
H21_S01,B20,S42,unknowns,UNKNOWN,26.638,-0.057,,,,33.648,5.44,Undetermined,,Undetermined,,,,
H21_S01,B21,S42,unknowns,UNKNOWN,26.604,-0.091,,,,34.129,3.85,Undetermined,,37.29,0.95,,,
H21_S01,B22,ntc,ntc,NTC,26.727,0.032,,,,Undetermined,,Undetermined,,Undetermined,,,,
H21_S01,B23,ntc,ntc,NTC,26.718,0.023,,,,Undetermined,,Undetermined,,Undetermined,,,,
H21_S01,B24,ntc,ntc,NTC,26.715,0.02,,,,Undetermined,,Undetermined,,Undetermined,,,,
H21_S01,C4,S3,unknowns,UNKNOWN,26.845,0.15,,,0.5,Undetermined,,Undetermined,,Undetermined,,,,
H21_S01,C5,S3,unknowns,UNKNOWN,26.772,0.077,,,0.5,37.585,0.33,Undetermined,,Undetermined,,,,
H21_S01,C6,S3,unknowns,UNKNOWN,26.872,0.177,,,0.5,Undetermined,,Undetermined,,Undetermined,,,,
H21_S01,C7,S11,unknowns,UNKNOWN,26.663,-0.032,,,,Undetermined,,Undetermined,,Undetermined,,,,
H21_S01,C8,S11,unknowns,UNKNOWN,26.738,0.043,,,,37.283,0.41,Undetermined,,Undetermined,,,,
H21_S01,C9,S11,unknowns,UNKNOWN,26.801,0.106,,,,Undetermined,,Undetermined,,Undetermined,,,,
H21_S01,C10,S19,unknowns,UNKNOWN,26.666,-0.029,,,,36.538,0.69,Undetermined,,Undetermined,,,,
H21_S01,C11,S19,unknowns,UNKNOWN,26.709,0.014,,,,Undetermined,,Undetermined,,Undetermined,,,,
H21_S01,C12,S19,unknowns,UNKNOWN,26.567,-0.128,,,,36.436,0.74,Undetermined,,Undetermined,,,,
H21_S01,C13,S27,unknowns,UNKNOWN,26.768,0.073,,,,36.426,0.75,Undetermined,,Undetermined,,,,
H21_S01,C14,S27,unknowns,UNKNOWN,26.848,0.153,,,,37.527,0.34,Undetermined,,Undetermined,,,,
H21_S01,C15,S27,unknowns,UNKNOWN,26.709,0.014,,,,37.364,0.38,Undetermined,,Undetermined,,,,
H21_S01,C16,S35,unknowns,UNKNOWN,26.917,0.222,,,,35.979,1.03,Undetermined,,Undetermined,,,,
H21_S01,C17,S35,unknowns,UNKNOWN,26.662,-0.033,,,,34.614,2.72,Undetermined,,Undetermined,,,,
H21_S01,C18,S35,unknowns,UNKNOWN,26.696,0.001,,,,34.346,3.30,Undetermined,,Undetermined,,,,
H21_S01,C19,S43,unknowns,UNKNOWN,26.635,-0.06,,,,36.601,0.66,Undetermined,,Undetermined,,,,
H21_S01,C20,S43,unknowns,UNKNOWN,26.63,-0.065,,,,34.984,2.09,Undetermined,,Undetermined,,,,
H21_S01,C21,S43,unknowns,UNKNOWN,26.607,-0.088,,,,36.485,0.72,Undetermined,,Undetermined,,,,
H21_S01,D4,S4,unknowns,UNKNOWN,26.793,0.098,,,,Undetermined,,Undetermined,,Undetermined,,,,
H21_S01,D5,S4,unknowns,UNKNOWN,26.61,-0.085,,,,Undetermined,,Undetermined,,Undetermined,,,,
H21_S01,D6,S4,unknowns,UNKNOWN,26.718,0.023,,,,37.492,0.35,Undetermined,,Undetermined,,,,
H21_S01,D7,S12,unknowns,UNKNOWN,26.749,0.054,,,,37.411,0.37,Undetermined,,Undetermined,,,,
H21_S01,D8,S12,unknowns,UNKNOWN,26.824,0.129,,,,36.505,0.71,Undetermined,,Undetermined,,,,
H21_S01,D9,S12,unknowns,UNKNOWN,26.598,-0.097,,,,36.294,0.82,Undetermined,,Undetermined,,,,
H21_S01,D10,S20,unknowns,UNKNOWN,26.674,-0.021,,,,37.07,0.47,Undetermined,,Undetermined,,,,
H21_S01,D11,S20,unknowns,UNKNOWN,26.565,-0.13,,,,35.15,1.86,Undetermined,,Undetermined,,,,
H21_S01,D12,S20,unknowns,UNKNOWN,26.656,-0.039,,,,Undetermined,,Undetermined,,Undetermined,,,,
H21_S01,D13,S28,unknowns,UNKNOWN,26.601,-0.094,,,,Undetermined,,Undetermined,,37.046,1.12,,,
H21_S01,D14,S28,unknowns,UNKNOWN,26.703,0.008,,,,Undetermined,,Undetermined,,Undetermined,,,,
H21_S01,D15,S28,unknowns,UNKNOWN,26.734,0.039,,,,Undetermined,,Undetermined,,Undetermined,,,,
H21_S01,D16,S36,unknowns,UNKNOWN,26.591,-0.104,,,,36.552,0.68,Undetermined,,Undetermined,,,,
H21_S01,D17,S36,unknowns,UNKNOWN,26.763,0.068,,,,36.493,0.71,Undetermined,,Undetermined,,,,
H21_S01,D18,S36,unknowns,UNKNOWN,26.725,0.03,,,,36.383,0.77,Undetermined,,Undetermined,,,,
H21_S01,D19,S44,unknowns,UNKNOWN,26.57,-0.125,,,,Undetermined,,Undetermined,,Undetermined,,,,
H21_S01,D20,S44,unknowns,UNKNOWN,26.65,-0.045,,,,Undetermined,,Undetermined,,Undetermined,,,,
H21_S01,D21,S44,unknowns,UNKNOWN,26.503,-0.192,,,,Undetermined,,Undetermined,,Undetermined,,,,
H21_S01,E4,S5,unknowns,UNKNOWN,26.653,-0.042,,,,Undetermined,,Undetermined,,Undetermined,,,,
H21_S01,E5,S5,unknowns,UNKNOWN,26.647,-0.048,,,,Undetermined,,Undetermined,,Undetermined,,,,
H21_S01,E6,S5,unknowns,UNKNOWN,26.757,0.062,,,,Undetermined,,Undetermined,,Undetermined,,,,
H21_S01,E7,S13,unknowns,UNKNOWN,27.054,0.359,,,,Undetermined,,Undetermined,,Undetermined,,,,
H21_S01,E8,S13,unknowns,UNKNOWN,26.78,0.085,,,,37.36,0.38,Undetermined,,Undetermined,,,,
H21_S01,E9,S13,unknowns,UNKNOWN,26.774,0.079,,,,40.821,0.03,Undetermined,,Undetermined,,,,
H21_S01,E10,S21,unknowns,UNKNOWN,26.692,-0.003,,,,35.337,1.63,Undetermined,,Undetermined,,,,
