qPCR,well,sample,type,task,IPC_Ct,inhibition_rate,useful,Zymo,dilution,hake_Ct,hake_copies_ul,lamprey_Ct,lamprey_copies_ul,eulachon_Ct,eulachon_copies_ul
H21_S01,A1,E05,gBlocks,STANDARD,34.223,7.528,,,,20.013,100000.00,19.11,100000.00,20.57,100000.00
H21_S01,A2,E05,gBlocks,STANDARD,32.073,5.378,,,,19.967,100000.00,18.94,100000.00,20.45,100000.00
H21_S01,A3,E05,gBlocks,STANDARD,31.979,5.284,,,,19.402,100000.00,18.59,100000.00,20.01,100000.00
H21_S01,B2,E04,gBlocks,STANDARD,26.961,0.266,,,,23.241,10000.00,22.23,10000.00,23.79,10000.00
H21_S01,B3,E04,gBlocks,STANDARD,27.064,0.369,,,,23.368,10000.00,22.23,10000.00,23.88,10000.00
H21_S01,C1,E03,gBlocks,STANDARD,26.507,-0.188,,,,26.09,1000.00,25.15,1000.00,26.95,1000.00
H21_S01,C2,E03,gBlocks,STANDARD,26.688,-0.007,,,,26.109,1000.00,25.30,1000.00,26.87,1000.00
H21_S01,C3,E03,gBlocks,STANDARD,26.629,-0.066,,,,26.245,1000.00,25.13,1000.00,26.73,1000.00
H21_S01,D1,E02,gBlocks,STANDARD,26.689,-0.006,,,,29.933,100.00,28.60,100.00,30.33,100.00
H21_S01,D2,E02,gBlocks,STANDARD,26.699,0.004,,,,29.676,100.00,28.43,100.00,30.30,100.00
H21_S01,D3,E02,gBlocks,STANDARD,26.703,0.008,,,,29.779,100.00,28.50,100.00,30.31,100.00
H21_S01,E1,E01,gBlocks,STANDARD,26.763,0.068,,,,32.854,10.00,31.52,10.00,33.90,10.00
H21_S01,E2,E01,gBlocks,STANDARD,26.689,-0.006,,,,32.844,10.00,31.45,10.00,34.27,10.00
H21_S01,E3,E01,gBlocks,STANDARD,26.867,0.172,,,,33.03,10.00,31.59,10.00,33.50,10.00
H21_S01,F1,5,gBlocks,STANDARD,26.615,-0.08,,,,33.45,5.00,32.73,5.00,34.94,5.00
H21_S01,F2,5,gBlocks,STANDARD,26.741,0.046,,,,34.517,5.00,32.21,5.00,33.50,5.00
H21_S01,F3,5,gBlocks,STANDARD,26.722,0.027,,,,33.944,5.00,32.56,5.00,34.57,5.00
H21_S01,G1,E00,gBlocks,STANDARD,26.62,-0.075,,,,35.495,1.00,34.45,1.00,37.24,1.00
H21_S01,G2,E00,gBlocks,STANDARD,26.759,0.064,,,,36.46,1.00,34.72,1.00,Undetermined,1.00
H21_S01,G3,E00,gBlocks,STANDARD,26.692,-0.003,,,,36.234,1.00,34.80,1.00,37.23,1.00
H21_S01,H1,E00,gBlocks,STANDARD,26.6,-0.095,,,,35.795,1.00,34.55,1.00,37.00,1.00
H21_S01,H2,E00,gBlocks,STANDARD,26.673,-0.022,,,,35.62,1.00,34.23,1.00,38.84,1.00
H21_S01,H3,E00,gBlocks,STANDARD,26.62,-0.075,,,,35.462,1.00,35.00,1.00,Undetermined,1.00
H21_S01_Pl01,I1,E05,gBlocks,STANDARD,34.947,8.282,,,,19.797,100000.00,18.67,100000.00,19.55,100000.00
H21_S01_Pl01,I2,E05,gBlocks,STANDARD,34.524,7.859,,,,19.775,100000.00,18.68,100000.00,19.54,100000.00
H21_S01_Pl01,I3,E05,gBlocks,STANDARD,32.976,6.311,,,,20.031,100000.00,18.84,100000.00,19.72,100000.00
H21_S01_Pl01,J1,E04,gBlocks,STANDARD,27.813,1.148,,,,23.069,10000.00,21.93,10000.00,22.84,10000.00
H21_S01_Pl01,J2,E04,gBlocks,STANDARD,27.753,1.088,,,,23.125,10000.00,21.96,10000.00,22.93,10000.00
H21_S01_Pl01,J3,E04,gBlocks,STANDARD,27.677,1.012,,,,23.188,10000.00,21.96,10000.00,22.97,10000.00
H21_S01_Pl01,K1,E03,gBlocks,STANDARD,26.299,-0.366,,,,26.642,1000.00,25.46,1000.00,26.37,1000.00
H21_S01_Pl01,K2,E03,gBlocks,STANDARD,26.527,-0.138,,,,26.405,1000.00,25.29,1000.00,26.36,1000.00
H21_S01_Pl01,K3,E03,gBlocks,STANDARD,26.585,-0.08,,,,26.601,1000.00,25.39,1000.00,26.43,1000.00
H21_S01_Pl01,L1,E02,gBlocks,STANDARD,26.753,0.088,,,,29.804,100.00,28.50,100.00,29.60,100.00
H21_S01_Pl01,L2,E02,gBlocks,STANDARD,26.74,0.075,,,,29.854,100.00,28.66,100.00,29.86,100.00
H21_S01_Pl01,L3,E02,gBlocks,STANDARD,26.651,-0.014,,,,29.895,100.00,28.69,100.00,29.38,100.00
H21_S01_Pl01,M1,E01,gBlocks,STANDARD,26.776,0.111,,,,33.097,10.00,31.68,10.00,32.55,10.00
H21_S01_Pl01,M2,E01,gBlocks,STANDARD,26.715,0.05,,,,32.372,10.00,31.81,10.00,32.81,10.00
H21_S01_Pl01,M3,E01,gBlocks,STANDARD,26.69,0.025,,,,32.551,10.00,31.45,10.00,32.63,10.00
H21_S01_Pl01,N1,5,gBlocks,STANDARD,26.674,0.009,,,,35.408,5.00,32.58,5.00,36.19,5.00
H21_S01_Pl01,N2,5,gBlocks,STANDARD,26.792,0.127,,,,34.36,5.00,32.77,5.00,35.72,5.00
H21_S01_Pl01,N3,5,gBlocks,STANDARD,26.76,0.095,,,,34.355,5.00,33.06,5.00,33.61,5.00
H21_S01_Pl01,O1,E00,gBlocks,STANDARD,26.828,0.163,,,,35.536,1.00,34.29,1.00,37.85,1.00
H21_S01_Pl01,O2,E00,gBlocks,STANDARD,26.869,0.204,,,,36.045,1.00,34.55,1.00,34.02,1.00
H21_S01_Pl01,O3,E00,gBlocks,STANDARD,26.697,0.032,,,,Undetermined,1.00,35.32,1.00,36.70,1.00
H21_S01_Pl01,P1,E00,gBlocks,STANDARD,26.997,0.332,,,,36.992,1.00,34.16,1.00,Undetermined,1.00
H21_S01_Pl01,P2,E00,gBlocks,STANDARD,26.794,0.129,,,,35.407,1.00,36.07,1.00,36.53,1.00
H21_S01_Pl01,P3,E00,gBlocks,STANDARD,26.744,0.079,,,,35.253,1.00,34.63,1.00,35.89,1.00
H21_01,I1,E05,gBlocks,STANDARD,33.028,6.632,Y,,,19.777,100000.00,18.54,100000.00,19.74,100000.00
H21_01,I2,E05,gBlocks,STANDARD,32.568,6.172,Y,,,19.935,100000.00,18.73,100000.00,19.93,100000.00
H21_01,I3,E05,gBlocks,STANDARD,32.445,6.049,Y,,,19.905,100000.00,18.57,100000.00,19.78,100000.00
H21_01,J1,E04,gBlocks,STANDARD,27.184,0.788,,,,23.09,10000.00,21.82,10000.00,23.14,10000.00
H21_01,J2,E04,gBlocks,STANDARD,27.025,0.63,,,,23.058,10000.00,21.82,10000.00,23.05,10000.00
H21_01,J3,E04,gBlocks,STANDARD,26.703,0.308,,,,23.386,10000.00,21.95,10000.00,23.33,10000.00
H21_01,K1,E03,gBlocks,STANDARD,26.314,-0.082,,,,26.221,1000.00,25.06,1000.00,26.34,1000.00
H21_01,K2,E03,gBlocks,STANDARD,26.191,-0.204,,,,26.338,1000.00,25.05,1000.00,26.37,1000.00
H21_01,K3,E03,gBlocks,STANDARD,26.193,-0.203,,,,26.436,1000.00,25.07,1000.00,26.44,1000.00
H21_01,L1,E02,gBlocks,STANDARD,26.38,-0.015,,,,29.474,100.00,28.16,100.00,29.76,100.00
H21_01,L2,E02,gBlocks,STANDARD,26.4,0.005,,,,29.543,100.00,28.40,100.00,29.79,100.00
H21_01,L3,E02,gBlocks,STANDARD,26.385,-0.01,,,,29.595,100.00,28.21,100.00,29.71,100.00
H21_01,M1,E01,gBlocks,STANDARD,26.228,-0.167,,,,32.852,10.00,31.24,10.00,32.34,10.00
H21_01,M2,E01,gBlocks,STANDARD,26.354,-0.041,,,,32.684,10.00,31.04,10.00,32.38,10.00
H21_01,M3,E01,gBlocks,STANDARD,26.232,-0.164,,,,32.263,10.00,31.48,10.00,33.54,10.00
H21_01,N1,5,gBlocks,STANDARD,26.448,0.053,,,,33.063,5.00,32.41,5.00,34.74,5.00
H21_01,N2,5,gBlocks,STANDARD,26.408,0.012,,,,34.546,5.00,32.49,5.00,34.02,5.00
H21_01,N3,5,gBlocks,STANDARD,26.312,-0.084,,,,33.596,5.00,32.58,5.00,35.60,5.00
H21_01,O1,E00,gBlocks,STANDARD,26.367,-0.028,,,,34.673,1.00,34.78,1.00,Undetermined,1.00
H21_01,O2,E00,gBlocks,STANDARD,26.443,0.047,,,,35.016,1.00,34.07,1.00,35.04,1.00
H21_01,O3,E00,gBlocks,STANDARD,34.006,7.61,,,,Undetermined,1.00,Undetermined,1.00,Undetermined,1.00
H21_01,P1,E00,gBlocks,STANDARD,26.747,0.352,,,,36.72,1.00,35.11,1.00,36.52,1.00
