qPCR,well,sample,type,task,IPC_Ct,inhibition_rate,useful,Zymo,hake_Ct,hake_copies_ul,lamprey_Ct,lamprey_copies_ul,eulachon_Ct,eulachon_copies_ul,hake_copies_l,lamprey_copies_ul,eulachon_copies_l
H5,I17,282,unknowns,UNKNOWN,25.96249199,-0.23327446,,,33.41258621,9.981927872,Undetermined,,Undetermined,,399.2771149,0,0
H5,I18,282,unknowns,UNKNOWN,26.09650421,-0.099262238,,,33.09555817,12.45980263,Undetermined,,Undetermined,,498.3921051,0,0
H5,I19,282,unknowns,UNKNOWN,26.08210564,-0.113660812,,,33.7008934,8.159088135,Undetermined,,Undetermined,,326.3635254,0,0
H5,J17,283,unknowns,UNKNOWN,26.08687401,-0.108892441,,,34.57423782,4.4296031,Undetermined,,Undetermined,,177.184124,0,0
H5,J18,283,unknowns,UNKNOWN,26.12615967,-0.069606781,,,35.46995544,2.367511749,Undetermined,,Undetermined,,94.70046997,0,0
H5,J19,283,unknowns,UNKNOWN,25.91399574,-0.281770706,,,34.52837753,4.573985577,Undetermined,,Undetermined,,182.9594231,0,0
H5,K17,284,unknowns,UNKNOWN,26.21857643,0.022809982,,,34.81747055,3.736657381,Undetermined,,Undetermined,,149.4662952,0,0
H5,K18,284,unknowns,UNKNOWN,26.10242081,-0.093345642,,,34.3184433,5.297389984,Undetermined,,Undetermined,,211.8955994,0,0
H5,K19,284,unknowns,UNKNOWN,26.24544525,0.049678802,,,35.23595047,2.788500547,Undetermined,,Undetermined,,111.5400219,0,0
H5,L17,285,unknowns,UNKNOWN,26.74602699,0.550260544,,,37.20145035,0.705267012,Undetermined,,Undetermined,,28.21068048,0,0
H5,L18,285,unknowns,UNKNOWN,26.11077881,-0.08498764,,,35.48022079,2.350574732,Undetermined,,Undetermined,,94.02298927,0,0
H5,L19,285,unknowns,UNKNOWN,26.06483269,-0.130933762,,,35.29805756,2.669966459,Undetermined,,Undetermined,,106.7986584,0,0
H5,M17,286,unknowns,UNKNOWN,45,18.80423355,NO,,Undetermined,,Undetermined,,Undetermined,,#VALUE!,0,0
H5,M18,286,unknowns,UNKNOWN,39.45346832,13.25770187,NO,,Undetermined,,Undetermined,,Undetermined,,#VALUE!,0,0
H5,M19,286,unknowns,UNKNOWN,45,18.80423355,NO,,Undetermined,,Undetermined,,Undetermined,,#VALUE!,0,0
H5,N5,1306a,unknowns,UNKNOWN,26.13093376,-0.064832687,,,32.65939331,16.90423393,Undetermined,,Undetermined,,676.1693573,0,0
H5,N6,1306a,unknowns,UNKNOWN,26.00271416,-0.193052292,,,31.95533943,27.65990067,Undetermined,,Undetermined,,1106.396027,0,0
H5,N7,1306a,unknowns,UNKNOWN,25.96922112,-0.226545334,,,32.91201019,14.16653156,Undetermined,,Undetermined,,566.6612625,0,0
H5,N11,279,sampling neg,UNKNOWN,26.45680237,0.261035919,,,Undetermined,,Undetermined,,Undetermined,,#VALUE!,0,0
H5,N12,279,sampling neg,UNKNOWN,26.51524353,0.319477081,,,Undetermined,,Undetermined,,Undetermined,,#VALUE!,0,0
H5,N17,287,unknowns,UNKNOWN,45,18.80423355,NO,,Undetermined,,Undetermined,,Undetermined,,#VALUE!,0,0
H5,N18,287,unknowns,UNKNOWN,42.53352737,16.33776093,NO,,Undetermined,,Undetermined,,Undetermined,,#VALUE!,0,0
H5,N19,287,unknowns,UNKNOWN,39.62481308,13.42904663,NO,,Undetermined,,Undetermined,,Undetermined,,#VALUE!,0,0
H5,O5,1361a,unknowns,UNKNOWN,26.37311745,0.177350998,,,33.61671448,8.653879166,Undetermined,,Undetermined,,346.1551666,0,0
H5,O6,1361a,unknowns,UNKNOWN,26.24645424,0.05068779,,,33.24576569,11.21723652,Undetermined,,Undetermined,,448.6894608,0,0
H5,O7,1361a,unknowns,UNKNOWN,26.24753189,0.051765442,,,34.26677322,5.492330074,Undetermined,,Undetermined,,219.693203,0,0
H5,O11,280,sampling neg,UNKNOWN,26.09553719,-0.100229263,,,Undetermined,,Undetermined,,Undetermined,,#VALUE!,0,0
H5,O12,280,sampling neg,UNKNOWN,26.05585861,-0.139907837,,,36.6453476,1.04056406,Undetermined,,Undetermined,,41.62256241,0,0
H5,O17,318,unknowns,UNKNOWN,45,18.80423355,NO,,Undetermined,,Undetermined,,Undetermined,,#VALUE!,0,0
H5,O18,318,unknowns,UNKNOWN,45,18.80423355,NO,,Undetermined,,Undetermined,,Undetermined,,#VALUE!,0,0
H5,O19,318,unknowns,UNKNOWN,45,18.80423355,NO,,Undetermined,,Undetermined,,Undetermined,,#VALUE!,0,0
H5,P5,1362a,unknowns,UNKNOWN,26.14095306,-0.054813385,,,34.75307846,3.908789396,Undetermined,,Undetermined,,156.3515759,0,0
H5,P6,1362a,unknowns,UNKNOWN,26.07143402,-0.124332428,,,34.96803284,3.363181114,Undetermined,,Undetermined,,134.5272446,0,0
H5,P7,1362a,unknowns,UNKNOWN,26.15706062,-0.038705826,,,33.91490173,7.024848938,Undetermined,,Undetermined,,280.9939575,0,0
H5,P11,281,sampling neg,UNKNOWN,25.96229172,-0.233474731,,,36.60697174,1.06887126,Undetermined,,Undetermined,,42.75485039,0,0
H5,P12,281,sampling neg,UNKNOWN,25.94212532,-0.253641129,,,Undetermined,,Undetermined,,Undetermined,,#VALUE!,0,0
H5,P17,319,unknowns,UNKNOWN,45,18.80423355,NO,,Undetermined,,Undetermined,,Undetermined,,#VALUE!,0,0
H5,P18,319,unknowns,UNKNOWN,45,18.80423355,NO,,Undetermined,,Undetermined,,Undetermined,,#VALUE!,0,0
H5,P19,319,unknowns,UNKNOWN,45,18.80423355,NO,,Undetermined,,Undetermined,,Undetermined,,#VALUE!,0,0
H6,A4,286,unknowns,UNKNOWN,27.09704208,0.781778336,YES,YES,39.79952621,0.039549235,Undetermined,,Undetermined,,1.58196941,0,0
H6,A5,286,unknowns,UNKNOWN,27.07914162,0.763877869,YES,YES,Undetermined,,Undetermined,,Undetermined,,#VALUE!,0,0
H6,A6,286,unknowns,UNKNOWN,27.20637512,0.891111374,YES,YES,Undetermined,,Undetermined,,Undetermined,,#VALUE!,0,0
H6,B4,287,unknowns,UNKNOWN,27.31845856,1.003194809,YES,YES,40.34085083,0.027260222,Undetermined,,Undetermined,,1.090408862,0,0
H6,B5,287,unknowns,UNKNOWN,27.51387215,1.198608398,YES,YES,Undetermined,,Undetermined,,Undetermined,,#VALUE!,0,0
H6,B6,287,unknowns,UNKNOWN,27.34788513,1.032621384,YES,YES,Undetermined,,Undetermined,,Undetermined,,#VALUE!,0,0
H6,C4,318,unknowns,UNKNOWN,26.66617393,0.350910187,YES,YES,36.69732285,0.333641112,Undetermined,,Undetermined,,13.34564447,0,0
H6,C5,318,unknowns,UNKNOWN,26.77669334,0.461429596,YES,YES,35.64265442,0.688879907,Undetermined,,Undetermined,,27.55519629,0,0
H6,C6,318,unknowns,UNKNOWN,26.90621948,0.590955734,YES,YES,Undetermined,,Undetermined,,Undetermined,,#VALUE!,0,0
H6,D4,319,unknowns,UNKNOWN,26.69246101,0.377197266,YES,YES,35.03674698,1.044799685,Undetermined,,Undetermined,,41.79198742,0,0
H6,D5,319,unknowns,UNKNOWN,26.82283401,0.507570267,YES,YES,36.16392136,0.48141861,Undetermined,,Undetermined,,19.25674438,0,0
H6,D6,319,unknowns,UNKNOWN,26.90451622,0.589252472,YES,YES,36.14992905,0.486071527,Undetermined,,Undetermined,,19.44286108,#VALUE!,0
H6,E7,1913,unknowns,UNKNOWN,26.34379768,0.028533936,YES,YES,30.87743378,18.22918701,Undetermined,,Undetermined,,729.1674805,#VALUE!,0
H6,E8,1913,unknowns,UNKNOWN,26.45215988,0.136896133,YES,YES,31.10445023,15.59527779,Undetermined,,Undetermined,,623.8111115,#VALUE!,0
H6,E9,1913,unknowns,UNKNOWN,26.34064865,0.025384903,YES,YES,30.76857948,19.64558792,Undetermined,,Undetermined,,785.8235168,#VALUE!,0
H6,F7,1919,unknowns,UNKNOWN,26.37433815,0.059074402,YES,YES,30.92835236,17.6021595,Undetermined,,Undetermined,,704.08638,#VALUE!,0
H6,F8,1919,unknowns,UNKNOWN,26.34623146,0.030967712,YES,YES,30.97700691,17.02317047,Undetermined,,Undetermined,,680.9268188,#VALUE!,0
H6,F9,1919,unknowns,UNKNOWN,26.48484802,0.169584274,YES,YES,31.06378174,16.03741646,Undetermined,,Undetermined,,641.4966583,#VALUE!,0
H6,G7,1923,unknowns,UNKNOWN,26.41876984,0.103506088,YES,YES,30.22511292,28.54389381,Undetermined,,Undetermined,,1141.755753,#VALUE!,0
H6,G8,1923,unknowns,UNKNOWN,26.43114471,0.115880966,YES,YES,30.19825745,29.075737,Undetermined,,Undetermined,,1163.02948,#VALUE!,0
H6,G9,1923,unknowns,UNKNOWN,26.32250214,0.007238388,YES,YES,30.14791298,30.09959984,Undetermined,,Undetermined,,1203.983994,#VALUE!,0
H6,H7,1926,unknowns,UNKNOWN,26.34314346,0.027879715,YES,YES,31.25181007,14.09288311,Undetermined,,Undetermined,,563.7153244,#VALUE!,0
H6,H8,1926,unknowns,UNKNOWN,26.41332817,0.098064423,YES,YES,30.91028023,17.82219696,Undetermined,,Undetermined,,712.8878784,0.415153466,0
H6,H9,1926,unknowns,UNKNOWN,26.25290298,-0.062360764,YES,YES,30.05972481,31.98075485,41.544,0.010378837,Undetermined,,1279.230194,#VALUE!,0
H6,A7,1913,unknowns,UNKNOWN,26.19887733,-0.116386414,YES,,30.16694832,29.70830345,Undetermined,,Undetermined,,1188.332138,1.492634863,0
H6,A8,1913,unknowns,UNKNOWN,26.17718697,-0.138076782,YES,,30.95791626,17.24804306,39.756,0.037315872,Undetermined,,689.9217224,#VALUE!,0
H6,A9,1913,unknowns,UNKNOWN,25.99823761,-0.317026138,YES,,Undetermined,,Undetermined,,Undetermined,,#VALUE!,#VALUE!,0
H6,B7,1919,unknowns,UNKNOWN,26.28344345,-0.031820297,YES,,30.34270859,26.32727051,Undetermined,,Undetermined,,1053.09082,#VALUE!,0
H6,B8,1919,unknowns,UNKNOWN,26.3585453,0.043281555,YES,,31.03828239,16.3210125,Undetermined,,Undetermined,,652.8404999,#VALUE!,0
H6,B9,1919,unknowns,UNKNOWN,26.33657265,0.021308899,YES,,30.81556511,19.02119446,Undetermined,,Undetermined,,760.8477783,#VALUE!,0
H6,C7,1923,unknowns,UNKNOWN,26.34924126,0.033977509,YES,,30.00061226,33.30706406,Undetermined,,Undetermined,,1332.282562,#VALUE!,0
H6,C8,1923,unknowns,UNKNOWN,26.56342697,0.248163223,YES,,30.05467033,32.09206772,Undetermined,,Undetermined,,1283.682709,#VALUE!,0
H6,C9,1923,unknowns,UNKNOWN,26.48807526,0.172811508,YES,,29.84605026,37.0407486,Undetermined,,Undetermined,,1481.629944,#VALUE!,0
H6,D7,1926,unknowns,UNKNOWN,26.36604309,0.050779343,YES,,30.49647141,23.68650627,Undetermined,,Undetermined,,947.4602509,#VALUE!,0
H6,D8,1926,unknowns,UNKNOWN,26.44155693,0.126293182,YES,,30.36880112,25.85926056,Undetermined,,Undetermined,,1034.370422,#VALUE!,0
H6,D9,1926,unknowns,UNKNOWN,26.32686996,0.011606216,YES,,30.40195084,25.27664757,Undetermined,,Undetermined,,1011.065903,0,0
H7,A7,68,unknowns,UNKNOWN,26.45527649,-0.158723511,,,32.9264679,3.698810339,Undetermined,,Undetermined,,147.9524136,0,0
H7,A8,68,unknowns,UNKNOWN,26.51790237,-0.096097626,,,32.88961029,3.797469854,Undetermined,,Undetermined,,151.8987942,0,0
