qPCR,well,sample,type,IPC_Ct,inhibition_rate,hake_task,hake_Ct,hake_copies_ul,lamprey_task,lamprey_Ct,lamprey_copies_ul,eulachon_task,eulachon_Ct,eulachon_copies_ul
H5,A1,E05,gBlocks,28.56160927,2.365842819,STANDARD,20.42657089,100000,STANDARD,18.71858978,100000,STANDARD,20.59345436,100000
H5,A2,E05,gBlocks,28.21132088,2.015554428,STANDARD,20.10750198,100000,STANDARD,18.39585304,100000,STANDARD,20.28339386,100000
H5,A3,E05,gBlocks,28.42248344,2.226716995,STANDARD,20.1992588,100000,STANDARD,18.45859146,100000,STANDARD,20.30477905,100000
H5,B1,E04,gBlocks,26.26657486,0.070808411,STANDARD,23.32828712,10000,STANDARD,21.60412788,10000,STANDARD,23.37785339,10000
H5,B2,E04,gBlocks,26.08052254,-0.115243912,STANDARD,23.28860283,10000,STANDARD,21.70280075,10000,STANDARD,23.51631927,10000
H5,B3,E04,gBlocks,25.98867035,-0.2070961,STANDARD,23.47999573,10000,STANDARD,21.72240448,10000,STANDARD,23.66833496,10000
H5,C1,E03,gBlocks,26.20352173,0.00775528,STANDARD,26.89330673,1000,STANDARD,25.10335732,1000,STANDARD,26.95344543,1000
H5,C2,E03,gBlocks,25.95924759,-0.23651886,STANDARD,26.74595833,1000,STANDARD,24.85517311,1000,STANDARD,26.6043148,1000
H5,C3,E03,gBlocks,26.04650688,-0.149259567,STANDARD,26.90283394,1000,STANDARD,25.00179291,1000,STANDARD,26.92471313,1000
H5,D1,E02,gBlocks,26.24280548,0.047039032,STANDARD,30.06488419,100,STANDARD,28.02949333,100,STANDARD,30.2153492,100
H5,D2,E02,gBlocks,26.22713089,0.031364441,STANDARD,30.32169342,100,STANDARD,28.29163361,100,STANDARD,30.01318932,100
H5,D3,E02,gBlocks,26.17921829,-0.016548157,STANDARD,30.29260826,100,STANDARD,28.07632065,100,STANDARD,29.88191223,100
H5,E2,E01,gBlocks,26.23111153,0.035345078,STANDARD,33.36571884,10,STANDARD,30.90477943,10,STANDARD,32.87170029,10
H5,E3,E01,gBlocks,26.27179909,0.076032639,STANDARD,34.55844116,10,STANDARD,31.19112778,10,STANDARD,32.81326294,10
H5,F1,E00,gBlocks,26.18389702,-0.011869431,STANDARD,34.60243988,1,STANDARD,33.63557434,1,UNKNOWN,35.30453491,1
H5,F2,E00,gBlocks,26.29323196,0.097465515,STANDARD,37.35095596,1,STANDARD,33.81955338,1,STANDARD,36.85203552,1
H5,F3,E00,gBlocks,26.27061653,0.074850082,STANDARD,37.14846039,1,STANDARD,34.85621643,1,STANDARD,35.06521225,1
H6,A1,E05,gBlocks,29.22094154,2.905677795,STANDARD,18.83272362,100000,STANDARD,19.47766876,100000,STANDARD,18.06826782,100000
H6,A2,E05,gBlocks,30.17088699,3.855623245,STANDARD,18.47958183,100000,STANDARD,19.09158516,100000,STANDARD,17.67187309,100000
H6,A3,E05,gBlocks,30.54781342,4.232549667,STANDARD,18.46234703,100000,STANDARD,18.96686745,100000,STANDARD,17.63187408,100000
H6,B1,E04,gBlocks,26.5239296,0.208665848,STANDARD,21.68271065,10000,STANDARD,22.28470039,10000,STANDARD,20.89006615,10000
H6,B2,E04,gBlocks,26.44344139,0.128177643,STANDARD,21.48115921,10000,STANDARD,22.22192574,10000,STANDARD,20.86427307,10000
H6,B3,E04,gBlocks,25.94103813,-0.374225616,STANDARD,21.61496544,10000,STANDARD,22.26122284,10000,STANDARD,20.82777405,10000
H6,C1,E03,gBlocks,26.2583065,-0.056957245,STANDARD,25.24982452,1000,STANDARD,25.64650536,1000,STANDARD,24.18561363,1000
H6,C2,E03,gBlocks,26.12878418,-0.186479568,STANDARD,24.98149681,1000,STANDARD,25.39797783,1000,STANDARD,24.02070045,1000
H6,C3,E03,gBlocks,25.99398041,-0.32128334,STANDARD,24.82993126,1000,STANDARD,25.42937279,1000,STANDARD,23.98757935,1000
H6,D1,E02,gBlocks,26.25980568,-0.055458069,STANDARD,28.36037827,100,STANDARD,28.91569328,100,STANDARD,27.29810333,100
H6,D2,E02,gBlocks,26.16119766,-0.154066086,STANDARD,27.96359253,100,STANDARD,28.54753113,100,STANDARD,27.19507217,100
H6,D3,E02,gBlocks,26.31257629,-0.002687454,STANDARD,28.00598526,100,STANDARD,28.55448532,100,STANDARD,27.08945274,100
H6,E1,E01,gBlocks,26.17844772,-0.136816025,STANDARD,31.53955841,10,STANDARD,32.01244354,10,STANDARD,30.26233673,10
H6,E2,E01,gBlocks,26.24250984,-0.072753906,STANDARD,31.27276993,10,STANDARD,31.5813446,10,STANDARD,30.41950035,10
H6,E3,E01,gBlocks,26.34287643,0.027612686,STANDARD,32.18849945,10,STANDARD,31.75814629,10,STANDARD,30.2990818,10
H6,F1,E00,gBlocks,26.22805977,-0.087203979,STANDARD,35.73419952,1,STANDARD,Undetermined,1,STANDARD,32.96467972,1
H6,F2,E00,gBlocks,26.37602997,0.06076622,STANDARD,33.93981171,1,STANDARD,34.71102905,1,STANDARD,34.49171448,1
H6,F3,E00,gBlocks,26.26015663,-0.055107117,STANDARD,36.45649338,1,STANDARD,36.1528244,1,STANDARD,33.35959625,1
H7,F1,E00,gBlocks,26.44810295,-0.165897049,STANDARD,34.20924759,1,STANDARD,34.06095505,1,STANDARD,35.85030746,1
H7,F3,E00,gBlocks,26.65043068,0.036430679,STANDARD,35.66788101,1,STANDARD,34.56342316,1,STANDARD,34.86520004,1
H7,E1,E01,gBlocks,26.58581352,-0.028186478,STANDARD,31.25564575,10,STANDARD,30.56858826,10,STANDARD,31.73468208,10
H7,E2,E01,gBlocks,26.56495667,-0.049043335,STANDARD,31.17857742,10,STANDARD,31.30374527,10,STANDARD,32.4053688,10
H7,E3,E01,gBlocks,26.69471931,0.080719315,STANDARD,31.59773636,10,STANDARD,30.67407608,10,STANDARD,32.10261917,10
H7,D1,E02,gBlocks,26.46061707,-0.153382935,STANDARD,28.2180481,100,STANDARD,27.82452965,100,STANDARD,29.14442825,100
H7,D2,E02,gBlocks,26.62577629,0.011776291,STANDARD,28.30124283,100,STANDARD,27.72950554,100,STANDARD,28.96579552,100
H7,D3,E02,gBlocks,26.65608215,0.042082153,STANDARD,28.48609352,100,STANDARD,27.74230385,100,STANDARD,29.05053139,100
H7,C1,E03,gBlocks,26.50088501,-0.11311499,STANDARD,25.21960831,1000,STANDARD,24.76533508,1000,STANDARD,26.14111519,1000
H7,C2,E03,gBlocks,26.41029549,-0.203704514,STANDARD,25.08527756,1000,STANDARD,24.53339005,1000,STANDARD,25.77856064,1000
H7,C3,E03,gBlocks,26.33896446,-0.275035538,STANDARD,25.28125763,1000,STANDARD,24.68832207,1000,STANDARD,26.10638237,1000
H7,B1,E04,gBlocks,27.1133213,0.499321304,STANDARD,21.69609261,10000,STANDARD,21.27354813,10000,STANDARD,22.72291374,10000
H7,B2,E04,gBlocks,26.70775223,0.093752228,STANDARD,21.69053268,10000,STANDARD,21.22697258,10000,STANDARD,22.66010857,10000
H7,B3,E04,gBlocks,26.66710472,0.053104721,STANDARD,21.78743744,10000,STANDARD,21.35045624,10000,STANDARD,22.7818737,10000
H7,A1,E05,gBlocks,30.78902245,4.175022446,STANDARD,18.87465096,100000,STANDARD,18.49492645,100000,STANDARD,19.8491745,100000
H7,A2,E05,gBlocks,31.12348747,4.509487473,STANDARD,18.55490494,100000,STANDARD,18.08289719,100000,STANDARD,19.51502037,100000
H7,A3,E05,gBlocks,31.31439018,4.700390182,STANDARD,18.69888115,100000,STANDARD,18.21554947,100000,STANDARD,19.5730114,100000
H8,A1,E05,gBlocks,29.61057663,3.25734193,STANDARD,20.39007378,100000,STANDARD,19.60695076,100000,STANDARD,19.60695076,100000
H8,A2,E05,gBlocks,30.52914429,4.175909587,STANDARD,20.01405525,100000,STANDARD,19.16320229,100000,STANDARD,19.16320229,100000
H8,A3,E05,gBlocks,29.31005096,2.956816265,STANDARD,20.15341949,100000,STANDARD,19.22271538,100000,STANDARD,19.22271538,100000
H8,B1,E04,gBlocks,26.44040489,0.087170192,STANDARD,23.3570652,10000,STANDARD,22.47117805,10000,STANDARD,22.47117805,10000
H8,B2,E04,gBlocks,26.61777878,0.264544078,STANDARD,23.30724144,10000,STANDARD,22.60416031,10000,STANDARD,22.60416031,10000
H8,B3,E04,gBlocks,26.11140633,-0.241828374,STANDARD,23.35932732,10000,STANDARD,22.49468613,10000,STANDARD,22.49468613,10000
H8,C1,E03,gBlocks,26.27589607,-0.077338627,STANDARD,26.85717392,1000,STANDARD,25.75984764,1000,STANDARD,25.75984764,1000
H8,C2,E03,gBlocks,26.23060608,-0.122628621,STANDARD,26.71284866,1000,STANDARD,25.64536667,1000,STANDARD,25.64536667,1000
H8,C3,E03,gBlocks,26.21453094,-0.138703755,STANDARD,26.71720695,1000,STANDARD,25.77133369,1000,STANDARD,25.77133369,1000
H8,D1,E02,gBlocks,26.33839798,-0.01483672,STANDARD,30.11763382,100,STANDARD,28.97122383,100,STANDARD,28.97122383,100
H8,D2,E02,gBlocks,26.38376808,0.030533382,STANDARD,29.90788841,100,STANDARD,28.89701653,100,STANDARD,28.89701653,100
H8,D3,E02,gBlocks,26.274086,-0.079148701,STANDARD,30.00498962,100,STANDARD,28.8012867,100,STANDARD,28.8012867,100
