Tube #,CTD cast,depth (m),qubit (ng/ul),Chlorophyll a fluorescence,moa IPC mean,Zymo moa IPC mean,hake copy/ul,eulachon copy/ul,lamprey copy/ul,lat,lon,Date,Time
68,26-2,50,39.8,0.05,-0.16,NA,4.613,0,0,38.56174166666667,-123.65883833333334,2019-07-04,08:21:42
69,26-2,50,5.49,0.05,-0.1,NA,0.177,0,0,38.56174166666667,-123.65883833333334,2019-07-04,08:21:42
70,26-2,3,too high?,2.17,-0.05,NA,2.905,0,0,38.56174166666667,-123.65883833333334,2019-07-04,08:21:42
71,26-2,3,too high?,2.17,0.04,NA,0.466,0,0,38.56174166666667,-123.65883833333334,2019-07-04,08:21:42
82,26-3,3,35.3,2.56,0.13,NA,0.488,0,0,38.562641666666664,-123.97859833333334,2019-07-04,10:50:21
83,26-3,3,too high,2.56,0.08,NA,0.168,0,0,38.562641666666664,-123.97859833333334,2019-07-04,10:50:21
279,H2O,-,0.221,NA,0.16,NA,0,0,0,NA,NA,NA,NA
280,H2O,-,too low,NA,-0.1,NA,1.041,0,0,NA,NA,NA,NA
281,H2O,-,0.263,NA,-0.24,NA,1.069,0,0,NA,NA,NA,NA
282,35-1,48,140,0.09,-0.15,NA,10.2,0,0,40.065505,-124.13727833333333,2019-07-09,04:13:13
283,35-1,48,71.5,0.09,-0.15,NA,3.79,0,0,40.065505,-124.13727833333333,2019-07-09,04:13:13
284,35-1,25,too high,2.38,-0.01,NA,3.941,0,0,40.065505,-124.13727833333333,2019-07-09,04:13:13
285,35-1,25,too high,2.38,0.11,NA,1.909,0,0,40.065505,-124.13727833333333,2019-07-09,04:13:13
286,35-1,3,too high,9.37,16.96,0.81,0.013,0,0,40.065505,-124.13727833333333,2019-07-09,04:13:13
287,35-1,3,too high,9.37,16.19,1.08,0.009,0,0,40.065505,-124.13727833333333,2019-07-09,04:13:13
318,35-7,50,NA,1.47,18.8,0.47,0.341,0,0,40.06181,-124.64361666666667,2019-07-09,07:59:51
319,35-7,50,NA,1.47,18.8,0.49,0.671,0,0,40.06181,-124.64361666666667,2019-07-09,07:59:51
320,35-7,3,NA,2.3,0.54,NA,0.454,0,0,40.06181,-124.64361666666667,2019-07-09,07:59:51
455,H2O,-,NA,NA,-0.05,NA,0.253,0,0,NA,NA,NA,NA
458,39-1,25,NA,0.86,-0.13,NA,28.394,0,0,40.72985,-124.37348666666666,2019-07-12,04:25:18
459,39-1,25,NA,0.86,-0.03,NA,8.787,0,0,40.72985,-124.37348666666666,2019-07-12,04:25:18
460,39-1,3,NA,8.98,-0.04,NA,73.365,0,0,40.72985,-124.37348666666666,2019-07-12,04:25:18
461,39-1,3,NA,8.98,18.34,NA,NA,0,0,40.72985,-124.37348666666666,2019-07-12,04:25:18
488,39-5,3,NA,4.43,0.05,NA,32.23,0,0,40.730918333333335,-124.66178166666667,2019-07-12,07:21:02
489,39-5,3,NA,4.43,0.06,NA,3.808,0,0,40.730918333333335,-124.66178166666667,2019-07-12,07:21:02
510,39-9,50,NA,0.62,-0.07,NA,2.171,0,0,40.729016666666666,-125.10016666666667,2019-07-12,10:29:20
511,39-9,50,NA,0.62,-0.08,NA,28.835,0,0,40.729016666666666,-125.10016666666667,2019-07-12,10:29:20
778,H2O,-,NA,NA,-0.14,NA,0.964,0,0,NA,NA,NA,NA
802,53-3,3,NA,1.95,-0.06,NA,2.726,0,0,43.0648,-124.87498,2019-07-24,05:09:56
847,53-7,50,NA,1.22,-0.07,NA,0,0,0,43.06521333333333,-125.248965,2019-07-24,09:37:11
848,53-7,50,NA,1.22,-0.07,NA,0,0,0,43.06521333333333,-125.248965,2019-07-24,09:37:11
849,53-7,3,NA,1.59,-0.03,NA,0,0,0,43.06521333333333,-125.248965,2019-07-24,09:37:11
850,53-7,3,NA,1.59,-0.14,NA,0.075,0,0,43.06521333333333,-125.248965,2019-07-24,09:37:11
976,H2O,-,NA,NA,-0.05,NA,0,0,0,NA,NA,NA,NA
985,60-4,50,NA,2,-0.34,NA,65.615,0,0,44.23039833333333,-125.15832333333333,2019-07-27,05:17:13
986,60-4,50,NA,2,-0.15,NA,69.148,0,0,44.23039833333333,-125.15832333333333,2019-07-27,05:17:13
987,60-4,3,NA,0.21,-0.08,NA,1.303,0,0,44.23039833333333,-125.15832333333333,2019-07-27,05:17:13
988,60-4,3,NA,0.21,-0.06,NA,9.533,0,0,44.23039833333333,-125.15832333333333,2019-07-27,05:17:13
997,60-2,50,NA,0.05,3.87,NA,0,0,0,44.23054833333333,-124.53929833333333,2019-07-27,09:08:57
998,60-2,50,NA,0.05,0.12,NA,0,0,0,44.23054833333333,-124.53929833333333,2019-07-27,09:08:57
1203,H2O,-,NA,NA,-0.14,NA,0.291,0,0,NA,NA,NA,NA
1204,H2O,-,NA,NA,-0.17,NA,2.287,0,0,NA,NA,NA,NA
1209,67-1,3,NA,3.85,3.87,NA,0.052,0,0,45.39631833333333,-124.04062833333333,2019-07-31,04:39:33
1210,67-1,3,NA,3.85,0.12,NA,1.166,0,0,45.39631833333333,-124.04062833333333,2019-07-31,04:39:33
1225,67-3,50,NA,0.31,-0.06,NA,0.886,0,0,45.396121666666666,-124.42261333333333,2019-07-31,07:04:32
1226,67-3,50,NA,0.31,-0.05,NA,0.597,0,0,45.396121666666666,-124.42261333333333,2019-07-31,07:04:32
1227,67-3,3,NA,1.1,0.12,NA,24.95,0,0,45.396121666666666,-124.42261333333333,2019-07-31,07:04:32
1306,69-4,300/150,17.9,0.83,-0.16,NA,19.576,0,0,45.73155833333333,-124.77447666666667,2019-08-06,10:37:29
1361,71-4,200,7.74,-0.01,0.09,NA,8.454,0,0,46.064278333333334,-124.84002,2019-08-07,06:08:21
1362,71-4,200,9.72,-0.01,-0.07,NA,4.766,0,0,46.064278333333334,-124.84002,2019-08-07,06:08:21
1534,H2O,-,NA,NA,-0.22,NA,0.985,0,0,NA,NA,NA,NA
1541,77-2,3,31.5,2.23,17.82,NA,0,0,0,47.063916666666664,-124.87059666666667,2019-08-10,07:43:58
1542,77-2,3,NA,2.23,1.62,NA,4.905,0,0,47.063916666666664,-124.87059666666667,2019-08-10,07:43:58
1718,H2O,-,0,NA,-0.26,NA,0.985,0,0,NA,NA,NA,NA
1779,81-9,50,NA,1.06,-0.01,NA,0.652,0,0,47.73233,-125.742555,2019-08-14,10:11:55
1780,81-9,50,NA,1.06,-0.05,NA,0.446,0,0,47.73233,-125.742555,2019-08-14,10:11:55
1913,85-0,120,13.8,NA,NA,-0.19,17.823,0,0,NA,NA,NA,NA
1919,85-0,120,16.4,NA,NA,0.011,20.556,0.037,0,NA,NA,NA,NA
1923,85-0,120,14.7,NA,NA,0.152,34.147,0,0,NA,NA,NA,NA
1926,85-0,120,19.6,NA,NA,0.063,24.941,0.01,0,NA,NA,NA,NA
extc191105,NA,NA,0,NA,-0.14,NA,0,0,0,NA,NA,NA,NA
