loc.id,date,year,month,day,station,transect,lat,lon,NGDC_m
1,6/17/19,2019,6,17,7,7,34.39718167,-120.9987233,-1155
2,6/17/19,2019,6,17,9,9,34.39500833,-121.14551,-1524
3,6/17/19,2019,6,17,zPC1,zP,34.56441167,-120.6927583,-62
4,6/17/19,2019,6,17,zPC2,zP,34.56718167,-120.767545,-201
5,6/17/19,2019,6,17,zPC3,zP,34.56469,-120.8284467,-284
6,6/18/19,2019,6,18,1-Mar,3,34.73079167,-120.6962967,-53
7,6/18/19,2019,6,18,2-Mar,3,34.73018333,-120.850485,-157
8,6/18/19,2019,6,18,3-Mar,3,34.72878667,-120.9387583,-314
9,6/18/19,2019,6,18,4-Mar,3,34.73264333,-121.0383533,-500
10,6/18/19,2019,6,18,zPC-5,zP,34.56733333,-121.2585917,-955
11,6/18/19,2019,6,18,zPC-6,zP,34.56607167,-121.4031867,-1582
12,6/18/19,2019,6,18,zPC4,zP,34.56408667,-120.906135,-498
13,6/19/19,2019,6,19,10-Mar,3,34.73123667,-121.645205,-834
14,6/19/19,2019,6,19,11-Mar,3,34.72961833,-121.726165,-1545
15,6/19/19,2019,6,19,5-Mar,3,34.731225,-121.1363183,-553
16,6/19/19,2019,6,19,6-Mar,3,34.73029,-121.2398117,-579
17,6/19/19,2019,6,19,7-Mar,3,34.73011667,-121.3400233,-567
18,6/19/19,2019,6,19,8-Mar,3,34.73171333,-121.44015,-653
19,6/19/19,2019,6,19,9-Mar,3,34.73134,-121.5465367,-888
20,6/20/19,2019,6,20,1-May,5,35.06437167,-120.7280517,-52
21,6/20/19,2019,6,20,2-May,5,35.06460333,-120.8655333,-149
22,6/20/19,2019,6,20,3-May,5,35.0637,-120.953695,-301
23,6/20/19,2019,6,20,4-May,5,35.06381,-121.0792467,-507
24,6/20/19,2019,6,20,6-May,5,35.06837,-121.2736367,-620
25,6/20/19,2019,6,20,7-May,5,35.061695,-121.3838817,-487
26,6/21/19,2019,6,21,1-Jul,7,35.39695667,-120.92505,-53
27,6/21/19,2019,6,21,2-Jul,7,35.39747667,-121.039095,-172
