loc.id	date	year	month	day	station	transect	lat	lon	NGDC_m
1	6/17/19	2019	6	17	7	7	34.3971816700	-120.9987233000	-1155.0
2	6/17/19	2019	6	17	9	9	34.3950083300	-121.1455100000	-1524.0
3	6/17/19	2019	6	17	zPC1	zP	34.5644116700	-120.6927583000	-62.0
4	6/17/19	2019	6	17	zPC2	zP	34.5671816700	-120.7675450000	-201.0
5	6/17/19	2019	6	17	zPC3	zP	34.5646900000	-120.8284467000	-284.0
6	6/18/19	2019	6	18	1-Mar	3	34.7307916700	-120.6962967000	-53.0
7	6/18/19	2019	6	18	2-Mar	3	34.7301833300	-120.8504850000	-157.0
8	6/18/19	2019	6	18	3-Mar	3	34.7287866700	-120.9387583000	-314.0
9	6/18/19	2019	6	18	4-Mar	3	34.7326433300	-121.0383533000	-500.0
10	6/18/19	2019	6	18	zPC-5	zP	34.5673333300	-121.2585917000	-955.0
11	6/18/19	2019	6	18	zPC-6	zP	34.5660716700	-121.4031867000	-1582.0
12	6/18/19	2019	6	18	zPC4	zP	34.5640866700	-120.9061350000	-498.0
13	6/19/19	2019	6	19	10-Mar	3	34.7312366700	-121.6452050000	-834.0
14	6/19/19	2019	6	19	11-Mar	3	34.7296183300	-121.7261650000	-1545.0
15	6/19/19	2019	6	19	5-Mar	3	34.7312250000	-121.1363183000	-553.0
16	6/19/19	2019	6	19	6-Mar	3	34.7302900000	-121.2398117000	-579.0
17	6/19/19	2019	6	19	7-Mar	3	34.7301166700	-121.3400233000	-567.0
18	6/19/19	2019	6	19	8-Mar	3	34.7317133300	-121.4401500000	-653.0
19	6/19/19	2019	6	19	9-Mar	3	34.7313400000	-121.5465367000	-888.0
20	6/20/19	2019	6	20	1-May	5	35.0643716700	-120.7280517000	-52.0
21	6/20/19	2019	6	20	2-May	5	35.0646033300	-120.8655333000	-149.0
22	6/20/19	2019	6	20	3-May	5	35.0637000000	-120.9536950000	-301.0
23	6/20/19	2019	6	20	4-May	5	35.0638100000	-121.0792467000	-507.0
24	6/20/19	2019	6	20	6-May	5	35.0683700000	-121.2736367000	-620.0
25	6/20/19	2019	6	20	7-May	5	35.0616950000	-121.3838817000	-487.0
26	6/21/19	2019	6	21	1-Jul	7	35.3969566700	-120.9250500000	-53.0
27	6/21/19	2019	6	21	2-Jul	7	35.3974766700	-121.0390950000	-172.0
28	6/21/19	2019	6	21	3-Jul	7	35.3974100000	-121.1344783000	-304.0
29	6/21/19	2019	6	21	4-Jul	7	35.3970066700	-121.2907100000	-499.0
30	6/21/19	2019	6	21	5-Jul	7	35.3949050000	-121.3965800000	-734.0
31	6/21/19	2019	6	21	6-Jul	7	35.3986733300	-121.4962783000	-911.0
32	6/22/19	2019	6	22	1-Sep	9	35.7300066700	-121.3558200000	-55.0
33	6/22/19	2019	6	22	11-Sep	9	35.7254666700	-122.1844067000	-1637.0
34	6/22/19	2019	6	22	2-Sep	9	35.7306950000	-121.4150767000	-179.0
35	6/22/19	2019	6	22	3-Sep	9	35.7304900000	-121.4520283000	-300.0
36	6/22/19	2019	6	22	4-Sep	9	35.7320783300	-121.4985333000	-477.0
37	6/22/19	2019	6	22	9-Sep	9	35.7320016700	-122.0142550000	-1136.0
38	6/23/19	2019	6	23	1-Nov	11	36.0642933300	-121.6171433000	-66.0
39	6/23/19	2019	6	23	10-Nov	11	36.0670550000	-122.2743333000	-2473.0
40	6/23/19	2019	6	23	11-Nov	11	36.0638466700	-122.3382633000	-2690.0
41	6/23/19	2019	6	23	2-Nov	11	36.0642583300	-121.6342400000	-284.0
42	6/23/19	2019	6	23	3-Nov	11	36.0639666700	-121.6571600000	-484.0
43	6/23/19	2019	6	23	6-Nov	11	36.0606166700	-121.8670367000	-1028.0
44	6/23/19	2019	6	23	8-Nov	11	36.0638450000	-122.0697083000	-1517.0
