"","date","year","month","day","station","transect","lat","lon","water.depth","bathy.bottom.depth","bottom.depth.consensus"
"1",2019-06-17,2019,6,17,"7","7",34.3971816666667,-120.998723333333,1121.47,1165.71740722656,1121.47
"2",2019-06-17,2019,6,17,"9","9",34.3950083333333,-121.14551,-0.03,1496.03051757812,1496.03051757812
"3",2019-06-17,2019,6,17,"zPC1","zP",34.5644116666667,-120.692758333333,60.51,53.7112617492676,60.51
"4",2019-06-17,2019,6,17,"zPC2","zP",34.5671816666667,-120.767545,192.54,146.751266479492,192.54
"5",2019-06-17,2019,6,17,"zPC3","zP",34.56469,-120.828446666667,283.02,371.274658203125,283.02
"6",2019-06-18,2019,6,18,"3-1","3",34.7307916666667,-120.696296666667,50.17,58.8526496887207,50.17
"7",2019-06-18,2019,6,18,"3-2","3",34.7301833333333,-120.850485,153.56,173.060409545898,153.56
"8",2019-06-18,2019,6,18,"3-3","3",34.7287866666667,-120.938758333333,306.92,318.687866210938,306.92
"9",2019-06-18,2019,6,18,"3-4","3",34.7326433333333,-121.038353333333,490.1,495.427856445312,490.1
"10",2019-06-18,2019,6,18,"zPC-5","zP",34.5673333333333,-121.258591666667,916.65,917.377136230469,916.65
"11",2019-06-18,2019,6,18,"zPC-6","zP",34.5660716666667,-121.403186666667,502.89,1494.41845703125,1494.41845703125
"12",2019-06-18,2019,6,18,"zPC4","zP",34.5640866666667,-120.906135,496.87,522.164672851562,496.87
"13",2019-06-19,2019,6,19,"3-10","3",34.7312366666667,-121.645205,839.97,843.263916015625,839.97
"14",2019-06-19,2019,6,19,"3-11","3",34.7296183333333,-121.726165,1495.44,1339.12390136719,1495.44
"15",2019-06-19,2019,6,19,"3-5","3",34.731225,-121.136318333333,546.64,551.560974121094,546.64
"16",2019-06-19,2019,6,19,"3-6","3",34.73029,-121.239811666667,564.68,539.2568359375,564.68
"17",2019-06-19,2019,6,19,"3-7","3",34.7301166666667,-121.340023333333,564.62,577.61474609375,564.62
"18",2019-06-19,2019,6,19,"3-8","3",34.7317133333333,-121.44015,649.77,652.924743652344,649.77
"19",2019-06-19,2019,6,19,"3-9","3",34.73134,-121.546536666667,886.72,842.340942382812,886.72
"20",2019-06-20,2019,6,20,"5-1","5",35.0643716666667,-120.728051666667,51.3,55.0740089416504,51.3
"21",2019-06-20,2019,6,20,"5-2","5",35.0646033333333,-120.865533333333,142.42,156.051208496094,142.42
"22",2019-06-20,2019,6,20,"5-3","5",35.0637,-120.953695,294.74,309.095245361328,294.74
"23",2019-06-20,2019,6,20,"5-4","5",35.06381,-121.079246666667,499.12,516.461975097656,499.12
"24",2019-06-20,2019,6,20,"5-6","5",35.06837,-121.273636666667,609.12,618.778625488281,609.12
"25",2019-06-20,2019,6,20,"5-7","5",35.061695,-121.383881666667,481.34,493.693298339844,481.34
"26",2019-06-21,2019,6,21,"7-1","7",35.3969566666667,-120.92505,51.63,38.8471374511719,51.63
"27",2019-06-21,2019,6,21,"7-2","7",35.3974766666667,-121.039095,169.59,143.725936889648,169.59
"28",2019-06-21,2019,6,21,"7-3","7",35.39741,-121.134478333333,296.64,303.415679931641,296.64
"29",2019-06-21,2019,6,21,"7-4","7",35.3970066666667,-121.29071,488.23,484.972442626953,488.23
"30",2019-06-21,2019,6,21,"7-5","7",35.394905,-121.39658,708.82,741.051635742188,708.82
"31",2019-06-21,2019,6,21,"7-6","7",35.3986733333333,-121.496278333333,499.79,934.359802246094,499.79
"32",2019-06-22,2019,6,22,"9-1","9",35.7300066666667,-121.35582,53.69,52.891716003418,53.69
"33",2019-06-22,2019,6,22,"9-11","9",35.7254666666667,-122.184406666667,27.76,1701.46032714844,1701.46032714844
"34",2019-06-22,2019,6,22,"9-2","9",35.730695,-121.415076666667,174.3,225.621719360352,174.3
"35",2019-06-22,2019,6,22,"9-3","9",35.73049,-121.452028333333,295.48,341.101715087891,295.48
"36",2019-06-22,2019,6,22,"9-4","9",35.7320783333333,-121.498533333333,472.6,498.226531982422,472.6
"37",2019-06-22,2019,6,22,"9-9","9",35.7320016666667,-122.014255,1131.86,1130.86633300781,1131.86
"38",2019-06-23,2019,6,23,"11-1","11",36.0642933333333,-121.617143333333,63.52,77.6467056274414,63.52
"39",2019-06-23,2019,6,23,"11-10","11",36.067055,-122.274333333333,499.43,2306.0283203125,2306.0283203125
"40",2019-06-23,2019,6,23,"11-11","11",36.0638466666667,-122.338263333333,503.1,2143.80834960938,2143.80834960938
"41",2019-06-23,2019,6,23,"11-2","11",36.0642583333333,-121.63424,278.37,325.156707763672,278.37
"42",2019-06-23,2019,6,23,"11-3","11",36.0639666666667,-121.65716,478.99,563.606689453125,478.99
"43",2019-06-23,2019,6,23,"11-6","11",36.0606166666667,-121.867036666667,1025.86,1028.765625,1025.86
"44",2019-06-23,2019,6,23,"11-8","11",36.063845,-122.069708333333,500.75,1703.48364257812,1703.48364257812
"45",2019-06-23,2019,6,23,"11-9","11",36.0645116666667,-122.175016666667,501.03,1615.97729492188,1615.97729492188
"46",2019-06-24,2019,6,24,"13-1","13",36.3973016666667,-121.924888333333,51.57,39.0075187683105,51.57
"47",2019-06-24,2019,6,24,"13-10","13",36.398325,-122.647621666667,499.73,3209.4072265625,3209.4072265625
"48",2019-06-24,2019,6,24,"13-2","13",36.397365,-121.98456,137.04,349.567504882812,137.04
"49",2019-06-24,2019,6,24,"13-5","13",36.3966983333333,-122.11561,714.32,770.620361328125,714.32
