loc.id,date,year,month,day,station,transect,lat,lon
1,6/17/19,2019,6,17,7,7,34.39718167,-120.9987233
2,6/17/19,2019,6,17,9,9,34.39500833,-121.14551
3,6/17/19,2019,6,17,zPC1,zP,34.56441167,-120.6927583
4,6/17/19,2019,6,17,zPC2,zP,34.56718167,-120.767545
5,6/17/19,2019,6,17,zPC3,zP,34.56469,-120.8284467
6,6/18/19,2019,6,18,1-Mar,3,34.73079167,-120.6962967
7,6/18/19,2019,6,18,2-Mar,3,34.73018333,-120.850485
8,6/18/19,2019,6,18,3-Mar,3,34.72878667,-120.9387583
9,6/18/19,2019,6,18,4-Mar,3,34.73264333,-121.0383533
10,6/18/19,2019,6,18,zPC-5,zP,34.56733333,-121.2585917
11,6/18/19,2019,6,18,zPC-6,zP,34.56607167,-121.4031867
12,6/18/19,2019,6,18,zPC4,zP,34.56408667,-120.906135
13,6/19/19,2019,6,19,10-Mar,3,34.73123667,-121.645205
14,6/19/19,2019,6,19,11-Mar,3,34.72961833,-121.726165
15,6/19/19,2019,6,19,5-Mar,3,34.731225,-121.1363183
16,6/19/19,2019,6,19,6-Mar,3,34.73029,-121.2398117
17,6/19/19,2019,6,19,7-Mar,3,34.73011667,-121.3400233
18,6/19/19,2019,6,19,8-Mar,3,34.73171333,-121.44015
19,6/19/19,2019,6,19,9-Mar,3,34.73134,-121.5465367
20,6/20/19,2019,6,20,1-May,5,35.06437167,-120.7280517
21,6/20/19,2019,6,20,2-May,5,35.06460333,-120.8655333
22,6/20/19,2019,6,20,3-May,5,35.0637,-120.953695
23,6/20/19,2019,6,20,4-May,5,35.06381,-121.0792467
24,6/20/19,2019,6,20,6-May,5,35.06837,-121.2736367
25,6/20/19,2019,6,20,7-May,5,35.061695,-121.3838817
26,6/21/19,2019,6,21,1-Jul,7,35.39695667,-120.92505
27,6/21/19,2019,6,21,2-Jul,7,35.39747667,-121.039095
28,6/21/19,2019,6,21,3-Jul,7,35.39741,-121.1344783
29,6/21/19,2019,6,21,4-Jul,7,35.39700667,-121.29071
30,6/21/19,2019,6,21,5-Jul,7,35.394905,-121.39658
31,6/21/19,2019,6,21,6-Jul,7,35.39867333,-121.4962783
32,6/22/19,2019,6,22,1-Sep,9,35.73000667,-121.35582
33,6/22/19,2019,6,22,11-Sep,9,35.72546667,-122.1844067
34,6/22/19,2019,6,22,2-Sep,9,35.730695,-121.4150767
35,6/22/19,2019,6,22,3-Sep,9,35.73049,-121.4520283
36,6/22/19,2019,6,22,4-Sep,9,35.73207833,-121.4985333
37,6/22/19,2019,6,22,9-Sep,9,35.73200167,-122.014255
38,6/23/19,2019,6,23,1-Nov,11,36.06429333,-121.6171433
39,6/23/19,2019,6,23,10-Nov,11,36.067055,-122.2743333
40,6/23/19,2019,6,23,11-Nov,11,36.06384667,-122.3382633
41,6/23/19,2019,6,23,2-Nov,11,36.06425833,-121.63424
42,6/23/19,2019,6,23,3-Nov,11,36.06396667,-121.65716
43,6/23/19,2019,6,23,6-Nov,11,36.06061667,-121.8670367
44,6/23/19,2019,6,23,8-Nov,11,36.063845,-122.0697083
45,6/23/19,2019,6,23,9-Nov,11,36.06451167,-122.1750167
46,6/24/19,2019,6,24,13-1,13,36.39730167,-121.9248883
47,6/24/19,2019,6,24,13-10,13,36.398325,-122.6476217
48,6/24/19,2019,6,24,13-2,13,36.397365,-121.98456
49,6/24/19,2019,6,24,13-5,13,36.39669833,-122.11561
50,6/24/19,2019,6,24,13-6,13,36.39717333,-122.2199733
51,6/24/19,2019,6,24,13-8,13,36.39966167,-122.4266017
52,6/25/19,2019,6,25,15-1,15,36.73205667,-121.8496617
53,6/25/19,2019,6,25,15-10,15,36.731725,-122.584155
54,6/25/19,2019,6,25,15-2,15,36.73062333,-121.97261
55,6/25/19,2019,6,25,15-4,15,36.73044833,-121.9872017
56,6/26/19,2019,6,26,17-1,17,37.06476,-122.324745
57,6/26/19,2019,6,26,17-2,17,37.06521167,-122.6407917
58,6/26/19,2019,6,26,17-3,17,37.064605,-122.671565
59,6/26/19,2019,6,26,17-4,17,37.063405,-122.7246933
60,6/26/19,2019,6,26,17-5,17,37.064265,-122.8263917
61,6/26/19,2019,6,26,17-6,17,37.06243,-122.937085
62,6/26/19,2019,6,26,17-7,17,37.05966333,-123.0605783
63,6/27/19,2019,6,27,19-1,19,37.39801333,-122.524915
64,6/27/19,2019,6,27,19-4,19,37.39376333,-122.9653467
