Well,Row,Column,Plate,Sample,Seq.times,PCR.success
H4,H,4,Plate.extra,1748,0,0
B5,B,5,Plate.extra,1772,0,0
E2,E,2,Plate22,82,0,0
E3,E,3,Plate22,318,0,0
A5,A,5,Plate22,460,0,0
B5,B,5,Plate22,461,0,0
G6,G,6,Plate22,781,0,0
B7,B,7,Plate22,784,0,0
A8,A,8,Plate22,849,0,0
B8,B,8,Plate22,850,0,0
E9,E,9,Plate22,1005,0,0
F9,F,9,Plate22,1006,0,0
G9,G,9,Plate22,1007,0,0
H9,H,9,Plate22,1008,0,0
E10,E,10,Plate22,1209,0,0
H10,H,10,Plate22,1226,0,0
A11,A,11,Plate22,1227,0,0
E11,E,11,Plate22,1275,0,0
H1,H,1,Plate23,1722,0,0
E2,E,2,Plate23,1745,0,0
