Well,Sample,Success,Notes,PCR
A2,70,Y,NA,PCR_RGS_055
H4,459,Y,NA,PCR_RGS_055
F5,487,Y,NA,PCR_RGS_055
C11,1273,Y,NA,PCR_RGS_055
G11,1535,Y,NA,PCR_RGS_055
A12,1537,Y,NA,PCR_RGS_055
H12,1548,Y,NA,PCR_RGS_055
G2,1755,Y,NA,PCR_RGS_055
H2,1756,Y,NA,PCR_RGS_055
D3,1780,Y,NA,PCR_RGS_055
F10,1210,y,NA,PCR_RGS_058
H12,1548,y,NA,PCR_RGS_058
F03,319,Y,NA,PCR_RGS_059
E06,779,y,NA,PCR_RGS_059
F10,1210,Y,NA,PCR_RGS_059
C11,1273,y,PCR55,PCR_RGS_059
G11,1535,y,PCR55,PCR_RGS_059
A12,1537,y,PCR55,PCR_RGS_059
G14,1755,y,PCR55,PCR_RGS_059
H14,1756,y,PCR55,PCR_RGS_059
D15,1780,y,PCR55,PCR_RGS_059
A02,70,Y,NA,PCR_RGS_064
G02,282,Y,NA,PCR_RGS_064
H04,459,Y,NA,PCR_RGS_064
D05,463,Y,NA,PCR_RGS_064
G03,320,Y,NA,PCR_RGS_065
D05,463,Y,NA,PCR_RGS_065
F05,487,Y,NA,PCR_RGS_065
G02,282,Y,NA,PCR_RGS_066
F03,319,Y,NA,PCR_RGS_066
G03,320,Y,NA,PCR_RGS_066
E06,779,Y,EV,PCR_RGS_066
F04,1576,Y,NA,AW_PCR001
G05,T+,Y,NA,AW_PCR007
F04,1576,Y,NA,AW_PCR004
G05,T+,Y,NA,AW_PCR004
