taxon,family,genus,species,diet,morphology,habitat use,life history,diel migration,size(mm),source,new.morphotype,...13,npoints
Agonidae%Chesnonia%Chesnonia verrucosa,Agonidae,Chesnonia,Chesnonia verrucosa,NA,Poacher,seafloor,ocean,NA,NA,NA,seafloor,Marine; demersal,1
Agonidae%NA%NA,Agonidae,NA,NA,NA,Poacher,seafloor,ocean,NA,NA,NA,seafloor,Marine; demersal,1
Alopiidae%Isurus%Isurus oxyrinchus,Alopiidae,Isurus,Isurus oxyrinchus,Fish,Shark,surface-mid,ocean,NA,4000,NA,Shark,Marine; pelagic-oceanic,4
Alopiidae%Lamna%Lamna ditropis,Alopiidae,Lamna,Lamna ditropis,Salmon,Shark,surface-mid,ocean,NA,3000,NA,Shark,Marine; pelagic-oceanic,6
Anarhichadidae%Anarrhichthys%Anarrhichthys ocellatus,Anarhichadidae,Anarrhichthys,Anarrhichthys ocellatus,invertebrates,Eel,"seafloor, shallow",ocean,NA,2400,NA,"seafloor, shallow",Marine; demersal,3
Anarhichadidae%NA%NA,Anarhichadidae,NA,NA,invertebrates,Eel,"seafloor, shallow",ocean,NA,2400,NA,"seafloor, shallow",Marine; demersal,1
Anoplopomatidae%Anoplopoma%Anoplopoma fimbria,Anoplopomatidae,Anoplopoma,Anoplopoma fimbria,Fish,cylinder,"seafloor, deep",ocean,Yes,1140,NA,"seafloor, deep",Marine; bathydemersal,6
Anoplopomatidae%NA%NA,Anoplopomatidae,NA,NA,Fish,cylinder,"seafloor, deep",ocean,Yes,1140,NA,"seafloor, deep",Marine; bathydemersal,4
Atherinopsidae%NA%NA,Atherinopsidae,NA,NA,NA,herring,NA,NA,NA,NA,NA,smelt,Marine; pelagic-neritic,1
Bathylagidae%Bathylagus%Bathylagus stilbius,Bathylagidae,Bathylagus,Bathylagus stilbius,NA,smelt,midwater,ocean,Yes,150,NA,smelt,Marine; bathypelagic,2
Bathylagidae%Lipolagus%Lipolagus ochotensis,Bathylagidae,Lipolagus,Lipolagus ochotensis,NA,smelt,deepwater,ocean,NA,150,NA,smelt,Marine; bathypelagic,2
Bathylagidae%NA%NA,Bathylagidae,NA,NA,NA,smelt,NA,NA,NA,NA,NA,smelt,Marine; bathypelagic,6
