Hash,class,order,family,genus,species,origin
09a5cacfcc717ee7b6e818e5f8ae5586dde40e31,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus,insect
18ec2bbb2afd906c078b97d68ba34b138d5b2972,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus,insect
6ff8194ca8c90bd430832bf76df4c2f64a354046,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus,insect
be450704be214a97e33a734e865eb6009c188d20,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus,insect
61564ecc679930074f4036efe6ea074126ae182d,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus,insect
8b9622cc78003861afe73a81908f989b6fbe89a1,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus,insect
c496a488de7367789a59bc5afc75cb34a53bde0e,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus,insect
23d16934cec742949214f43708db5786f67e0cdd,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus,insect
f3825a6609aa611d902f61973ca6fc41c601f476,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus,insect
4422dc5c1fdab9e0bf31767f21dce38513beb7cd,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus,insect
a9ddeb171879e60200fb0d40205d68a6a02024d1,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus,insect
004390d45fc3536644526c432d597868a5b5d8cf,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus,insect
953e5c8ea4076f70f2cab823cddaaa09c35d7ed3,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus,insect
6e0d6aa643fc54e3fbe55d9787f7cb05903915a0,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus,insect
c6456cf470ef49733266a2eeb0add3ad90a0b4bd,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus,insect
4bfae6dd61202ae2013db15a9bbe550048ff1410,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus,insect
dc222fae4961b35be38fe92d170962b47e9b4562,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus,insect
ee380db4845ebe23398cee9d21a85b5a6f4e66cc,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus,insect
a9632b1629bbab996bca412a795c331f4dc009c3,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus,insect
c7324190ac6323d815a280da23264d0af0c22f3f,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus,insect
965af45f8b3192327813dd0d55a8017f8358470f,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus,insect
4dd98a030f0afbfd410401619f5b0d8f2655ecaf,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus,insect
a8fee91f0484d2ce48155f7947d2b641e011591d,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus,insect
ad4a85160abfdbab5115008660485b8d2a7ae3e7,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus,insect
f49c19d36d2d978f8c3a8e2a31df850108fe5101,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus,insect
ad5b7abfb4d03b21b895259f83436d7f84c03b65,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus,insect
bc9b90b85eba4bdc9be0279b5e1e8b240f275536,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus,insect
624bf5a01894ae753d378696cfd60021c493e1b1,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus,insect
d798559dc946679389c257387514fc5da10c3b97,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus,insect
95b9ef1d5f8547efb201645cb162de84b49c2c56,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus,insect
a0cc3b333cdb3e61d70b00a71c96bca299026dc9,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus,insect
99d5ea6fddafbef5b2fb293e2f01d35f4f76dc01,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus,insect
152f8b8138dd385a09c21b7464fb7f55af9b6dbf,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus,insect
53f7eb9d380ebed27fc6249a1a33cd73886d5607,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus,insect
96593b8b177740efc33fdf604681a0fc1afbcb3c,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus,insect
90ff17ea8c62e7e509b55dc8690d34dc5a6dafbc,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus,insect
98a0c54332613f18d886f211cd1503521e48f63a,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus,insect
8d75671ea22e6d43ac72521b63e3addc3f5bde94,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus,insect
8f877ef23ea9cd63931b4b2c6f750cf305a29ed5,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus,insect
c8db8cce1b3a26cb329cd47c2878ea6a388c70d0,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus,insect
e1ff3612d8f1d42c2d0eabd8a974890807d222fa,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus,insect
18a5daadd58cf85a72067e197b245d0e84b2dcea,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus,insect
013a47bd2af443e0acd6a6f1f8b9524467a5a57b,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus,insect
27872a43b28bac27fffffd23bed6f81c03a3b46a,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus,insect
70e651236a67676921168c627ea2b964bd141be6,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus,insect
52b791536961d9296fe06118393e21c913c8a2f6,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus,insect
4e357706f49a96c843cd9924660e206a8f21f0ab,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus,insect
b27b075fb23f08a8d39fd492401b5ac67890367d,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus,insect
1e84465c1c42a36df429e238a125663f6aebfd89,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus,insect
8e633df5a0c3eb327f7335ea6269c6798ae9b8c8,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus,insect
25b411cad3780c002e78c40f6ec4ea69f7472273,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus,insect
3c33e47b7952c9e65da5bd92f1fcb99b49425d88,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus,insect
2f20b9ccb4ded372c3daa5e4caf9aa7066f67f1c,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus,insect
5b68774dabd730ed65b23cef6855ffe6988b18fa,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus,insect
6b81b6b429cc4799491212a268ea19b2d2c84aaa,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus,insect
c364d9255bf448e99fb272fe5c51203f44436d12,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus,insect
44c3f17791a901a909a8dd6b63cb57ee240e4c89,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus,insect
74b3746071394f62c448899aa972ce72221532de,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus,insect
7b63bfd2cb2d2615a05c69597db3482f926043b3,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus,insect
4d8b790f1df377115d7c69a488064f49896f6a42,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus,insect
