eDNA.sample,rep,class,order,taxon,nReads,Transect,position,depth,lat,lon
1001,1,Actinopteri,Beloniformes,Belonidae%Cololabis%Cololabis saira,26,60,1,60,44.23212833,-124.247595
1001,1,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus,7236,60,1,60,44.23212833,-124.247595
1001,1,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%Citharichthys xanthostigma|sordidus,16778,60,1,60,44.23212833,-124.247595
1001,1,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%NA,40364,60,1,60,44.23212833,-124.247595
1001,1,Actinopteri,Pleuronectiformes,Pleuronectidae%NA%NA,65452,60,1,60,44.23212833,-124.247595
1001,1,Actinopteri,Scombriformes,Scombridae%Scomber%NA,66,60,1,60,44.23212833,-124.247595
1001,2,Actinopteri,Clupeiformes,Clupeidae%Clupea%Clupea pallasii,64398,60,1,60,44.23212833,-124.247595
1001,2,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%Citharichthys xanthostigma|sordidus,20724,60,1,60,44.23212833,-124.247595
1001,2,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%NA,17729,60,1,60,44.23212833,-124.247595
1001,2,Actinopteri,Pleuronectiformes,Pleuronectidae%Isopsetta%Isopsetta isolepis,10146,60,1,60,44.23212833,-124.247595
1001,2,Actinopteri,Pleuronectiformes,Pleuronectidae%Lyopsetta%Lyopsetta exilis,6650,60,1,60,44.23212833,-124.247595
1001,2,Actinopteri,Pleuronectiformes,Pleuronectidae%NA%NA,8828,60,1,60,44.23212833,-124.247595
1002,1,Actinopteri,Clupeiformes,Clupeidae%Clupea%Clupea pallasii,10767,60,1,60,44.23212833,-124.247595
1002,1,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus,11051,60,1,60,44.23212833,-124.247595
1002,1,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%Citharichthys xanthostigma|sordidus,44059,60,1,60,44.23212833,-124.247595
1002,1,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%NA,4433,60,1,60,44.23212833,-124.247595
1002,1,Actinopteri,Pleuronectiformes,Pleuronectidae%Lyopsetta%Lyopsetta exilis,13059,60,1,60,44.23212833,-124.247595
1002,1,Actinopteri,Pleuronectiformes,Pleuronectidae%NA%NA,26449,60,1,60,44.23212833,-124.247595
1002,2,Actinopteri,Osmeriformes,Osmeridae%NA%NA,5977,60,1,60,44.23212833,-124.247595
1002,2,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%Citharichthys xanthostigma|sordidus,4620,60,1,60,44.23212833,-124.247595
1002,2,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%NA,13002,60,1,60,44.23212833,-124.247595
1002,2,Actinopteri,Pleuronectiformes,Pleuronectidae%NA%NA,42569,60,1,60,44.23212833,-124.247595
1002,2,Actinopteri,Pleuronectiformes,Pleuronectidae%Parophrys%Parophrys vetulus,16343,60,1,60,44.23212833,-124.247595
1003,1,Actinopteri,Clupeiformes,Clupeidae%Clupea%Clupea pallasii,122,60,1,50,44.23212833,-124.247595
1003,1,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus,1173,60,1,50,44.23212833,-124.247595
1003,1,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%Citharichthys xanthostigma|sordidus,5592,60,1,50,44.23212833,-124.247595
1003,1,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%NA,275,60,1,50,44.23212833,-124.247595
1003,1,Actinopteri,Pleuronectiformes,Pleuronectidae%NA%NA,4084,60,1,50,44.23212833,-124.247595
1003,2,Actinopteri,Clupeiformes,Clupeidae%Clupea%Clupea pallasii,61433,60,1,50,44.23212833,-124.247595
1003,2,Actinopteri,Clupeiformes,Clupeidae%Sardinops%Sardinops sagax,219,60,1,50,44.23212833,-124.247595
1003,2,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus,133,60,1,50,44.23212833,-124.247595
1003,2,Actinopteri,Myctophiformes,Myctophidae%Diaphus%Diaphus theta,208,60,1,50,44.23212833,-124.247595
1003,2,Actinopteri,Myctophiformes,Myctophidae%Stenobrachius%NA,7,60,1,50,44.23212833,-124.247595
1003,2,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%Citharichthys xanthostigma|sordidus,738,60,1,50,44.23212833,-124.247595
1003,2,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%NA,58,60,1,50,44.23212833,-124.247595
1003,2,Actinopteri,Pleuronectiformes,Pleuronectidae%Glyptocephalus%Glyptocephalus zachirus,510,60,1,50,44.23212833,-124.247595
1003,2,Actinopteri,Pleuronectiformes,Pleuronectidae%Lyopsetta%Lyopsetta exilis,3292,60,1,50,44.23212833,-124.247595
1003,2,Actinopteri,Pleuronectiformes,Pleuronectidae%NA%NA,3463,60,1,50,44.23212833,-124.247595
1003,2,Actinopteri,Pleuronectiformes,Pleuronectidae%Psettichthys%Psettichthys melanostictus,230,60,1,50,44.23212833,-124.247595
1003,3,Actinopteri,Clupeiformes,Clupeidae%Clupea%Clupea pallasii,58957,60,1,50,44.23212833,-124.247595
1003,3,Actinopteri,Clupeiformes,Clupeidae%Sardinops%Sardinops sagax,269,60,1,50,44.23212833,-124.247595
1003,3,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius angustimanus|productus,6599,60,1,50,44.23212833,-124.247595
1003,3,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus,4485,60,1,50,44.23212833,-124.247595
1003,3,Actinopteri,Gadiformes,Merlucciidae%Merluccius%NA,315,60,1,50,44.23212833,-124.247595
1003,3,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%Citharichthys xanthostigma|sordidus,50626,60,1,50,44.23212833,-124.247595
1003,3,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%NA,1678,60,1,50,44.23212833,-124.247595
1003,3,Actinopteri,Pleuronectiformes,Pleuronectidae%Lyopsetta%Lyopsetta exilis,6744,60,1,50,44.23212833,-124.247595
1003,3,Actinopteri,Pleuronectiformes,Pleuronectidae%NA%NA,11456,60,1,50,44.23212833,-124.247595
1003,4,Actinopteri,Clupeiformes,Clupeidae%Clupea%Clupea pallasii,20494,60,1,50,44.23212833,-124.247595
1003,4,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus,3612,60,1,50,44.23212833,-124.247595
1003,4,Actinopteri,Myctophiformes,Myctophidae%Stenobrachius%NA,1393,60,1,50,44.23212833,-124.247595
1003,4,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%Citharichthys xanthostigma|sordidus,3973,60,1,50,44.23212833,-124.247595
1003,4,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%NA,1207,60,1,50,44.23212833,-124.247595
1003,4,Actinopteri,Pleuronectiformes,Pleuronectidae%Lyopsetta%Lyopsetta exilis,1116,60,1,50,44.23212833,-124.247595
1003,4,Actinopteri,Pleuronectiformes,Pleuronectidae%NA%NA,21530,60,1,50,44.23212833,-124.247595
1004,1,Actinopteri,Clupeiformes,Clupeidae%Clupea%Clupea pallasii,21,60,1,50,44.23212833,-124.247595
1004,1,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus,9,60,1,50,44.23212833,-124.247595
1004,1,Actinopteri,Myctophiformes,Myctophidae%Lampanyctus%NA,523,60,1,50,44.23212833,-124.247595
1004,1,Actinopteri,Perciformes,Hexagrammidae%Ophiodon%Ophiodon elongatus,608,60,1,50,44.23212833,-124.247595
1004,1,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%Citharichthys xanthostigma|sordidus,289,60,1,50,44.23212833,-124.247595
1004,1,Actinopteri,Pleuronectiformes,Pleuronectidae%Lyopsetta%Lyopsetta exilis,1411,60,1,50,44.23212833,-124.247595
1004,1,Actinopteri,Pleuronectiformes,Pleuronectidae%NA%NA,3662,60,1,50,44.23212833,-124.247595
1004,2,Actinopteri,Clupeiformes,Clupeidae%Clupea%Clupea pallasii,2472,60,1,50,44.23212833,-124.247595
1004,2,Actinopteri,Myctophiformes,Myctophidae%Lampanyctus%NA,1726,60,1,50,44.23212833,-124.247595
1004,2,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%Citharichthys xanthostigma|sordidus,6437,60,1,50,44.23212833,-124.247595
1004,2,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%NA,2486,60,1,50,44.23212833,-124.247595
1004,2,Actinopteri,Pleuronectiformes,Pleuronectidae%Glyptocephalus%Glyptocephalus zachirus,2554,60,1,50,44.23212833,-124.247595
1004,2,Actinopteri,Pleuronectiformes,Pleuronectidae%NA%NA,2298,60,1,50,44.23212833,-124.247595
1004,2,Actinopteri,Salmoniformes,Salmonidae%Oncorhynchus%Oncorhynchus tshawytscha,4112,60,1,50,44.23212833,-124.247595
1004,2,Actinopteri,Scombriformes,Scombridae%Scomber%NA,479,60,1,50,44.23212833,-124.247595
1004,2,Actinopteri,Scombriformes,Scombridae%Scomber%Scomber japonicus,1980,60,1,50,44.23212833,-124.247595
1004,2,Chondrichthyes,Rajiformes,Rajidae%Raja%NA,106,60,1,50,44.23212833,-124.247595
1004,2,Chondrichthyes,Rajiformes,Rajidae%Raja%Raja binoculata,48,60,1,50,44.23212833,-124.247595
1004,3,Actinopteri,Clupeiformes,Clupeidae%Clupea%Clupea pallasii,2612,60,1,50,44.23212833,-124.247595
1004,3,Actinopteri,Clupeiformes,Engraulidae%Engraulis%Engraulis mordax,257,60,1,50,44.23212833,-124.247595
1004,3,Actinopteri,Clupeiformes,Engraulidae%NA%NA,305,60,1,50,44.23212833,-124.247595
1004,3,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus,173,60,1,50,44.23212833,-124.247595
1004,3,Actinopteri,Myctophiformes,Myctophidae%Lampanyctus%NA,1453,60,1,50,44.23212833,-124.247595
1004,3,Actinopteri,Perciformes,Hexagrammidae%Ophiodon%Ophiodon elongatus,286,60,1,50,44.23212833,-124.247595
1004,3,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%Citharichthys xanthostigma|sordidus,658,60,1,50,44.23212833,-124.247595
1004,3,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%NA,228,60,1,50,44.23212833,-124.247595
1004,3,Actinopteri,Pleuronectiformes,Pleuronectidae%Eopsetta%Eopsetta jordani,595,60,1,50,44.23212833,-124.247595
1004,3,Actinopteri,Pleuronectiformes,Pleuronectidae%Lyopsetta%Lyopsetta exilis,2029,60,1,50,44.23212833,-124.247595
1004,3,Actinopteri,Pleuronectiformes,Pleuronectidae%NA%NA,1323,60,1,50,44.23212833,-124.247595
1005,1,Actinopteri,Carangiformes,Carangidae%Trachurus%Trachurus symmetricus,4,60,1,25,44.23212833,-124.247595
1005,1,Actinopteri,Clupeiformes,Clupeidae%Clupea%Clupea pallasii,126,60,1,25,44.23212833,-124.247595
1005,1,Actinopteri,Clupeiformes,Engraulidae%NA%NA,34282,60,1,25,44.23212833,-124.247595
