Miseq_run,Sample_name,Hash,nReads
Run7,1004-1,09634633b62eea664914842a286ee6c7ee969234,608
Run7,1004-1,0bbc3ff003c7ed11f82a1c4067778a07c87297bc,26
Run7,1004-1,1e88fb7c46f3a21330a71d0d92c43dbe7404a15b,142
Run7,1004-1,394941fe61578579e0311cf90225a8cdce9c63c9,289
Run7,1004-1,5dd046e872a3d4a2d69e5d74a88f680516715f9f,21
Run7,1004-1,6cb8a6c28009354d886114f47a508616b8944715,117
Run7,1004-1,7818bdd7939aa411e9b402022f9eab34020aa16b,1268
Run7,1004-1,7de221449042e1da583f638bbc7dd6e0a353c851,2328
Run7,1004-1,931ee10db2518459d6f603e6b3a92d42fa5fa613,157
Run7,1004-1,9bfc8673f3bea00b9682a4562234d365b5a42b6b,366
Run7,1004-1,9c648d59b704b96753de74bf21d4bec0dd4d1d96,912
Run7,1004-1,b6ff697caf93d6ca27d7aeff3346596b29f2761f,45
Run7,1004-1,c23c8e99eadda4a1ebe859c87ad3cc14afec9ca0,9
Run7,1004-1,ca26d5f54f738a907e0e5e2006186e3d76a3fca0,235
Run7,1005-1,0908b929ecb6fc033b08fe1dde7b04246bdbaeca,272
Run7,1005-1,09a5cacfcc717ee7b6e818e5f8ae5586dde40e31,4
Run7,1005-1,394941fe61578579e0311cf90225a8cdce9c63c9,2473
Run7,1005-1,39713f49e2ff367ef844b2afbb0f4018907387f9,279
Run7,1005-1,3a3bcfe0ec4681a487ab5f1b2ef5adf199a7a31c,152
Run7,1005-1,42737cd65bab38b57ea8949256ab1dbc59f5d054,303
Run7,1005-1,615a8a074852ec62434447babf56a54a647ce7a7,735
Run7,1005-1,9c9a29499030c39f474ca37c50e7132f298e9958,126
Run7,1005-1,a4b027b4c2456fd7b71a5ba8e1416c3430d4d134,34188
Run7,1005-1,b9f35d0c48c82a2312bcd4dd6eb87834ad7e3a04,447
Run7,1005-1,c525b31d5ceab66364d56dc1ef6ba5c681a5e182,2465
Run7,1005-1,cde5f473f8ee01b4bc495141ef9f95b86c0f780c,39003
Run7,1005-1,d6b27bd8c2df90c50b8701424373430e13ea7e33,667
Run7,1005-1,e1015345023fb166a18ff1d74e2ec65385b43941,94
Run7,1005-1,e59908d31fa8a340dec5f2f1b5efded72d44e223,222
Run7,1005-2,0908b929ecb6fc033b08fe1dde7b04246bdbaeca,506
Run7,1005-2,09a5cacfcc717ee7b6e818e5f8ae5586dde40e31,20
Run7,1005-2,1720f303a9ff2060ea9971d5027a8bccd20a8da5,626
Run7,1005-2,1e9398246ba227c2199464721beecc1d9c215af0,5
Run7,1005-2,394941fe61578579e0311cf90225a8cdce9c63c9,4002
Run7,1005-2,39713f49e2ff367ef844b2afbb0f4018907387f9,645
Run7,1005-2,3a3bcfe0ec4681a487ab5f1b2ef5adf199a7a31c,237
Run7,1005-2,42737cd65bab38b57ea8949256ab1dbc59f5d054,490
Run7,1005-2,537f596d808ec253d065a1a110496ec556847f60,253
Run7,1005-2,615a8a074852ec62434447babf56a54a647ce7a7,1614
Run7,1005-2,6c928fdd9754789339542a5a1ce3b5a10fdda55e,22
Run7,1005-2,9c9a29499030c39f474ca37c50e7132f298e9958,234
Run7,1005-2,a4b027b4c2456fd7b71a5ba8e1416c3430d4d134,54169
Run7,1005-2,b9f35d0c48c82a2312bcd4dd6eb87834ad7e3a04,722
Run7,1005-2,c525b31d5ceab66364d56dc1ef6ba5c681a5e182,4185
Run7,1005-2,cde5f473f8ee01b4bc495141ef9f95b86c0f780c,85347
Run7,1005-2,d0a7ed7816d3fde5f665126df94d6551430c077e,40
Run7,1005-2,d6b27bd8c2df90c50b8701424373430e13ea7e33,641
Run7,1005-2,e1015345023fb166a18ff1d74e2ec65385b43941,135
Run7,1005-2,e59908d31fa8a340dec5f2f1b5efded72d44e223,394
Run7,1005-2,ed333ae9aed15f98c77dfe718a8da2dc32b315df,59
Run7,1210-1,2066423e78c09c3fdda9e069bb60179a716275bf,267
Run7,1210-1,631945242d324bbfff5041f8c267f989f63f392e,6351
Run7,1210-1,633035847a769d72dc0769c02886dc67b4fa8229,440
Run7,1210-1,74066494c72c1695219c035c049f10e696375826,1264
Run7,1210-1,7b47000c7a931cdb19b468f2b74170f0bc510ecd,63
Run7,1210-1,a21344a26b628ea2a7b49bef0592f2672e88123c,634
Run7,1210-1,a4168b9cfdfe714b5e437b1dcff13ede3f824955,125
Run7,1210-1,b56c1f051b3f00809c7b3923cf3179a48f4f6ed9,961
Run7,1210-1,b92e612a4996731dc32018dd8389f553f9d3fde7,62
Run7,1210-1,c4ce15f476194986ca12e713095d43d0c5cb9231,665
Run7,1210-1,ddffdd8c09ab1baff6d03a500e0ab282711dc951,50274
