Library concentration(ng/µL),Library Concentration (nM),Amount of sample to add to pool (uL),Percent of PCR added,New_name
15.263,58.54622171,3.971290752,0.15885163,1996_4_80_60_1_1
14.109,54.11967779,4.296109628,0.171844385,1996_4_86.7_50_1_1
6.444,24.71806674,9.406240028,0.376249601,1996_4_93.3_30_1_1
23.605,90.54468738,2.567837778,0.102713511,1996_4_93.3_60_1_1
29.983,115.0095896,2.021605935,0.080864237,1998_4_80_60_1_1
16.356,62.73878021,3.705906746,0.14823627,1998_4_86.7_50_1_1
22.386,85.86881473,2.707665985,0.108306639,1998_4_93.3_30_1_1
16.531,63.41004987,3.666675382,0.146667015,1998_4_93.3_60_1_1
23.315,89.43229766,2.599777428,0.103991097,1999_4_80_60_1_1
19.236,73.78596087,3.15106107,0.126042443,1999_4_86.7_50_1_1
7.809,29.95397008,7.762045171,0.310481807,1999_4_93.3_30_1_1
30.014,115.1285002,2.019517916,0.080780717,1999_4_93.3_60_1_1
20.681,79.32873034,2.93089361,0.117235744,2000_4_80_60_1_1
36.723,140.863061,1.650568057,0.066022722,2000_4_86.7_50_1_1
32.417,124.3459916,1.869815552,0.074792622,2000_4_93.3_30_1_1
11.523,44.20023015,5.26024566,0.210409826,2000_4_93.3_60_1_1
22.101,84.77560414,2.74258227,0.109703291,2001_4_80_60_1_1
18.605,71.36555428,3.257931241,0.13031725,2001_4_86.7_50_1_1
19.91,76.37130802,3.044390293,0.121775612,2001_4_93.3_30_1_1
29.062,111.4767932,2.085672381,0.083426895,2001_4_93.3_60_1_1
32.981,126.5093978,1.837840294,0.073513612,2002_4_80_60_1_1
10.889,41.76831607,5.566517655,0.222660706,2002_4_86.7_50_1_1
40.556,155.5657844,1.494570735,0.059782829,2002_3_93.3_30_1_1
40.307,154.6106636,1.503803576,0.060152143,2002_3_93.3_60_1_1
23.716,90.97046414,2.555819309,0.102232772,2003_4_80_60_1_1
19.292,74.00076717,3.141914303,0.125676572,2003_4_86.7_50_1_1
35.151,134.8331415,1.72438368,0.068975347,2003_4_93.3_30_1_1
42.015,161.1622555,1.44267073,0.057706829,2003_4_93.3_60_1_1
43.518,166.9275029,1.392844587,0.055713783,2004_4_80_60_1_1
34.254,131.3924051,1.769539637,0.070781585,2004_3_86.7_50_1_1
15.946,61.16609129,3.801192195,0.152047688,2004_3_93.3_30_1_1
26.563,101.8910625,2.281888745,0.09127555,2004_3_93.3_60_1_1
10.016,38.41963943,6.051698357,0.242067934,2005_4_80_60_1_1
18.047,69.22516302,3.358664085,0.134346563,2005_4_86.7_50_1_1
36.474,139.9079402,1.661836123,0.066473445,2005_4_93.3_30_1_1
11.622,44.57997699,5.215437166,0.208617487,2005_4_93.3_60_1_1
12.908,49.51285002,4.695832874,0.187833315,2006_4_80_60_1_1
41.745,160.1265823,1.452001695,0.058080068,2006_4_86.7_50_1_1
43.873,168.2892213,1.381574334,0.055262973,2006_4_93.3_30_1_1
20.386,78.19716149,2.973305736,0.118932229,2006_4_93.3_60_1_1
33.314,127.786728,1.819469615,0.072778785,2007_4_80_60_1_1
20.425,78.34675873,2.967628433,0.118705137,2007_4_80_60_2_1
38.185,146.4710395,1.587372286,0.063494891,2007_4_86.7_50_1_1
13.824,53.0264672,4.384679596,0.175387184,2007_3_93.3_30_1_1
13.282,50.94744918,4.563605688,0.182544228,2007_3_93.3_60_1_1
34.175,131.0893748,1.773630161,0.070945206,2008_4_86.7_50_1_1
22.468,86.18335251,2.697783992,0.10791136,Alligator_1_1
0.959,3.678557729,5,0.2,PCR_negative_1_1
27.032,103.6900652,2.242298415,0.089691937,2008_3_93.3_30_1_1
32.353,124.1004987,1.87351438,0.074940575,2008_3_93.3_60_1_1
66.783,256.1680092,0.907623358,0.036304934,2009_3_80_60_1_1
65.251,250.2915228,0.928933055,0.037157322,2009_3_86.7_50_1_1
20.548,78.8185654,2.949864256,0.11799457,2009_3_86.7_50_2_1
16.674,63.95857307,3.635229144,0.145409166,2009_3_86.7_50_3_1
18.609,71.38089758,3.25723095,0.130289238,2009_3_93.3_30_1_1
33.151,127.1614883,1.828415756,0.07313663,2009_3_93.3_60_1_1
18.554,71.16992712,3.266886426,0.130675457,2010_5_80_60_1_1
16.689,64.01611047,3.631961816,0.145278473,2010_4_93.3_30_1_1
16.47,63.17606444,3.680255661,0.147210226,2010_4_93.3_60_1_1
