Library concentration (ng/µL),Library Concentration (nM),Amount of sample to add to pool (µL),Percent of PCR added,New_name
19.262,74.64155623,3.942963716,0.157718549,1996_4_80_60_1_1
13.135,50.89901573,5.782212949,0.231288518,1996_4_80_60_1_2
33.6528,130.4068821,2.256851349,0.090274054,1996_4_80_60_1_3
22.977,89.03743316,3.305451847,0.132218074,1996_4_86.7_50_1_1
15.068,58.38952182,5.040441139,0.201617646,1996_4_86.7_50_1_2
51.2496,198.5956754,1.481950436,0.059278017,1996_4_86.7_50_1_3
16.242,62.93885143,4.67610929,0.187044372,1996_4_93.3_30_1_1
34.427,133.4069596,2.206098908,0.088243956,1996_4_93.3_30_1_2
31.7331,122.9679144,2.393380007,0.0957352,1996_4_93.3_30_1_3
11.149,43.20313105,6.81221339,0.272488536,1996_4_93.3_60_1_1
32.223,124.8663102,2.356992431,0.094279697,1996_4_93.3_60_1_2
44.5509,172.6377587,1.704777391,0.068191096,1996_4_93.3_60_1_3
14.86,57.58350771,5.110993748,0.20443975,1998_4_80_60_1_1
19.71,76.37758661,3.853341811,0.154133672,1998_4_80_60_1_2
35.559,137.7935364,2.135869037,0.085434761,1998_4_80_60_1_3
37.536,145.4545455,2.023374017,0.080934961,1998_4_93.3_60_1_1
21.867,84.73610788,3.473241281,0.138929651,1998_4_93.3_60_1_2
76.0176,294.573355,0.999102406,0.039964096,1998_4_93.3_60_1_3
29.887,115.8141517,2.541217489,0.1016487,1999_4_80_60_1_1
34.382,133.2325816,2.208986304,0.088359452,1999_4_80_60_1_2
52.9083,205.0232504,1.435490596,0.057419624,1999_4_80_60_1_3
7.227,28.00511509,10.50911403,0.420364561,1999_4_86.7_50_1_1
18.198,70.51848407,4.173500774,0.166940031,1999_4_86.7_50_1_2
34.6401,134.2327366,2.192527362,0.087701094,1999_4_86.7_50_1_3
28.494,110.4161823,2.665451221,0.106618049,1999_4_93.3_30_1_1
12.771,49.48849105,5.947018016,0.237880721,1999_4_93.3_30_1_2
55.0017,213.1353174,1.380854902,0.055234196,1999_4_93.3_30_1_3
25.907,100.3913818,2.931615667,0.117264627,1999_4_93.3_60_1_1
17.329,67.15105014,4.382789953,0.175311598,1999_4_93.3_60_1_2
37.2843,144.4791909,2.037033472,0.081481339,1999_4_93.3_60_1_3
22.064,85.49949624,3.442230198,0.137689208,2000_4_80_60_1_1
19.351,74.98643726,3.924829057,0.156993162,2000_4_80_60_1_2
54.1377,209.7872588,1.402892385,0.056115695,2000_4_80_60_1_3
31.08,120.4371076,2.44367333,0.097746933,2000_4_86.7_50_1_1
17.547,67.99581493,4.328339151,0.173133566,2000_4_86.7_50_1_2
36.9252,143.087654,2.056843757,0.08227375,2000_4_86.7_50_1_3
43,166.627916,1.766264351,0.070650574,2000_4_93.3_30_1_1
32.061,124.2385492,2.368902002,0.09475608,2000_4_93.3_30_1_2
22.8546,88.56312485,3.323154511,0.13292618,2000_4_93.3_30_1_3
26.786,103.7975665,2.835412794,0.113416512,2000_4_93.3_60_1_1
