"","year","sample","station","depth_cat","dilution","Latitude","Longitude"
"1",2019,6,"22-2",0,0.2,37.89499,-123.171755
"2",2019,11,"22-1",0,1,37.8973066666667,-122.863766666667
"3",2019,17,"23-1",0,1,38.0640066666667,-123.016368333333
"4",2019,21,"25-6",500,1,38.3964066666667,-123.772616666667
"5",2019,23,"25-6",300,1,38.3964066666667,-123.772616666667
"6",2019,25,"25-6",150,1,38.3964066666667,-123.772616666667
"7",2019,29,"25-6",50,1,38.3964066666667,-123.772616666667
"8",2019,31,"25-6",0,1,38.3964066666667,-123.772616666667
"9",2019,32,"25-4",500,1,38.39212,-123.625238333333
"10",2019,34,"25-4",300,1,38.39212,-123.625238333333
"11",2019,36,"25-4",150,1,38.39212,-123.625238333333
"12",2019,40,"25-4",50,1,38.39212,-123.625238333333
"13",2019,42,"25-4",0,1,38.39212,-123.625238333333
"14",2019,48,"25-2",50,1,38.3942283333333,-123.450153333333
"15",2019,50,"25-2",0,1,38.3942283333333,-123.450153333333
"16",2019,56,"25-1",0,1,38.3962216666667,-123.141468333333
"17",2019,62,"26-1",0,1,38.5636083333333,-123.349966666667
"18",2019,68,"26-2",50,1,38.5617416666667,-123.658838333333
"19",2019,70,"26-2",0,1,38.5617416666667,-123.658838333333
"20",2019,72,"26-3",500,1,38.5626416666667,-123.978598333333
"21",2019,74,"26-3",300,1,38.5626416666667,-123.978598333333
"22",2019,76,"26-3",150,1,38.5626416666667,-123.978598333333
"23",2019,80,"26-3",50,1,38.5626416666667,-123.978598333333
"24",2019,82,"26-3",0,1,38.5626416666667,-123.978598333333
"25",2019,84,"27-8",500,1,38.72578,-124.28769
"26",2019,86,"27-8",300,1,38.72578,-124.28769
"27",2019,88,"27-8",150,1,38.72578,-124.28769
"28",2019,92,"27-8",50,1,38.72578,-124.28769
"29",2019,94,"27-8",0,1,38.72578,-124.28769
"30",2019,103,"27-6",50,1,38.7305383333333,-124.073795
"31",2019,105,"27-6",0,0.2,38.7305383333333,-124.073795
"32",2019,108,"27-4",500,1,38.73135,-123.861485
"33",2019,110,"27-4",300,1,38.73135,-123.861485
"34",2019,112,"27-4",150,1,38.73135,-123.861485
"35",2019,116,"27-4",50,1,38.73135,-123.861485
"36",2019,118,"27-4",0,1,38.73135,-123.861485
"37",2019,124,"27-2",50,1,38.730965,-123.768463333333
"38",2019,126,"27-2",0,1,38.730965,-123.768463333333
"39",2019,135,"27-1",0,1,38.73188,-123.526325
"40",2019,140,"29-1",0,1,39.0656583333333,-123.730776666667
"41",2019,148,"29-2",50,1,39.064125,-123.937213333333
"42",2019,150,"29-2",0,0.2,39.064125,-123.937213333333
"43",2019,152,"29-4",500,1,39.064665,-123.984531666667
"44",2019,154,"29-4",300,1,39.064665,-123.984531666667
"45",2019,156,"29-4",150,1,39.064665,-123.984531666667
"46",2019,160,"29-4",50,1,39.064665,-123.984531666667
"47",2019,162,"29-4",0,0.2,39.064665,-123.984531666667
"48",2019,166,"29-6",500,1,39.062135,-124.206951666667
"49",2019,168,"29-6",300,1,39.062135,-124.206951666667
"50",2019,170,"29-6",150,1,39.062135,-124.206951666667
"51",2019,174,"29-6",50,1,39.062135,-124.206951666667
"52",2019,176,"29-6",0,0.2,39.062135,-124.206951666667
"53",2019,178,"31-9",500,1,39.39722,-124.559338333333
"54",2019,180,"31-9",300,1,39.39722,-124.559338333333
"55",2019,182,"31-9",150,1,39.39722,-124.559338333333
"56",2019,186,"31-9",50,0.2,39.39722,-124.559338333333
"57",2019,189,"31-9",0,0.2,39.39722,-124.559338333333
"58",2019,190,"31-7",500,1,39.395895,-124.338493333333
"59",2019,192,"31-7",300,1,39.395895,-124.338493333333
"60",2019,194,"31-7",150,1,39.395895,-124.338493333333
"61",2019,198,"31-7",50,1,39.395895,-124.338493333333
"62",2019,200,"31-7",0,0.2,39.395895,-124.338493333333
"63",2019,202,"31-4",500,1,39.3971516666667,-124.017858333333
"64",2019,204,"31-4",300,1,39.3971516666667,-124.017858333333
"65",2019,206,"31-4",150,1,39.3971516666667,-124.017858333333
"66",2019,210,"31-4",50,1,39.3971516666667,-124.017858333333
"67",2019,212,"31-4",0,1,39.3971516666667,-124.017858333333
"68",2019,219,"31-2",50,1,39.3972983333333,-123.949163333333
"69",2019,221,"31-2",0,1,39.3972983333333,-123.949163333333
"70",2019,225,"31-1",0,1,39.3980216666667,-123.834825
"71",2019,227,"33-9",500,1,39.7305983333333,-124.621471666667
"72",2019,229,"33-9",300,1,39.7305983333333,-124.621471666667
"73",2019,231,"33-9",150,1,39.7305983333333,-124.621471666667
"74",2019,235,"33-9",50,1,39.7305983333333,-124.621471666667
"75",2019,237,"33-9",0,1,39.7305983333333,-124.621471666667
"76",2019,247,"33-5",50,1,39.7318833333333,-124.184543333333
"77",2019,249,"33-5",0,1,39.7318833333333,-124.184543333333
"78",2019,251,"33-4",500,1,39.731755,-124.07336
"79",2019,253,"33-4",300,1,39.731755,-124.07336
"80",2019,255,"33-4",150,1,39.731755,-124.07336
"81",2019,259,"33-4",50,1,39.731755,-124.07336
"82",2019,261,"33-4",0,1,39.731755,-124.07336
"83",2019,267,"33-2",50,1,39.7324833333333,-123.951753333333
"84",2019,269,"33-2",0,1,39.7324833333333,-123.951753333333
"85",2019,275,"33-1",0,0.2,39.7302283333333,-123.864451666667
"86",2019,294,"35-3",50,1,40.06306,-124.278218333333
"87",2019,296,"35-3",0,1,40.06306,-124.278218333333
"88",2019,298,"35-5",500,1,40.06066,-124.421245
"89",2019,300,"35-5",300,1,40.06066,-124.421245
"90",2019,302,"35-5",150,1,40.06066,-124.421245
